critic_rating,is_action,is_exclusive_to_us,is_portable,is_role_playing,is_sequel,is_sports,suitable_for_kids,total_earnings,unit_price
3.5,1,0,1,0,1,0,0,132717,59.99
4.5,0,0,0,0,1,1,0,83407,49.99
3.0,0,0,0,0,1,1,0,62423,49.99
4.5,1,0,0,0,0,0,1,69889,39.99
4.0,1,0,1,0,1,0,1,161382,59.99
4.0,0,0,0,1,1,0,0,69150,39.99
2.0,1,0,0,0,1,0,0,62027,49.99
4.5,0,0,1,1,1,0,1,152830,59.99
3.5,0,0,1,0,0,1,0,47930,39.99
2.5,1,0,0,0,1,0,0,87263,59.99
4.5,1,0,1,0,1,0,0,160590,59.99
3.5,0,0,0,1,0,0,0,67150,59.99
3.5,0,0,0,1,1,0,0,79844,49.99
4.0,0,0,0,1,0,0,0,75544,59.99
3.5,0,0,0,1,1,0,0,96132,59.99
4.0,0,0,0,1,1,0,1,115771,59.99
3.5,1,0,0,0,1,0,0,93173,49.99
3.0,1,0,0,0,1,0,1,110544,59.99
2.5,1,1,0,0,1,0,0,125506,49.99
5.0,1,0,0,0,1,0,0,147129,59.99
4.0,0,0,0,0,1,1,0,92173,59.99
4.5,0,0,0,0,0,1,1,65986,49.99
2.5,0,1,0,1,1,0,1,140002,59.99
4.0,1,0,0,0,1,0,1,111517,49.99
4.5,1,0,0,0,1,0,1,98605,39.99
4.5,0,0,0,0,1,1,1,109594,59.99
2.0,0,0,0,1,1,0,1,48352,39.99
3.5,1,0,1,0,1,0,0,111253,49.99
3.5,0,0,0,1,1,0,1,104209,59.99
2.0,1,0,1,0,0,0,1,59652,49.99
3.5,1,1,0,0,1,0,0,157180,49.99
4.5,0,0,0,0,1,1,1,109436,59.99
4.5,1,0,0,0,0,0,0,79316,49.99
3.5,0,0,0,0,1,1,0,83621,59.99
3.0,1,0,0,0,1,0,0,98666,59.99
3.0,0,1,0,1,1,0,0,144278,59.99
4.0,0,0,0,1,1,0,0,105318,59.99
3.5,1,1,0,0,1,0,0,187989,59.99
3.5,1,0,0,0,1,0,0,112128,59.99
2.0,0,0,1,1,1,0,0,79345,59.99
4.0,0,0,0,1,1,0,0,87762,49.99
2.0,0,0,1,0,0,1,1,35050,39.99
4.0,0,0,0,0,1,1,1,100250,59.99
5.0,0,0,0,0,1,1,0,109119,59.99
2.0,1,1,1,0,1,0,0,155047,59.99
4.0,1,0,0,0,0,0,1,64611,39.99
4.5,1,1,0,0,1,0,0,150336,39.99
3.5,0,1,1,0,1,1,0,168351,59.99
2.5,1,0,0,0,1,0,1,96449,59.99
4.0,0,0,0,1,0,0,0,75385,59.99
4.0,0,0,0,1,1,0,0,104684,59.99
4.0,0,0,0,1,1,0,0,69467,39.99
4.5,1,1,0,0,1,0,0,230275,59.99
4.5,0,0,0,0,1,1,0,99933,59.99
4.5,1,0,0,0,0,0,0,96766,59.99
4.0,0,0,1,1,1,0,0,124481,59.99
4.0,0,0,0,1,0,0,0,74593,59.99
4.0,1,0,1,0,1,0,0,98289,39.99
4.5,1,0,1,0,1,0,1,118875,39.99
2.5,0,0,1,1,1,0,0,90431,59.99
3.0,0,0,0,1,1,0,0,56481,39.99
2.5,1,0,0,0,0,0,0,41384,39.99
4.5,0,1,0,0,0,1,0,80552,39.99
2.0,0,0,0,0,1,1,1,63507,59.99
2.5,1,0,1,0,0,0,0,74593,59.99
3.0,0,0,1,1,1,0,0,68939,39.99
4.5,1,1,1,0,1,0,0,181692,39.99
3.0,1,0,0,0,1,0,1,110228,59.99
4.0,1,0,0,0,1,0,0,122897,59.99
3.5,1,1,1,0,1,0,0,224415,59.99
2.5,0,1,1,1,1,0,0,151563,59.99
2.5,1,1,0,0,0,0,1,117038,59.99
4.5,0,1,1,0,1,1,0,203351,59.99
3.0,1,0,0,0,0,0,0,59124,49.99
4.0,1,0,0,0,0,0,0,88214,59.99
4.0,1,0,0,0,1,0,1,136201,59.99
5.0,0,1,0,1,1,0,1,156143,39.99
4.5,1,0,1,0,1,0,0,159165,59.99
3.0,0,0,0,1,0,0,1,66358,59.99
2.0,1,0,0,0,0,0,1,38956,39.99
3.5,1,0,0,0,0,0,0,79028,59.99
4.5,0,1,0,0,0,1,0,120839,59.99
4.0,1,0,0,0,1,0,0,81713,39.99
3.0,0,0,0,1,1,0,0,71265,49.99
4.5,0,0,1,0,0,1,1,63660,39.99
4.5,0,0,0,0,0,1,1,78078,59.99
2.0,1,0,0,0,1,0,0,75069,59.99
3.5,1,1,0,0,1,0,0,188622,59.99
5.0,1,0,0,0,1,0,0,146495,59.99
4.0,0,1,0,0,1,1,0,129862,49.99
4.0,0,0,0,1,1,0,0,105793,59.99
3.0,0,1,0,1,1,0,1,160115,59.99
2.0,0,0,0,1,1,0,0,65566,59.99
3.5,0,0,0,1,1,0,1,87894,49.99
5.0,0,0,0,1,0,0,0,73905,49.99
3.0,0,0,1,0,1,1,0,88530,59.99
3.5,0,0,0,1,1,0,0,63660,39.99
4.0,0,1,1,1,1,0,0,214912,59.99
3.5,0,0,0,1,1,0,1,103101,59.99
4.0,1,0,0,0,0,0,0,72189,49.99
3.5,1,0,1,0,1,0,0,134617,59.99
3.5,1,0,0,0,1,0,0,110544,59.99
3.5,0,0,1,1,1,0,1,83403,39.99
2.0,1,0,0,0,1,0,0,51097,39.99
4.0,0,1,0,1,0,0,1,140002,59.99
4.0,0,0,0,1,1,0,0,86442,49.99
3.5,0,0,0,0,0,1,1,65249,59.99
4.0,1,0,0,0,1,0,0,121947,59.99
3.5,0,1,0,0,0,1,1,110544,59.99
3.5,1,0,0,0,1,0,0,92909,49.99
4.0,1,0,1,0,0,0,0,70206,39.99
4.0,0,0,0,1,1,0,1,96076,49.99
2.0,0,0,0,1,0,0,0,31355,39.99
3.0,1,0,0,0,1,0,0,83275,49.99
3.5,1,0,1,0,1,0,0,131608,59.99
4.0,1,0,0,0,0,0,0,87263,59.99
2.5,1,0,0,0,1,0,0,72189,49.99
3.5,0,0,0,1,1,0,0,95024,59.99
4.0,1,0,0,0,1,0,0,82136,39.99
4.5,0,0,0,1,1,0,1,125590,59.99
2.5,0,0,0,0,0,1,0,46403,59.99
2.0,1,0,0,0,0,0,0,45002,49.99
4.5,0,0,0,1,0,0,0,81245,59.99
4.0,0,0,1,1,1,0,0,125115,59.99
4.0,1,0,0,0,1,0,1,88892,39.99
3.5,0,0,0,1,1,0,0,63344,39.99
4.5,1,0,1,0,0,0,0,114979,59.99
4.5,1,0,0,0,1,0,0,112837,49.99
3.5,0,0,0,0,1,1,0,68890,49.99
2.0,1,0,0,0,1,0,0,76019,59.99
2.5,0,0,1,0,1,1,1,87105,59.99
4.5,1,1,0,0,1,0,0,152131,39.99
4.0,0,1,0,1,1,0,0,178645,59.99
3.5,1,1,0,0,1,0,0,125738,39.99
3.5,1,1,0,0,0,0,0,88470,39.99
2.5,1,0,0,0,1,0,1,96766,59.99
3.0,1,1,0,0,1,0,0,167242,59.99
3.5,0,1,0,0,0,1,0,101042,59.99
4.0,1,1,0,0,1,0,0,139568,39.99
2.0,0,0,1,1,0,0,0,54638,59.99
3.5,0,0,1,0,1,1,1,109752,59.99
3.5,0,1,1,0,0,1,0,120205,59.99
2.0,0,0,0,1,1,0,0,64299,59.99
3.5,0,0,0,1,0,0,0,56352,49.99
3.5,0,0,0,1,1,0,0,63555,39.99
4.5,1,0,1,0,1,0,0,162491,59.99
4.0,0,0,0,0,0,1,0,43285,39.99
3.5,0,1,0,0,1,1,0,116136,49.99
4.0,0,0,0,1,1,0,0,87102,49.99
4.5,1,0,0,0,1,0,0,89843,39.99
4.5,0,1,1,0,0,1,0,147287,59.99
4.0,1,0,0,0,1,0,1,135092,59.99
5.0,1,0,0,0,1,0,0,121547,49.99
3.0,0,0,0,1,1,0,0,84729,59.99
2.0,0,0,0,0,0,1,0,41177,59.99
3.5,1,1,1,0,1,0,0,149597,39.99
4.5,0,0,0,0,1,1,0,99933,59.99
2.0,0,0,1,0,0,1,1,36211,39.99
2.5,0,0,0,0,0,1,1,50837,59.99
4.0,0,0,0,1,1,0,1,96736,49.99
2.5,0,0,0,1,1,0,0,74752,59.99
4.0,0,0,0,1,1,0,1,114662,59.99
2.5,0,0,0,0,1,1,0,66200,59.99
4.5,0,0,0,1,1,0,0,116087,59.99
4.0,0,0,0,1,1,0,1,116404,59.99
3.5,1,0,0,0,1,0,0,74323,39.99
2.0,0,0,1,1,1,0,0,52470,39.99
4.0,0,0,0,1,1,0,1,116087,59.99
3.0,1,0,0,0,1,0,0,66194,39.99
4.0,1,0,0,0,0,0,0,72981,49.99
4.0,1,0,1,0,1,0,0,145862,59.99
5.0,0,1,0,1,0,0,0,150771,59.99
5.0,1,0,0,0,1,0,0,146178,59.99
2.5,0,0,1,0,1,1,0,78870,59.99
4.0,0,1,0,0,0,1,0,110386,59.99
5.0,1,1,0,0,0,0,0,175636,59.99
4.0,1,0,0,0,1,0,0,100827,49.99
3.5,0,0,1,0,0,1,1,51519,39.99
4.5,0,0,0,1,1,0,0,116087,59.99
5.0,0,1,0,1,1,0,0,210320,59.99
3.5,1,0,1,0,1,0,0,133033,59.99
5.0,0,0,1,1,0,0,1,78546,39.99
4.5,0,0,0,0,1,1,1,111495,59.99
4.0,0,1,0,0,1,1,0,156314,59.99
4.0,1,1,0,0,0,0,0,98394,39.99
4.0,0,0,0,1,1,0,1,114979,59.99
4.0,1,1,1,0,1,0,0,167545,39.99
4.0,0,0,0,1,0,0,0,75069,59.99
2.5,0,0,0,0,1,1,0,66675,59.99
2.0,1,1,1,0,1,0,0,154414,59.99
4.5,1,1,0,0,1,0,1,250388,59.99
2.0,0,0,0,0,1,1,0,57647,59.99
4.5,1,1,0,0,1,0,1,253239,59.99
2.5,1,1,0,0,1,0,0,149979,59.99
2.5,0,0,0,1,1,0,0,76177,59.99
3.5,0,1,1,1,1,0,1,210953,59.99
4.5,1,1,0,0,0,0,0,163758,59.99
5.0,0,0,0,1,0,0,1,97716,59.99
2.0,1,0,0,0,0,0,0,54955,59.99
5.0,0,0,0,0,1,1,0,110228,59.99
2.0,0,0,0,0,1,1,0,46850,49.99
4.0,0,0,0,0,1,1,1,100883,59.99
2.0,0,0,0,1,1,0,0,64616,59.99
4.5,1,0,1,0,1,0,0,161699,59.99
2.5,0,0,0,1,1,0,1,54687,39.99
5.0,0,1,0,1,1,0,0,211587,59.99
3.5,1,0,0,0,1,0,0,109277,59.99
3.5,1,0,1,0,1,0,0,134142,59.99
4.5,0,0,1,1,1,0,1,101245,39.99
4.5,1,1,0,0,0,0,0,162966,59.99
2.0,1,1,0,0,1,0,1,139210,59.99
4.0,0,0,0,0,1,1,1,101359,59.99
2.5,1,0,0,0,1,0,1,78920,49.99
4.0,0,0,0,1,1,0,0,106110,59.99
5.0,1,0,0,0,0,0,0,103259,59.99
4.0,1,1,0,0,1,0,0,210478,59.99
4.0,1,0,1,0,1,0,0,147129,59.99
4.0,1,0,0,0,1,0,0,121947,59.99
2.0,1,0,1,0,0,0,1,58464,49.99
4.0,0,1,1,0,0,1,0,89948,39.99
3.5,0,0,0,1,1,0,0,93915,59.99
3.5,1,0,1,0,1,0,1,98394,39.99
3.5,1,0,0,0,1,0,0,110228,59.99
4.0,1,0,1,0,1,0,0,123791,49.99
4.0,0,0,0,1,1,0,0,105793,59.99
3.5,0,0,0,1,1,0,0,79580,49.99
3.5,1,0,0,0,1,0,1,80658,39.99
4.0,1,0,1,0,0,0,0,86442,49.99
3.5,1,0,0,0,1,0,0,91589,49.99
4.0,0,0,0,1,1,0,0,69784,39.99
4.5,0,1,0,1,1,0,1,177636,49.99
4.5,1,0,0,0,1,0,1,146653,59.99
2.5,1,0,0,0,0,0,0,52261,49.99
4.0,1,0,1,0,1,0,0,147445,59.99
4.5,1,0,0,0,0,0,1,104684,59.99
3.0,1,0,0,0,1,0,0,98983,59.99
2.5,1,0,0,0,1,0,0,57326,39.99
4.0,0,1,0,1,1,0,1,164967,49.99
3.5,1,1,0,0,0,0,0,111253,49.99
4.5,1,1,0,0,1,0,0,150336,39.99
4.5,1,1,0,0,1,0,0,188326,49.99
3.0,0,0,0,1,1,0,1,93915,59.99
4.0,0,0,0,1,1,0,0,105318,59.99
4.0,0,0,0,1,1,0,0,106110,59.99
2.0,1,0,0,0,1,0,0,76969,59.99
3.0,0,1,1,0,1,1,0,153780,59.99
3.5,1,0,0,0,0,0,0,79028,59.99
4.0,0,1,0,1,1,0,0,178962,59.99
3.5,0,0,0,1,1,0,0,95340,59.99
2.0,0,0,0,1,1,0,0,65091,59.99
4.0,1,0,1,0,1,0,0,147445,59.99
4.0,0,0,0,0,1,1,1,84067,49.99
4.0,1,0,0,0,1,0,0,100827,49.99
3.5,0,0,1,1,1,0,0,112762,59.99
4.0,0,0,1,0,1,1,1,122264,59.99
4.0,0,0,0,1,0,0,1,82987,59.99
4.0,1,0,0,0,1,0,0,123531,59.99
4.0,1,0,0,0,1,0,0,80658,39.99
5.0,1,1,0,0,0,0,0,118559,39.99
3.5,1,1,0,0,1,0,0,188622,59.99
3.5,1,0,0,0,1,0,0,109911,59.99
3.5,1,0,0,0,0,0,1,73377,49.99
4.5,0,0,0,1,1,0,0,76646,39.99
2.0,0,1,0,0,1,1,0,96924,59.99
5.0,0,0,0,0,0,1,0,77603,59.99
4.0,1,0,0,0,0,0,0,88214,59.99
4.0,1,0,0,0,0,0,1,95499,59.99
3.0,0,0,0,1,1,0,0,83938,59.99
4.0,0,0,1,1,1,0,0,127332,59.99
3.5,1,1,1,0,1,0,0,228216,59.99
2.0,0,0,1,0,0,1,1,44343,49.99
4.0,1,0,0,0,1,0,0,80869,39.99
3.5,1,1,1,0,1,0,0,150864,39.99
2.0,0,0,0,1,0,0,1,43155,49.99
3.5,0,0,1,1,1,0,0,112445,59.99
4.5,0,0,0,1,0,0,0,81404,59.99
4.5,1,1,0,0,1,0,1,248013,59.99
