RowNumber,Exited,P_Hat
4816,0,0.930669387
3532,1,0.928310811
9588,0,0.923302971
7500,1,0.906178289
9556,1,0.90445727
8489,1,0.892241568
7630,1,0.882858638
7693,0,0.876196717
9748,1,0.874290461
4464,1,0.871828191
7009,1,0.861914645
8157,0,0.859745117
4436,1,0.857004906
7814,1,0.842061584
4560,1,0.839912351
417,1,0.837359566
3388,0,0.834867063
4752,1,0.832187654
4502,0,0.830751603
618,1,0.830145633
4564,1,0.826519394
8189,0,0.821812646
9293,0,0.818944397
9333,1,0.818496449
6531,0,0.817436017
9310,0,0.816555379
4397,0,0.815313365
2474,1,0.812672309
3367,0,0.810541414
372,0,0.809108014
7852,1,0.805715458
9603,1,0.805602921
421,1,0.804985191
5440,0,0.804734744
4319,0,0.804473578
2778,1,0.804083232
9473,0,0.802797792
6444,0,0.801556754
3911,1,0.799821352
5577,1,0.797009668
5005,1,0.796928292
6760,0,0.796780029
314,0,0.796347335
2191,1,0.79515389
3992,1,0.794944022
7734,1,0.794517634
4932,0,0.793286068
7637,1,0.792573266
3111,1,0.790208152
3941,1,0.789776719
1159,1,0.786154908
1791,0,0.786144038
777,1,0.785769493
7259,1,0.785672883
3647,1,0.784250197
2351,1,0.781087664
8099,1,0.781016685
1411,1,0.779682085
9011,1,0.776786767
6813,1,0.775208899
400,1,0.775054559
599,1,0.773364132
1428,1,0.772340183
6582,1,0.772192303
7437,1,0.771863505
2116,1,0.769565719
2169,1,0.765625007
2773,0,0.765079719
2107,1,0.762857206
3383,0,0.76141654
2496,1,0.759076861
5021,1,0.755442882
2615,1,0.75520113
6319,1,0.754740445
6198,1,0.754733829
1254,0,0.753934403
5790,1,0.753786015
1743,1,0.753529545
4265,1,0.75267025
4471,1,0.752486736
8712,0,0.749593214
2521,1,0.744706813
6277,1,0.744328689
9672,0,0.744314338
180,1,0.743794049
3886,1,0.742295429
2155,1,0.742099647
2916,1,0.741201223
632,1,0.740957162
3498,1,0.738456588
9880,1,0.73669854
4733,1,0.735469793
5958,0,0.735298474
7064,0,0.735143913
8222,1,0.733491184
8218,0,0.731799081
7058,0,0.731492276
7809,1,0.731470717
5291,1,0.73093281
8769,1,0.730355967
6576,1,0.727337913
4014,1,0.72727181
9207,1,0.726613748
7214,1,0.726352899
3560,1,0.726091221
4381,1,0.725566736
5069,0,0.725250559
3207,1,0.722684812
9439,1,0.722587712
5369,1,0.72102479
4171,0,0.720169459
5607,1,0.718621037
9479,1,0.713580692
7143,1,0.712993322
4887,0,0.712948077
4591,0,0.712890878
59,1,0.712177833
7801,1,0.712029208
3899,1,0.70983808
4524,0,0.706153346
5951,1,0.706148615
5133,0,0.705822372
9334,0,0.705249001
5684,1,0.704026316
6722,0,0.703988738
4154,1,0.703712631
2275,1,0.703586226
7139,1,0.702640931
2455,1,0.701638897
7827,1,0.701151101
7804,0,0.700905198
17,1,0.700780182
3692,0,0.699931112
889,0,0.699604298
1115,1,0.699023392
4660,0,0.698845592
3230,1,0.698642211
8364,1,0.698499948
3034,0,0.697220575
4644,1,0.696129964
6912,1,0.696073379
3097,1,0.696008498
1934,0,0.695657821
2109,0,0.695418278
2660,1,0.69499563
8299,1,0.693762294
610,0,0.693722005
7318,1,0.693050874
7599,1,0.692782752
6744,1,0.69200268
953,0,0.691327437
3379,0,0.690473119
767,0,0.69037608
8863,1,0.690053115
8394,1,0.688790935
5256,1,0.688764588
2880,1,0.687970712
3120,1,0.687768292
1647,1,0.687452636
3720,1,0.686964474
1658,1,0.686434231
8924,1,0.68549766
9578,1,0.685295129
7768,1,0.685264291
6730,1,0.685079607
585,1,0.68462806
4257,0,0.684375146
6832,1,0.682721675
6710,1,0.682409303
8604,1,0.681931439
9042,0,0.681903963
4314,0,0.681416431
9694,1,0.680810367
9833,1,0.680129585
9647,1,0.679778851
8476,1,0.679742213
4185,1,0.6794338
128,1,0.677843011
3557,1,0.677392786
6376,1,0.676125461
6520,1,0.675501295
4367,0,0.675204755
3146,1,0.675083875
3794,1,0.675047505
7273,0,0.674815968
768,1,0.673713013
857,1,0.672362844
5406,0,0.672116181
6367,0,0.671715
8216,1,0.67149168
4645,0,0.671274872
2040,0,0.670657407
5824,1,0.670632883
2459,0,0.670457356
4198,1,0.669787496
7534,1,0.669181539
6562,1,0.668947476
5702,1,0.666891659
2926,0,0.666686061
6316,1,0.666449502
5001,0,0.664575846
7160,1,0.664537658
4893,1,0.663932026
529,1,0.663369952
1439,1,0.661952464
2733,1,0.660450354
7605,1,0.659770448
8055,1,0.659583642
6971,0,0.659433106
9081,0,0.658874638
7773,1,0.658829882
311,0,0.658631906
8039,0,0.658556141
4833,0,0.658260344
3828,1,0.656493826
2277,1,0.656374383
9103,0,0.656004803
7081,1,0.655633535
7527,0,0.655628251
1929,1,0.655451805
8485,1,0.653048709
253,0,0.652147812
6872,1,0.652047017
2345,1,0.651223627
5652,0,0.650937854
2221,0,0.650422124
9219,1,0.64973664
1193,1,0.649249031
3181,1,0.648420698
7035,1,0.648163136
2095,0,0.647713504
4224,1,0.647352199
5116,1,0.647257235
9784,0,0.647181673
5389,1,0.646841223
5511,1,0.646194861
1329,1,0.645170432
8763,1,0.644416964
7303,0,0.643428587
5943,1,0.643267188
3617,1,0.643093165
7720,0,0.643015975
8911,1,0.642758858
4143,1,0.642701202
6304,1,0.642487089
4850,0,0.642322162
5834,1,0.642318414
2136,1,0.642311389
7634,1,0.641819825
8353,1,0.641721413
7329,1,0.641104099
1994,1,0.641090599
2348,1,0.640598859
1123,1,0.640000381
9039,1,0.639939464
1599,1,0.63930006
2595,1,0.638738998
7704,0,0.638666294
7159,1,0.638507089
7267,1,0.637894282
5300,0,0.637821614
2434,0,0.637624879
6059,1,0.637196709
159,0,0.636505195
9477,0,0.636263562
2576,1,0.636022245
3550,1,0.635744456
8745,1,0.635685744
4344,1,0.635617102
7719,1,0.634612911
2857,1,0.632990235
4115,1,0.632832047
