Row Number,Exited,P_Hat_TestData
10694,0,0.865468126
10835,0,0.791832975
10958,1,0.779836761
10262,0,0.775269506
10250,1,0.747104107
10258,0,0.744152086
10484,1,0.740485202
10210,1,0.702438812
10552,0,0.697963385
10893,1,0.693963305
10945,1,0.691618659
10430,1,0.680840257
10998,0,0.673996671
10960,0,0.6694291
10741,1,0.668859723
10234,0,0.667614726
10695,0,0.661973268
10953,0,0.652613915
10851,1,0.645729296
10463,0,0.638579104
10571,0,0.637058946
10176,0,0.635710327
10642,0,0.632759296
10932,1,0.629917203
10900,1,0.616270433
10976,1,0.615359873
10623,0,0.613079617
10722,1,0.606930865
10939,0,0.602793641
10392,1,0.599845865
10389,1,0.599809094
10719,0,0.597362599
10261,1,0.589183557
10687,1,0.58458048
10033,1,0.578817119
10627,1,0.577637462
10425,1,0.576299387
10330,0,0.573745716
10391,0,0.572141293
10142,0,0.570218891
10031,1,0.564668785
10428,1,0.557555151
10275,1,0.552475467
10193,0,0.551683961
10127,0,0.550533587
10211,0,0.548232486
10797,1,0.543266184
10013,1,0.535303205
10118,1,0.531793827
10622,0,0.530320023
10139,1,0.529950678
10154,1,0.527604207
10898,1,0.527119563
10849,0,0.525316481
10801,1,0.514689649
10963,0,0.514256576
10747,0,0.514180425
10818,0,0.513163079
10909,1,0.506299108
10380,1,0.505872976
10454,0,0.49957972
10598,0,0.495150148
10319,1,0.489399826
10483,0,0.485177678
10037,1,0.484115393
10183,1,0.482754578
10527,1,0.476079178
10075,1,0.461305613
10742,0,0.454210432
10056,1,0.453594192
10707,1,0.451435332
10938,1,0.450191188
10332,0,0.449583612
10595,0,0.449238519
10122,0,0.446233568
10988,1,0.442940131
10170,0,0.442741001
10185,1,0.436606587
10767,0,0.436354963
10078,0,0.436174932
10744,1,0.434470299
10187,0,0.433999437
10321,0,0.433891991
10528,1,0.433639653
10620,1,0.433063035
10989,1,0.43083462
10366,0,0.430567309
10793,0,0.427652585
10027,0,0.424219801
10901,1,0.422843206
10326,0,0.422237537
10534,0,0.422204149
10076,1,0.422179564
10634,0,0.420889636
10464,0,0.420781731
10180,1,0.420561765
10997,0,0.419147129
10740,0,0.416443365
10088,0,0.415812728
10255,1,0.414895721
10138,1,0.413752554
10267,0,0.409252595
10745,1,0.408770493
10991,1,0.407928615
10500,0,0.407612956
10715,1,0.406602415
10281,1,0.406219445
10285,1,0.405643594
10721,1,0.404963975
10324,1,0.403160706
10356,0,0.402622383
10759,0,0.402575795
10691,1,0.400805671
10702,0,0.399905551
10980,1,0.39774797
10869,0,0.391220917
10095,1,0.390638102
10573,1,0.389756593
10197,0,0.38909927
10501,0,0.384953605
10572,0,0.384247124
10301,1,0.382115153
10543,1,0.381412021
10665,1,0.380756252
10374,0,0.379615672
10194,1,0.377682329
10094,1,0.376222552
10469,0,0.374934608
10231,0,0.373390924
10819,0,0.373170043
10461,0,0.372929656
10457,0,0.372397784
10017,1,0.372162261
10639,1,0.367839334
10478,0,0.367434346
10948,1,0.365621794
10648,0,0.365481941
10844,0,0.36466302
10217,1,0.363876507
10110,1,0.363124366
10201,0,0.362683687
10815,1,0.359288835
10451,0,0.357595769
10951,1,0.357434529
10150,0,0.355669721
10253,0,0.35490237
10934,0,0.353715343
10092,1,0.352072945
10794,0,0.351376232
10288,0,0.348252973
10888,1,0.348189545
10513,0,0.347546647
10146,1,0.346873532
10228,0,0.346584609
10784,1,0.34605947
10540,1,0.345497387
10621,0,0.345425175
10577,0,0.343351296
10983,0,0.343121889
10161,1,0.342641539
10541,0,0.342284278
10416,1,0.342251552
10624,0,0.342104374
10343,0,0.341307138
10079,0,0.340680411
10606,1,0.339638447
10890,1,0.338947669
10546,1,0.336818771
10693,1,0.335194791
10553,0,0.334775125
10373,0,0.334238999
10874,1,0.333037157
10353,1,0.33164813
10163,0,0.329843362
10613,1,0.32965601
10881,0,0.32895161
10872,0,0.328482179
10986,1,0.328355578
10550,1,0.32776021
10148,0,0.327204086
10752,1,0.326049454
10172,0,0.32578802
10186,1,0.324960094
10736,1,0.324423773
10052,0,0.323220804
10610,0,0.322436205
10568,0,0.321533989
10368,1,0.320346983
10260,0,0.320327344
10632,0,0.320188678
10220,1,0.319151347
10243,0,0.318247422
10065,0,0.317484552
10081,1,0.317130908
10641,1,0.317111981
10317,1,0.317067818
10567,0,0.316118646
10656,1,0.315684695
10381,0,0.315586987
10497,0,0.314627256
10115,1,0.314248521
10962,0,0.313625182
10576,0,0.312909126
10635,0,0.311750137
10688,1,0.311682694
10476,1,0.310862722
10714,1,0.30969674
10853,1,0.309432636
10770,1,0.308872906
10070,0,0.306692071
10134,1,0.304616477
10603,0,0.303995824
10593,0,0.303262504
10564,1,0.302249774
10417,0,0.302110972
10468,0,0.301089182
10309,1,0.300770396
10096,1,0.300567051
10795,1,0.299594836
10470,1,0.299347265
10897,1,0.297063899
10175,1,0.29564851
10646,0,0.295288703
10429,1,0.293370297
10151,0,0.292867452
10503,0,0.292374905
10616,0,0.290877609
10647,1,0.289195801
10753,1,0.288794988
10912,1,0.288794853
10351,0,0.288777119
10413,0,0.288500998
10278,1,0.286723876
10556,1,0.285923714
10821,0,0.285865847
10877,1,0.285830036
10530,1,0.285402234
10827,0,0.284660565
10316,0,0.284303746
10545,1,0.28384011
10363,0,0.283123753
10852,0,0.283084486
10894,1,0.283065348
10397,0,0.281321986
10981,0,0.280372246
10533,1,0.280241739
10780,0,0.279461768
10320,1,0.279224974
10995,1,0.278960457
10866,0,0.2761942
10966,0,0.276174776
10586,0,0.275036423
10448,1,0.27502742
10800,0,0.274221956
10658,0,0.272479032
10507,0,0.271820648
10928,1,0.271152492
10342,1,0.270626565
10100,0,0.270346273
10409,0,0.270330755
10607,0,0.270308433
10136,0,0.269418163
10726,0,0.268708146
10957,0,0.267926954
10518,0,0.267428486
10086,0,0.266790425
10746,0,0.266774238
10029,1,0.266675289
10686,1,0.265987595
10670,0,0.265585
10949,0,0.26519296
10069,1,0.264329915
10247,0,0.264296355
10072,0,0.26397332
10843,0,0.262966937
10867,1,0.262341998
10596,0,0.262272846
10443,1,0.261948769
10689,1,0.261233698
10203,0,0.258816508
10357,1,0.258805259
10284,1,0.257579686
10786,0,0.257529506
10703,1,0.257320936
10834,0,0.256968191
10597,0,0.256687846
10104,1,0.25621549
10936,1,0.254924548
10832,0,0.254123873
10633,0,0.253894767
10856,1,0.253844087
10358,0,0.253806633
10699,0,0.253445997
10298,0,0.253236663
10224,1,0.252202984
10466,1,0.250606557
10206,1,0.249584833
10339,0,0.249246446
10334,1,0.248422182
10135,1,0.247551128
10222,0,0.247122311
10085,0,0.245708861
10272,1,0.244527812
10879,0,0.244246583
10084,0,0.244232684
10348,1,0.243764568
10820,0,0.243590243
10188,0,0.243270603
10810,0,0.242861768
10207,1,0.242140162
10254,0,0.239704258
10892,0,0.239029432
10039,0,0.238835361
10677,0,0.238073452
10377,0,0.237967668
10297,0,0.236644106
10538,1,0.235684674
10557,0,0.235246465
10913,0,0.234920397
10271,1,0.234776671
10263,0,0.234282693
10412,0,0.233282986
10131,1,0.233042662
10467,0,0.232956892
10174,1,0.232913692
10712,1,0.23129052
10583,0,0.23051602
10215,1,0.230018638
10668,1,0.228803548
10209,0,0.228266582
10671,0,0.227005917
10520,0,0.225625717
10850,0,0.22528227
10420,0,0.224844733
10333,1,0.224001875
10152,0,0.223180097
10558,0,0.222940256
10352,0,0.222666287
10444,1,0.221705796
10050,0,0.221150164
10547,0,0.220815804
10935,0,0.21934447
10826,1,0.2184546
10973,0,0.218368603
10386,0,0.218067561
10407,0,0.217656614
10325,0,0.217278129
10102,0,0.214887168
10440,0,0.214566417
10369,0,0.214067057
10264,0,0.214028256
10393,0,0.21388401
10475,0,0.213634495
10803,0,0.212548482
10575,1,0.212458878
10314,0,0.212288166
10876,0,0.211824505
10117,0,0.210801427
10083,0,0.210170046
10097,1,0.209922593
10560,0,0.209509846
10967,1,0.2095069
10918,1,0.209456972
10922,0,0.209346492
10105,1,0.208522829
10328,0,0.207539569
10049,0,0.207439438
10554,0,0.207401098
10710,0,0.20714502
10982,0,0.206151349
10921,0,0.205933261
10427,0,0.20458669
10887,0,0.203947053
10917,1,0.2034739
10738,0,0.203132701
10950,0,0.20313027
10640,1,0.202795572
10955,0,0.202164394
10449,0,0.202110011
10943,1,0.201907685
10266,0,0.201831837
10768,0,0.201564628
10662,0,0.201022826
10401,0,0.200517648
10628,1,0.199910936
10436,0,0.199595851
10238,0,0.199456976
10809,0,0.199411326
10041,0,0.198359112
10047,0,0.198355491
10968,1,0.197397524
10287,1,0.197177555
10930,0,0.195861011
10415,0,0.195754799
10569,0,0.195540549
10896,0,0.194309287
10491,1,0.193986254
10608,0,0.193602625
10975,1,0.193308671
10811,0,0.190702417
10294,0,0.190374377
10446,0,0.190110477
10748,1,0.190068565
10460,1,0.189122418
10673,0,0.188323576
10312,1,0.187529164
10854,0,0.187416582
10182,1,0.18724288
10347,0,0.185718023
10410,1,0.185466423
10915,0,0.185159844
10405,0,0.184820464
10971,0,0.184345558
10308,1,0.184286863
10489,0,0.184166747
10717,0,0.18405302
10077,0,0.183705981
10612,0,0.183504245
10411,0,0.183202845
10885,0,0.182804232
10836,0,0.18265781
10192,1,0.182639015
10904,0,0.18236699
10516,1,0.181281459
10383,0,0.180591404
10246,0,0.18015923
10453,0,0.179814127
10594,0,0.179310539
10799,0,0.178170998
10743,0,0.178108614
10459,0,0.178022343
10588,0,0.177960604
10221,0,0.177163225
10996,0,0.176612942
10259,0,0.176592323
10213,0,0.176365982
10311,0,0.176052831
10778,0,0.175686854
10340,0,0.175095602
10862,0,0.175044313
10060,0,0.175025118
10465,0,0.174998754
10395,0,0.174663858
10910,0,0.174361871
10107,1,0.174227446
10591,0,0.173740319
10376,0,0.173646401
10156,0,0.173542121
10388,0,0.173483546
10365,0,0.173421432
10549,1,0.172646212
10977,1,0.172627423
10615,0,0.172453949
10766,0,0.172143058
10481,0,0.172065383
10837,1,0.171994435
10208,0,0.171968169
10841,0,0.171406714
10941,0,0.17122608
10733,1,0.171080535
10704,0,0.170541302
10506,0,0.170178195
10099,0,0.17015773
10244,0,0.169967305
10636,0,0.169925636
10785,0,0.169670778
10219,0,0.168905698
10071,0,0.168883853
10495,0,0.168803781
10018,0,0.168220059
10526,1,0.167630163
10925,0,0.167407058
10023,0,0.166668298
10198,1,0.166110743
10883,0,0.165667351
10447,0,0.165404983
10329,0,0.165377949
10103,0,0.165303025
10251,0,0.165126217
10360,0,0.164988517
10408,0,0.164630127
10046,0,0.164160252
10846,0,0.163151565
10823,0,0.162687156
10814,1,0.162429676
10720,0,0.162255085
10190,0,0.16207442
10758,0,0.16178505
10137,1,0.161285273
10584,0,0.160897117
10860,0,0.160770659
10728,0,0.160622371
10822,1,0.160211507
10051,0,0.159714012
10644,0,0.15961509
10562,1,0.159611946
10279,0,0.157890534
10354,0,0.157848515
10310,0,0.157566342
10331,0,0.157154509
10479,0,0.157121048
10920,0,0.15671753
10177,1,0.156482846
10166,0,0.156097828
10346,1,0.155877236
10684,0,0.155844841
10344,0,0.15576856
10345,0,0.155729191
10349,1,0.155683313
10650,1,0.155552977
10307,0,0.155548512
10498,0,0.155273882
10578,0,0.155056555
10674,0,0.154979052
10304,1,0.154935766
10871,0,0.154829146
10946,0,0.15478099
10371,0,0.154199146
10773,1,0.154063161
10098,0,0.153920808
10341,0,0.153544489
10984,0,0.153501866
10782,0,0.153481442
10521,0,0.153453718
10236,1,0.153243854
10709,0,0.152926214
10565,0,0.152769693
10438,1,0.152569038
10666,0,0.152083814
10121,0,0.151998324
10434,0,0.151971249
10685,0,0.151413579
10859,1,0.151132435
10791,0,0.150902862
10302,1,0.150576411
10566,1,0.150444757
10269,0,0.150309139
10064,0,0.150266357
10113,0,0.150036031
10165,1,0.149839804
10537,0,0.149694909
10120,0,0.149540724
10242,0,0.149361173
10019,0,0.149044874
10864,0,0.148925994
10660,0,0.148278726
10111,0,0.148195027
10985,1,0.148134321
10195,1,0.147767113
10625,1,0.147418134
10863,0,0.146912412
10512,0,0.146783399
10754,0,0.146599747
10289,0,0.146402174
10406,0,0.146166268
10474,1,0.145819231
10424,0,0.1456061
10315,0,0.144823871
10585,0,0.144132393
10532,1,0.144095733
10508,0,0.144090007
10735,1,0.144065816
10059,1,0.143512439
10830,0,0.143344015
10993,0,0.14308491
10286,1,0.143062956
10749,0,0.142933587
10482,0,0.142726516
10490,1,0.141911486
10676,0,0.141437975
10514,0,0.141377801
10370,0,0.140790766
10602,0,0.140687082
10563,1,0.140606746
10739,0,0.140568402
10402,0,0.140408863
10432,0,0.140390948
10908,0,0.14022891
10218,0,0.139947479
10336,0,0.13956202
10974,0,0.139196779
10300,1,0.138992836
10004,0,0.138768793
10153,0,0.138353595
10159,0,0.138343431
10020,0,0.138075223
10132,0,0.13753803
10796,0,0.137190672
10268,1,0.136780132
10505,1,0.13646083
10229,0,0.136341494
10062,1,0.136081153
10472,1,0.135999969
10617,1,0.135401746
10473,0,0.135324345
10775,0,0.13520402
10379,0,0.135053202
10579,0,0.133671332
10273,0,0.133640607
10025,0,0.133283601
10813,0,0.132854285
10510,0,0.132285956
10496,0,0.132192706
10924,0,0.132148124
10902,0,0.131587078
10091,0,0.131539987
10223,0,0.131347393
11000,0,0.131161922
10618,0,0.130777335
10249,0,0.130644003
10762,0,0.129563304
10385,0,0.129302396
10833,1,0.128853627
10141,0,0.128786158
10442,0,0.128638564
10916,0,0.128630417
10456,0,0.128574962
10439,0,0.1284174
10009,0,0.12841291
10931,0,0.128119874
10589,1,0.128077268
10199,0,0.127845587
10838,1,0.127060425
10659,0,0.126799867
10961,1,0.126767762
10403,0,0.126645433
10725,0,0.126392004
10771,0,0.126359598
10604,1,0.126322278
10196,0,0.126298031
10480,0,0.126296937
10645,0,0.126243959
10216,0,0.126140947
10398,0,0.125991829
10016,0,0.125580533
10227,1,0.12555892
10437,1,0.125329608
10599,0,0.123936823
10015,0,0.123893413
10807,0,0.123821333
10101,1,0.123581799
10655,0,0.122841907
10422,1,0.122642997
10652,0,0.122453045
10940,0,0.122087365
10147,0,0.121826708
10124,1,0.121445661
10700,0,0.121236834
10970,0,0.121165705
10751,0,0.121023821
10919,0,0.120845913
10523,1,0.12041435
10233,0,0.120400504
10987,0,0.120287693
10032,0,0.120159694
10008,0,0.119592086
10643,0,0.119517234
10488,0,0.119482637
10548,0,0.119228744
10126,0,0.118877
10870,1,0.118745048
10181,0,0.118601017
10404,0,0.118334515
10143,0,0.117679548
10661,0,0.117178888
10080,0,0.117080681
10947,0,0.117074082
10637,0,0.116983064
10561,0,0.116536248
10494,0,0.116408938
10418,1,0.116100685
10396,0,0.116085808
10423,0,0.115960594
10109,0,0.11585788
10942,0,0.115375034
10359,0,0.115027844
10054,0,0.114921626
10462,0,0.114528144
10171,0,0.114457033
10781,0,0.114280514
10384,0,0.113652173
10667,0,0.113238412
10937,0,0.113189836
10517,0,0.113054601
10034,0,0.112700282
10678,0,0.112044082
10873,0,0.111944298
10240,0,0.11153987
10492,0,0.111221165
10145,0,0.111209632
10964,0,0.111194106
10525,0,0.110944257
10212,0,0.110816872
10073,0,0.110801984
10792,0,0.110799055
10787,0,0.110657762
10824,1,0.110526651
10169,0,0.11028058
10168,0,0.109676715
10414,0,0.109402868
10969,0,0.109199139
10911,0,0.109151252
10048,0,0.108968515
10038,0,0.108319076
10891,0,0.108115808
10855,0,0.107890605
10895,0,0.107295083
10116,0,0.107139185
10868,0,0.106740981
10679,0,0.106738897
10277,0,0.106702466
10923,0,0.106693734
10066,0,0.106344418
10455,1,0.106108478
10600,0,0.105565135
10502,0,0.105379627
10257,0,0.105282811
10878,1,0.105051714
10965,0,0.105018753
10914,0,0.104955168
10178,0,0.104868914
10954,0,0.104823031
10477,0,0.104648575
10544,0,0.104605999
10755,0,0.104429033
10845,0,0.103922434
10865,0,0.103811839
10756,1,0.103517204
10114,0,0.102872142
10200,0,0.102799207
10140,0,0.101826472
10375,0,0.101339977
10256,0,0.101092789
10445,0,0.100736513
10681,0,0.100194646
10337,0,0.100169656
10611,1,0.100041843
10350,0,0.099955753
10706,0,0.099954318
10014,0,0.09954495
10074,0,0.099149798
10777,0,0.09911557
10189,1,0.098893757
10245,0,0.098769502
10817,0,0.098696944
10857,0,0.098573716
10299,1,0.098482964
10692,0,0.098424078
10296,0,0.098338521
10842,0,0.098313489
10035,0,0.098296728
10763,0,0.097761558
10367,0,0.097724997
10433,0,0.097666893
10202,0,0.097491283
10806,0,0.097398649
10882,0,0.097315192
10804,0,0.096715469
10519,0,0.096509299
10723,0,0.09647472
10087,0,0.096143546
10067,0,0.09607016
10390,0,0.096056431
10880,0,0.095951699
10011,0,0.095738776
10382,0,0.095622371
10108,0,0.095367061
10293,0,0.09533248
10805,0,0.095241335
10539,0,0.094978085
10682,0,0.094733773
10590,0,0.094542057
10664,0,0.094331037
10675,1,0.094024223
10858,0,0.093475654
10458,0,0.093102504
10761,0,0.093056895
10886,0,0.092951552
10779,0,0.092450393
10729,0,0.092142013
10155,0,0.092085209
