id,name,country,status,formed_in,genre,theme,active
1,('M') Inc.,United States,Unknown,2009,Death Metal,N/A,2009-?
2,(sic),United States,Split-up,1993,Death Metal,N/A,1993-1996
3,.F.O.A.D.,France,Active,2009,Death Metal,Life and Death,2009-present
4,100 Suns,United States,Active,2004,Death Metal,N/A,2004-present
5,12 Days of Anarchy,United States,Split-up,1998,Death Metal,Anarchy,1998-2002
6,13th Cadaver,United States,Changed name,2006,Death Metal,Death| Gore| Undead,2006-?| ?-2007 (as Splatter the Cadaver)| 2008 (as Splatter the Cadaver)
7,1917,Argentina,Active,1994,Death Metal,Dark Philosophical Poetry| Art| Religion| Psychology,1994-present
8,5th Column,United States,Active,2003,Death Metal,War| Death| Battles| Rape,2003-present
9,6 Feet Under,Germany,Split-up,N/A,Death Metal,N/A,N/A
10,602,Russia,Active,2012,Death Metal,Cruelty of regimes| WWII| Death,2012-present
11,7th Delirium,Spain,Split-up,1998,Death Metal,N/A,1998-?
12,7th Gate,Austria,Split-up,N/A,Death Metal,N/A,N/A
13,9,Argentina,Active,2008,Death Metal,War| Religion| Bloodshed,2008-present
14,9th Plague,Sweden,Split-up,2000,Death Metal,Anti-Christianity,2000-2008
15,A Dark Place,Australia,Unknown,2009,Death Metal,N/A,2009-?
16,A Dying Season,Mexico,Active,2010,Death Metal,N/A,2010-present
17,A Greed Science,Australia,Active,2009,Death Metal,Humanity| Life Experience,2009-present
18,A Life Less Alive,United States,Active,1997,Death Metal,Death| Zombies| Religion| Horror,1997-present
19,A Place for Murder,Italy,Active,2009,Death Metal,Death| Life| Nature| Technology| Human Madness,2009-2012| 2013-present
20,A Tomba Oberta,Spain,Active,2013,Death Metal,N/A,2013-present
21,A-Rise,Germany,Changed name,1999,Death Metal,Death| Destruction,1999-2013| 2013-present (as Sic Zone)
22,A.R.M.A.,Italy,Unknown,2008,Death Metal,N/A,2002-2008 (as Void Essence)| 2008-?
23,AAAAARGH! Bloody 2-Handed Chainaxe Blow,France,Unknown,1999,Death Metal,Esoteric,1999-?
24,Ab-Irato,Argentina,Active,N/A,Death Metal,Hate| Anti-religion,N/A
25,Abaddon,Australia,Split-up,2006,Death Metal,N/A,2006-2008
26,Abaddon,Brazil,Split-up,2003,Death Metal,Satanism| Anti-Christianity,2003-2004| 2004 (as Ritus Tenebrum)
27,Abaddon,Bulgaria,Active,1999,Death Metal,N/A,1999-present
28,Abaddon,Chile,Active,1989,Death Metal,Paganism,1989 (as Tormentor)| 1989-present
29,Abaddon,Czech Republic,Split-up,1989,Death Metal,N/A,1989-1994
30,Abaddon,Czech Republic,Active,2007,Death Metal,Evil| Armageddon| Fears,2007-present
31,Abaddon,Poland,Changed name,1992,Death Metal,Death,1992-1994| 1994-present (as Sepsis)
32,Abaddon,United States,Split-up,N/A,Death Metal,N/A,N/A
33,Abadon,Colombia,Split-up,N/A,Death Metal,Personal Feelings| Solitude| Death| Senseless,N/A
34,Abandoned,Germany,Split-up,1994,Death Metal,War| Society,1994-?
35,Abantesma,Brazil,Split-up,2000,Death Metal,Horror| Gore,2000-?
36,Abattoir,Denmark,Split-up,1991,Death Metal,N/A,1991-?
37,Abattoir,Singapore,Changed name,1997,Death Metal,Death| Gore| Blasphemy,1997-1999| 1999-present (as Abattory)
38,Abattoir,Slovenia,Unknown,1999,Death Metal,N/A,1999-?
39,Abattoir Pigs,United Kingdom,Split-up,2004,Death Metal,N/A,2004-?
40,Abbatoir,Brazil,Changed name,2003,Death Metal,Genetic| Sickness| Violence| Death,2003-2007| 2007-2010 (as S.O:M.A)
41,Abbattoir,United Kingdom,Changed name,1997,Death Metal,N/A,1997-?| ?-? (as Devoured)
42,Abbysmal,Bolivia,Active,2012,Death Metal,Death,2012-present
43,Abdicated,Brazil,Active,2009,Death Metal,Evil| Anti-Christianity| Satanism,2009-present
44,Abdominal,Colombia,Split-up,1995,Death Metal,Pathologic and Clinic themes,1995-2003
45,Abducción,Colombia,Active,2011,Death Metal,Existentialism| Anti-religion| Evil,2011-present
