No.,Name,Date,Age,Expedition,Nationality,Cause of death,Location
1,Dorje,"June 7, 1922",,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col
2,Lhakpa,"June 7, 1922",,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col
3,Norbu,"June 7, 1922",,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col
4,Pasang,"June 7, 1922",,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col
5,Pema,"June 7, 1922",,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col
6,Sange,"June 7, 1922",,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col
7,Temba,"June 7, 1922",,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col
8,Man Bahadur,"May 13, 1924",,1924 British Mount Everest Expedition,Nepal,Pneumonia,Above Rongbuk B.C.
9,Lance-Naik Shamsherpun,"May 17, 1924",,1924 British Mount Everest Expedition,Nepal,Brain hemorrhage,Above Rongbuk B.C.
10,Andrew Irvine,"June 9, 1924",22,1924 British Mount Everest Expedition,United Kingdom,Unknown. Body never found,N.E. Ridge
11,George Mallory,"June 9, 1924",37,1924 British Mount Everest Expedition,United Kingdom,Possible ice axe injury following a fall. Body found in 1999,N.E. Ridge
12,Maurice Wilson,"May 31, 1934",36,Solo Expedition,United Kingdom,"Possible exhaustion, exposure or starvation. Body found 1935",East Rongbuk Glacier
13,Dorje Mingma,"October 31, 1952",,Swiss Expedition,Nepal,Falling ice,Lhotse Face
14,Wang Ji,"April 11, 1960",,Chinese Expedition Northern Slope,China,Mountain sickness,
15,Shao Shi-Ching,"April 29, 1960",,Chinese Expedition Northern Slope,China,,N.E. Ridge
16,Nawang Tshering,"April 28, 1962",,Chinese Expedition Northern Slope,Nepal,,Lhotse face
17,Jake Breitenbach,"March 23, 1963",27,Norman Dyhrenfurth's American Mount Everest Expedition,United States,Crushed under serac,Icefall
18,Ma Gao-shu,"May 1, 1966",,Chinese Everest Expedition,China,Fall,Icefall
19,Phu Dorjee Sherpa,"October 18, 1969",,Japanese Everest Expedition,Nepal,Fall into a crevasse,Icefall
20,Nima Dorje,"April 5, 1970",,Japanese Skiing Expedition,Nepal,Avalanche,Icefall
21,Kunga Norbu,"April 5, 1970",,Japanese Skiing Expedition,Nepal,Avalanche,
22,Mima Norbu,"April 5, 1970",,Japanese Skiing Expedition,Nepal,Avalanche,Icefall
23,Pasang,"April 5, 1970",,Japanese Skiing Expedition,Nepal,Avalanche,Icefall
24,Kami Tshering,"April 5, 1970",,Japanese Skiing Expedition,Nepal,Avalanche,Icefall
25,Kyak Tsering,"April 9, 1970",36,Japanese Skiing Expedition,Nepal,by fall,5525 m
26,Kiyoshi Narita,"April 21, 1970",,Japanese Skiing Expedition,Japan,Heart attack,6150m
27,Harsh Vardhan,"April 18, 1971",31,International Expedition of 1971,India,Succumbed after falling and being suspended above a crevasse during a blizzard,6900m
28,Tony Tighe,"November 16, 1972",,Mt. Qomolangma expedition,Australia,Crushed under serac,Icefall
29,Jangbu,"October 12, 1973",,,Nepal,Avalanche,S.W. Face
30,Gérard Devouassoux,"September 9, 1974",,French West Ridge Direct expedition,France,Avalanche,6400m
31,Pemba Dorje,"September 9, 1974",,French West Ridge Direct expedition,Nepal,Avalanche,6400m
32,Lhakpa,"September 9, 1974",,French West Ridge Direct expedition,Nepal,Avalanche,6400m
33,Nawang Lutuk,"September 9, 1974",,French West Ridge Direct expedition,Nepal,Avalanche,6400m
34,Nima Wangchu,"September 9, 1974",,French West Ridge Direct expedition,Nepal,Avalanche,6400m
35,Sanu Wongal,"September 9, 1974",,French West Ridge Direct expedition,Nepal,Avalanche,6400m
36,Wu Zhuong Yue,"May 4, 1975",,,China,"Exhaustion, fall",8500m
