state,year,population
AL,2012,4817528.0
AL,2010,4785570.0
AL,2011,4801627.0
AL,2009,4757938.0
AL,2013,4833722.0
AL,2007,4672840.0
AL,2008,4718206.0
AL,2005,4569805.0
AL,2006,4628981.0
AL,2004,4530729.0
AL,2003,4503491.0
AL,2001,4467634.0
AL,2002,4480089.0
AL,1999,4430141.0
AL,2000,4452173.0
AL,1998,4404701.0
AL,1997,4367935.0
AL,1996,4331103.0
AL,1995,4296800.0
AL,1994,4260229.0
AL,1993,4214202.0
AL,1992,4154014.0
AL,1991,4099156.0
AL,1990,4050055.0
AK,1990,553290.0
AK,1992,588736.0
AK,1994,603308.0
AK,1991,570193.0
AK,1993,599434.0
AK,1995,604412.0
AK,1996,608569.0
AK,1998,619933.0
AK,1997,612968.0
AK,1999,624779.0
AK,2000,627963.0
AK,2001,633714.0
AK,2002,642337.0
AK,2003,648414.0
AK,2004,659286.0
AK,2005,666946.0
AK,2006,675302.0
AK,2007,680300.0
AK,2008,687455.0
AK,2013,735132.0
AK,2009,698895.0
AK,2010,713868.0
AK,2011,723375.0
AK,2012,730307.0
AZ,2012,6551149.0
AZ,2011,6468796.0
AZ,2010,6408790.0
AZ,2013,6626624.0
AZ,2009,6343154.0
AZ,2007,6167681.0
AZ,2008,6280362.0
AZ,2005,5839077.0
AZ,2006,6029141.0
AZ,2004,5652404.0
AZ,2003,5510364.0
AZ,2001,5273477.0
AZ,2002,5396255.0
AZ,1999,5023823.0
AZ,2000,5160586.0
AZ,1998,4883342.0
AZ,1997,4736990.0
AZ,1996,4586940.0
AZ,1995,4432499.0
AZ,1993,4065440.0
AZ,1994,4245089.0
AZ,1991,3788576.0
AZ,1992,3915740.0
AZ,1990,3684097.0
AR,1990,2356586.0
AR,1991,2383144.0
AR,1992,2415984.0
AR,1994,2494019.0
AR,1993,2456303.0
AR,1995,2535399.0
AR,1996,2572109.0
AR,1997,2601091.0
AR,1998,2626289.0
AR,2000,2678588.0
AR,1999,2651860.0
AR,2002,2705927.0
AR,2001,2691571.0
AR,2004,2749686.0
AR,2003,2724816.0
AR,2006,2821761.0
AR,2005,2781097.0
AR,2008,2874554.0
AR,2007,2848650.0
AR,2009,2896843.0
AR,2013,2959373.0
AR,2011,2938506.0
AR,2010,2922280.0
AR,2012,2949828.0
CA,2012,37999878.0
CA,2011,37668681.0
CA,2010,37333601.0
CA,2013,38332521.0
CA,2009,36961229.0
CA,2007,36250311.0
CA,2008,36604337.0
CA,2005,35827943.0
CA,2006,36021202.0
CA,2003,35253159.0
CA,2004,35574576.0
CA,2001,34479458.0
CA,2002,34871843.0
CA,1999,33499204.0
CA,2000,33987977.0
CA,1998,32987675.0
CA,1997,32486010.0
CA,1996,32018834.0
CA,1995,31696582.0
CA,1993,31274928.0
CA,1994,31484435.0
CA,1991,30470736.0
CA,1992,30974659.0
CA,1990,29959515.0
CO,1990,3307618.0
CO,1992,3495939.0
CO,1991,3387119.0
CO,1994,3724168.0
CO,1993,3613734.0
CO,1995,3826653.0
CO,1996,3919972.0
CO,1997,4018293.0
CO,1998,4116639.0
CO,2000,4326921.0
CO,1999,4226018.0
CO,2002,4490406.0
CO,2001,4425687.0
CO,2004,4575013.0
CO,2003,4528732.0
CO,2006,4720423.0
CO,2005,4631888.0
CO,2008,4889730.0
CO,2007,4803868.0
CO,2009,4972195.0
CO,2013,5268367.0
CO,2010,5048196.0
CO,2011,5118400.0
CO,2012,5189458.0
CT,2012,3591765.0
CT,2011,3588948.0
CT,2010,3579210.0
CT,2013,3596080.0
CT,2009,3561807.0
CT,2007,3527270.0
CT,2008,3545579.0
CT,2005,3506956.0
CT,2006,3517460.0
CT,2003,3484336.0
CT,2004,3496094.0
CT,2001,3432835.0
CT,2002,3458749.0
CT,1999,3386401.0
CT,2000,3411777.0
CT,1998,3365352.0
CT,1997,3349348.0
CT,1996,3336685.0
CT,1995,3324144.0
CT,1993,3309175.0
CT,1994,3316121.0
CT,1991,3302895.0
CT,1992,3300712.0
CT,1990,3291967.0
DE,1990,669567.0
DE,1992,694927.0
DE,1991,683080.0
DE,1994,717545.0
DE,1993,706378.0
DE,1995,729735.0
DE,1996,740978.0
DE,1997,751487.0
DE,1998,763335.0
DE,2000,786373.0
DE,1999,774990.0
DE,2002,806169.0
DE,2001,795699.0
DE,2004,830803.0
DE,2003,818003.0
DE,2006,859268.0
DE,2005,845150.0
DE,2008,883874.0
DE,2007,871749.0
DE,2013,925749.0
DE,2009,891730.0
DE,2010,899711.0
DE,2011,907985.0
DE,2012,917053.0
DC,2012,633427.0
DC,2011,619624.0
DC,2010,605125.0
DC,2013,646449.0
DC,2009,592228.0
DC,2007,574404.0
DC,2008,580236.0
DC,2005,567136.0
DC,2006,570681.0
DC,2003,568502.0
DC,2004,567754.0
DC,2001,574504.0
DC,2002,573158.0
DC,1999,570220.0
DC,2000,572046.0
DC,1998,565232.0
DC,1997,567739.0
DC,1996,572379.0
DC,1995,580519.0
DC,1993,595302.0
DC,1994,589240.0
DC,1991,600870.0
DC,1992,597567.0
DC,1990,605321.0
FL,1990,13033307.0
FL,1991,13369798.0
FL,1994,14239444.0
FL,1993,13927185.0
FL,1992,13650553.0
FL,1995,14537875.0
FL,1996,14853360.0
FL,1997,15186304.0
FL,1998,15486559.0
FL,1999,15759421.0
FL,2000,16047515.0
FL,2001,16356966.0
FL,2002,16689370.0
FL,2003,17004085.0
FL,2004,17415318.0
FL,2005,17842038.0
FL,2006,18166990.0
FL,2007,18367842.0
FL,2008,18527305.0
FL,2009,18652644.0
FL,2013,19552860.0
FL,2010,18846054.0
FL,2011,19083482.0
FL,2012,19320749.0
GA,2012,9915646.0
GA,2011,9810181.0
GA,2010,9713248.0
GA,2013,9992167.0
GA,2009,9620846.0
GA,2007,9349988.0
GA,2008,9504843.0
GA,2005,8925922.0
GA,2006,9155813.0
GA,2003,8622793.0
GA,2004,8769252.0
GA,2001,8377038.0
GA,2002,8508256.0
GA,1999,8045965.0
GA,2000,8227303.0
GA,1997,7685099.0
GA,1998,7863536.0
GA,1996,7501069.0
GA,1995,7328413.0
GA,1992,6817203.0
GA,1993,6978240.0
GA,1994,7157165.0
GA,1991,6653005.0
GA,1990,6512602.0
HI,1990,1113491.0
HI,1991,1136754.0
HI,1994,1187536.0
HI,1993,1172838.0
HI,1992,1158613.0
HI,1995,1196854.0
HI,1996,1203755.0
HI,1998,1215233.0
HI,1997,1211640.0
HI,2000,1213519.0
HI,1999,1210300.0
HI,2002,1239613.0
HI,2001,1225948.0
HI,2004,1273569.0
HI,2003,1251154.0
HI,2006,1309731.0
HI,2005,1292729.0
HI,2008,1332213.0
HI,2007,1315675.0
HI,2009,1346717.0
HI,2013,1404054.0
HI,2010,1363731.0
HI,2011,1376897.0
HI,2012,1390090.0
ID,2012,1595590.0
ID,2011,1583930.0
ID,2010,1570718.0
ID,2013,1612136.0
ID,2009,1554439.0
ID,2007,1505105.0
ID,2008,1534320.0
ID,2005,1428241.0
ID,2006,1468669.0
ID,2003,1363380.0
ID,2004,1391802.0
ID,2001,1319962.0
ID,2002,1340372.0
ID,1999,1275674.0
ID,2000,1299430.0
ID,1997,1228520.0
ID,1998,1252330.0
ID,1996,1203083.0
ID,1995,1177322.0
ID,1992,1071685.0
ID,1993,1108768.0
ID,1994,1145140.0
ID,1991,1041316.0
ID,1990,1012384.0
IL,1990,11453316.0
IL,1991,11568964.0
IL,1994,11912585.0
IL,1993,11809579.0
IL,1992,11694184.0
IL,1995,12008437.0
IL,1996,12101997.0
IL,1998,12271847.0
IL,1997,12185715.0
IL,2000,12434161.0
IL,1999,12359020.0
IL,2002,12525556.0
IL,2001,12488445.0
IL,2004,12589773.0
IL,2003,12556006.0
IL,2006,12643955.0
IL,2005,12609903.0
IL,2008,12747038.0
IL,2007,12695866.0
IL,2009,12796778.0
IL,2013,12882135.0
IL,2010,12839695.0
IL,2011,12855970.0
IL,2012,12868192.0
IN,2012,6537782.0
IN,2011,6516336.0
IN,2010,6489965.0
IN,2013,6570902.0
IN,2009,6459325.0
IN,2007,6379599.0
IN,2008,6424806.0
IN,2005,6278616.0
IN,2006,6332669.0
IN,2003,6196638.0
IN,2004,6233007.0
IN,2001,6127760.0
IN,2002,6155967.0
IN,1999,6044970.0
IN,2000,6091866.0
IN,1997,5955267.0
IN,1998,5998881.0
IN,1996,5906013.0
IN,1995,5851459.0
IN,1992,5674547.0
IN,1993,5739019.0
IN,1994,5793526.0
IN,1991,5616388.0
IN,1990,5557798.0
IA,1990,2781018.0
IA,1991,2797613.0
IA,1994,2850746.0
IA,1993,2836972.0
IA,1992,2818401.0
IA,1995,2867373.0
IA,1996,2880001.0
IA,1998,2902872.0
IA,1997,2891119.0
IA,2000,2929067.0
IA,1999,2917634.0
IA,2002,2934234.0
IA,2001,2931997.0
IA,2004,2953635.0
IA,2003,2941999.0
IA,2006,2982644.0
IA,2005,2964454.0
IA,2008,3016734.0
IA,2007,2999212.0
IA,2009,3032870.0
IA,2013,3090416.0
IA,2010,3050314.0
IA,2011,3064102.0
IA,2012,3075039.0
KS,2012,2885398.0
KS,2011,2869548.0
KS,2010,2858910.0
KS,2013,2893957.0
KS,2009,2832704.0
KS,2007,2783785.0
KS,2008,2808076.0
KS,2005,2745299.0
KS,2006,2762931.0
KS,2003,2723004.0
KS,2004,2734373.0
KS,2001,2702162.0
KS,2002,2713535.0
KS,1999,2678338.0
KS,2000,2693681.0
KS,1997,2635292.0
KS,1998,2660598.0
KS,1996,2614554.0
KS,1995,2601008.0
KS,1992,2532395.0
KS,1993,2556547.0
KS,1994,2580513.0
KS,1991,2498722.0
KS,1990,2481349.0
KY,1990,3694048.0
KY,1991,3722328.0
KY,1994,3849088.0
KY,1993,3812206.0
KY,1992,3765469.0
KY,1995,3887427.0
KY,1996,3919536.0
KY,1998,3985391.0
KY,1997,3952747.0
KY,2000,4049021.0
KY,1999,4018053.0
KY,2002,4089875.0
KY,2001,4068132.0
KY,2004,4146101.0
KY,2003,4117170.0
KY,2006,4219239.0
KY,2005,4182742.0
KY,2008,4289878.0
KY,2007,4256672.0
KY,2009,4317074.0
KY,2013,4395295.0
KY,2010,4347698.0
KY,2011,4366869.0
KY,2012,4379730.0
LA,2012,4602134.0
LA,2011,4575197.0
LA,2010,4545392.0
LA,2013,4625470.0
LA,2009,4491648.0
LA,2007,4375581.0
LA,2008,4435586.0
LA,2005,4576628.0
LA,2006,4302665.0
LA,2003,4521042.0
LA,2004,4552238.0
LA,2001,4477875.0
LA,2002,4497267.0
LA,2000,4471885.0
LA,1999,4460811.0
LA,1997,4421072.0
LA,1998,4440344.0
LA,1996,4398877.0
LA,1995,4378779.0
LA,1992,4293003.0
LA,1993,4316428.0
LA,1994,4347481.0
LA,1991,4253279.0
