week,storeA,storeB,storeC,storeD,storeE
2014-05-04,2643,8257,3893,6231,1294
2014-05-11,6444,5736,5634,7092,2907
2014-05-18,9646,2552,4253,5447,4736
2014-05-25,5960,10740,8264,6063,949
2014-06-01,7412,7374,3208,3985,3023
2014-06-08,1289,10137,5070,7163,1703
2014-06-15,6282,3925,5528,4748,3351
2014-06-22,5135,7317,5530,4595,104
2014-06-29,11766,12560,3199,4676,3573
2014-07-06,8567,3228,927,3277,168
2014-07-13,3123,6129,4518,4891,4598
2014-07-20,5299,5456,2104,3889,2429
2014-07-27,14403,14,5146,6982,2032
2014-08-03,10400,3488,7993,7837,984
2014-08-10,5715,13234,2476,5265,4900
2014-08-17,11043,5181,5292,6660,3473
2014-08-24,576,9082,2411,4856,1408
2014-08-31,5349,3811,3862,4860,59
2014-09-07,3167,13080,5921,5063,514
2014-09-14,1921,2348,4174,5277,4775
2014-09-21,8435,5523,5868,5982,514
2014-09-28,1100,6114,4126,6820,2489
2014-10-05,7699,9465,8259,6561,298
2014-10-12,3954,9037,7101,6385,281
2014-10-19,7242,10090,6261,5346,4793
2014-10-26,4319,3648,2878,7236,3067
2014-11-02,5161,1777,5488,2276,3102
2014-11-09,6923,3633,6616,7308,3459
2014-11-16,6882,451,3864,7476,3612
2014-11-23,8532,7965,4078,3975,1350
2014-11-30,5086,5145,3768,6356,2785
2014-12-07,4178,7386,5217,5226,2605
2014-12-14,7704,2006,3661,6166,2126
2014-12-21,2377,3173,6877,5167,2039
2014-12-28,8605,6624,2932,3488,2647
2015-01-04,8053,9316,5898,6535,1634
2015-01-11,4061,9846,3145,6564,2789
2015-01-18,6282,3816,3739,7210,6327
2015-01-25,2271,1819,6988,6890,1596
2015-02-01,6339,7751,3893,6875,1721
2015-02-08,1826,1626,6330,3847,1243
2015-02-15,4842,5370,3591,3815,4582
2015-02-22,6586,1711,6018,7084,2674
2015-03-01,10432,7596,7356,4805,3199
2015-03-08,9104,9598,5445,6382,4773
2015-03-15,4711,14601,5888,5965,5538
2015-03-22,9409,11089,6446,6088,3519
2015-03-29,6499,13791,5466,5069,671
2015-04-05,5064,5604,5140,7779,2049
2015-04-12,805,4754,4559,6802,1253
2015-04-19,1086,3263,5095,5372,1921
2015-04-26,1671,9285,4476,5677,7553
2015-05-03,1341,10474,3832,6483,6489
2015-05-10,6067,7878,5406,5075,1922
2015-05-17,3697,15841,2972,8190,3235
2015-05-24,2749,10575,5801,6035,3806
2015-05-31,4908,6806,6963,4261,4394
2015-06-07,5219,3480,4676,5271,3293
2015-06-14,5795,7684,3164,6066,2579
2015-06-21,353,10610,4385,6029,242
2015-06-28,3444,4876,6103,5817,5262
2015-07-05,1638,2273,5518,5087,1592
2015-07-12,6727,8386,4495,7278,1563
2015-07-19,3961,8294,4952,5381,2975
2015-07-26,5366,9467,5721,3720,2078
2015-08-02,9051,981,6777,4945,2971
2015-08-09,8749,4442,4059,4237,2127
2015-08-16,7422,3921,5079,5176,4860
2015-08-23,10608,1314,5726,5908,196
2015-08-30,5719,1695,5615,5912,6755
2015-09-06,4191,6780,3568,4779,1701
2015-09-13,3810,9030,5323,3104,2293
2015-09-20,4951,8707,4259,4947,783
2015-09-27,8253,5876,6715,6959,2262
2015-10-04,2245,10436,2444,4714,1400
2015-10-11,3690,8835,3896,4454,1141
2015-10-18,4179,4896,4663,4813,2127
2015-10-25,9209,9491,4131,4802,1688
2015-11-01,4715,12978,4712,5032,792
2015-11-08,6985,11617,4389,4774,2745
2015-11-15,8120,12767,5726,3372,796
2015-11-22,3104,2435,5431,5782,39
2015-11-29,13043,10219,6503,2787,2142
2015-12-06,6598,4921,3932,3981,1516
2015-12-13,5506,4194,4562,5165,2307
2015-12-20,11029,8118,6138,4909,3494
2015-12-27,10007,10510,6333,4439,3923
2016-01-03,2899,5902,6071,5727,374
2016-01-10,9443,7644,4644,4429,599
2016-01-17,1366,3640,6068,4550,5511
2016-01-24,3858,7424,2036,4079,5119
2016-01-31,4704,11055,4934,3559,3615
2016-02-07,3409,6835,4731,5329,1211
2016-02-14,2576,7869,4797,5091,3276
2016-02-21,5310,1356,7890,5593,2846
2016-02-28,7419,12887,6058,3653,7008
2016-03-06,5635,3417,5005,4587,1484
2016-03-13,2054,1390,5112,5513,2536
2016-03-20,3354,7911,3601,5159,5496
2016-03-27,11514,9454,4110,6029,806
2016-04-03,12056,9881,5005,6674,1198
2016-04-10,7672,8234,5848,5996,3934
2016-04-17,11483,8023,3091,2697,3701
2016-04-24,2156,11787,4553,3968,4093
2016-05-01,7293,5186,3856,5167,317
2016-05-08,2579,7493,4835,6232,812
2016-05-15,8890,7281,4037,7567,2806
2016-05-22,2086,7983,5237,5319,3463
2016-05-29,5927,5097,5022,5950,5620
2016-06-05,7032,5295,5532,5078,1841
2016-06-12,8267,2625,4558,3941,673
2016-06-19,6898,8205,4739,7110,3757
2016-06-26,10685,5729,3949,5611,6636
2016-07-03,2512,12560,5215,5383,3501
2016-07-10,975,3800,7771,5383,1767
2016-07-17,7262,6775,3390,5994,367
2016-07-24,5069,3216,4829,7038,620
2016-07-31,10051,3896,7610,6156,7004
2016-08-07,5647,3216,5304,3978,788
2016-08-14,1427,4173,4733,6240,4182
2016-08-21,6206,8907,4715,5331,3099
2016-08-28,4704,11787,5458,7179,1576
2016-09-04,3936,6352,4904,5535,6771
2016-09-11,6237,252,3901,6199,2279
2016-09-18,4219,10914,3755,5553,3231
2016-09-25,5551,10100,3046,5215,1609
2016-10-02,4234,3622,3049,3843,1894
2016-10-09,5292,4076,5310,6848,1425
2016-10-16,11646,8427,6751,3336,425
2016-10-23,6781,2456,4847,2771,182
2016-10-30,3240,7996,5841,5289,1104
2016-11-06,2226,56,4540,7564,55
2016-11-13,6856,1896,5124,4420,2762
2016-11-20,6935,4497,3669,4968,2291
2016-11-27,4147,6376,4973,6631,3398
2016-12-04,7607,1080,6193,4465,1877
2016-12-11,7879,14796,3956,6662,159
2016-12-18,3173,4766,5253,3489,2583
2016-12-25,335,547,5416,6318,3487
2017-01-01,5712,6335,6608,5224,868
2017-01-08,4958,14832,3684,5552,4890
2017-01-15,4853,9995,4490,5501,4273
2017-01-22,4514,9030,6095,4952,3940
2017-01-29,4292,3187,4575,5429,5428
2017-02-05,4368,5184,5344,4671,978
2017-02-12,7629,5696,2332,6543,3143
