Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Underhood ID,Veh Class,Air Pollution Score,FE Calc Appr,City MPG,Hwy MPG,Cmb MPG,Unadj Cmb MPG,Greenhouse Gas Score,SmartWay
ACURA MDX,3.7,(6 cyl),Auto-S5,4WD,Gasoline,CA,U2,8HNXT03.7PKR,SUV,7,Drv,15,20,17,22.0527,4,no
ACURA MDX,3.7,(6 cyl),Auto-S5,4WD,Gasoline,FA,B5,8HNXT03.7PKR,SUV,6,Drv,15,20,17,22.0527,4,no
ACURA RDX,2.3,(4 cyl),Auto-S5,4WD,Gasoline,CA,U2,8HNXT02.3DKR,SUV,7,Drv,17,22,19,24.1745,5,no
ACURA RDX,2.3,(4 cyl),Auto-S5,4WD,Gasoline,FA,B5,8HNXT02.3DKR,SUV,6,Drv,17,22,19,24.1745,5,no
ACURA RL,3.5,(6 cyl),Auto-S5,4WD,Gasoline,CA,U2,8HNXV03.5HKR,midsize car,7,Drv,16,24,19,24.5629,5,no
ACURA RL,3.5,(6 cyl),Auto-S5,4WD,Gasoline,FA,B5,8HNXV03.5HKR,midsize car,6,Drv,16,24,19,24.5629,5,no
ACURA TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,CA,U2,8HNXV03.5HKR,midsize car,7,Drv,18,26,21,27.2768,6,yes
ACURA TL,3.5,(6 cyl),Auto-S5,2WD,Gasoline,CA,U2,8HNXV03.5RKR,midsize car,7,Drv,17,26,20,25.9414,6,yes
ACURA TL,3.5,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8HNXV03.5RKR,midsize car,7,Drv,18,27,21,27.569,6,yes
ACURA TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,FA,B5,8HNXV03.5HKR,midsize car,6,Drv,18,26,21,27.2768,6,no
ACURA TL,3.5,(6 cyl),Auto-S5,2WD,Gasoline,FA,B5,8HNXV03.5RKR,midsize car,6,Drv,17,26,20,25.9414,6,no
ACURA TL,3.5,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8HNXV03.5RKR,midsize car,6,Drv,18,27,21,27.569,6,no
ACURA TSX,2.4,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8HNXV02.4FKC,small car,6,Drv,19,28,22,29.0566,6,no
ACURA TSX,2.4,(4 cyl),Auto-S5,2WD,Gasoline,FA,B5,8HNXV02.4FKC,small car,6,Drv,20,28,23,29.9192,7,yes
ACURA TSX,2.4,(4 cyl),Man-6,2WD,Gasoline,CA,L2,8HNXV02.4FKC,small car,6,Drv,19,28,22,29.0566,6,no
ACURA TSX,2.4,(4 cyl),Auto-S5,2WD,Gasoline,CA,L2,8HNXV02.4FKC,small car,6,Drv,20,28,23,29.9192,7,yes
ASTON MARTIN DB9,5.9,(12 cyl),Man-6,2WD,Gasoline,FA,B5,8ASXV05.9803,small car,6,Drv,10,16,12,15.625,0,no
ASTON MARTIN DB9,5.9,(12 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ASXV05.9803,small car,6,Drv,11,18,13,16.9826,1,no
ASTON MARTIN DB9,5.9,(12 cyl),Man-6,2WD,Gasoline,CA,L2,8ASXV05.9803,small car,6,Drv,10,16,12,15.625,0,no
ASTON MARTIN DB9,5.9,(12 cyl),Auto-S6,2WD,Gasoline,CA,L2,8ASXV05.9803,small car,6,Drv,11,18,13,16.9826,1,no
ASTON MARTIN DB9 Volante,5.9,(12 cyl),Man-6,2WD,Gasoline,FA,B5,8ASXV05.9803,small car,6,Drv,10,16,12,15.625,0,no
ASTON MARTIN DB9 Volante,5.9,(12 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ASXV05.9803,small car,6,Drv,11,17,13,17.0071,1,no
ASTON MARTIN DB9 Volante,5.9,(12 cyl),Man-6,2WD,Gasoline,CA,L2,8ASXV05.9803,small car,6,Drv,10,16,12,15.625,0,no
ASTON MARTIN DB9 Volante,5.9,(12 cyl),Auto-S6,2WD,Gasoline,CA,L2,8ASXV05.9803,small car,6,Drv,11,17,13,17.0071,1,no
ASTON MARTIN V8 Vantage,4.3,(8 cyl),Man-6,2WD,Gasoline,FA,B5,8ASXV04.3305,small car,6,Drv,12,19,15,18.6241,3,no
ASTON MARTIN V8 Vantage,4.3,(8 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ASXV04.3305,small car,6,Drv,13,20,15,19.8474,3,no
ASTON MARTIN V8 Vantage,4.3,(8 cyl),Man-6,2WD,Gasoline,CA,L2,8ASXV04.3305,small car,6,Drv,12,19,15,18.6241,3,no
ASTON MARTIN V8 Vantage,4.3,(8 cyl),Auto-S6,2WD,Gasoline,CA,L2,8ASXV04.3305,small car,6,Drv,13,20,15,19.8474,3,no
AUDI A3,2,(4 cyl),Man-6,2WD,Gasoline,CA,U2,8ADXV02.0366,station wagon,7,Drv,21,29,24,31.1162,7,yes
AUDI A3,2,(4 cyl),Auto-S6,2WD,Gasoline,CA,U2,8ADXV02.0366,station wagon,7,Drv,22,29,25,32.5709,7,yes
AUDI A3,2,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8ADXV02.0366,station wagon,6,Drv,21,29,24,31.1162,7,yes
AUDI A3,2,(4 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ADXV02.0366,station wagon,6,Drv,22,29,25,32.5709,7,yes
AUDI A3,3.2,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8VWXV03.2535,station wagon,6,Drv,18,25,21,27.2385,6,no
AUDI A3,3.2,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8VWXV03.2535,station wagon,6,Drv,18,25,21,27.2385,6,no
AUDI A4,2,(4 cyl),Auto-AV,2WD,Gasoline,CA,U2,8ADXV02.0352,small car,7,Drv,21,30,24,31.8164,7,yes
AUDI A4,2,(4 cyl),Auto-AV,2WD,Gasoline,FA,B5,8ADXV02.0352,small car,6,Drv,21,30,24,31.8164,7,yes
AUDI A4,3.1,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV03.1374,small car,6,Drv,15,25,19,23.9213,5,no
AUDI A4,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV03.1374,small car,6,Drv,17,25,20,25.8965,6,no
AUDI A4,3.1,(6 cyl),Auto-AV,2WD,Gasoline,FA,B5,8ADXV03.1374,small car,6,Drv,18,27,21,27.9074,6,no
AUDI A4,3.1,(6 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV03.1374,small car,6,Drv,15,25,19,23.9213,5,no
AUDI A4,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV03.1374,small car,6,Drv,17,25,20,25.8965,6,no
AUDI A4,3.1,(6 cyl),Auto-AV,2WD,Gasoline,CA,L2,8ADXV03.1374,small car,6,Drv,18,27,21,27.9074,6,no
AUDI A4 Avant,3.1,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV03.1374,station wagon,6,Drv,15,25,19,23.9213,5,no
AUDI A4 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV03.1374,station wagon,6,Drv,17,25,20,25.8965,6,no
AUDI A4 Avant,3.1,(6 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV03.1374,station wagon,6,Drv,15,25,19,23.9213,5,no
AUDI A4 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV03.1374,station wagon,6,Drv,17,25,20,25.8965,6,no
AUDI A4 Cabriolet,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV03.1374,small car,6,Drv,17,25,20,25.4651,6,no
AUDI A4 Cabriolet,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV03.1374,small car,6,Drv,17,25,20,25.4651,6,no
AUDI A6,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV03.1374,midsize car,6,Drv,17,25,20,25.8965,6,no
AUDI A6,3.1,(6 cyl),Auto-AV,2WD,Gasoline,FA,B5,8ADXV03.1374,midsize car,6,Drv,18,27,21,27.9074,6,no
AUDI A6,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV03.1374,midsize car,6,Drv,17,25,20,25.8965,6,no
AUDI A6,3.1,(6 cyl),Auto-AV,2WD,Gasoline,CA,L2,8ADXV03.1374,midsize car,6,Drv,18,27,21,27.9074,6,no
AUDI A6,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV04.2365,midsize car,6,Drv,16,23,18,23.8751,5,no
AUDI A6,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV04.2365,midsize car,6,Drv,16,23,18,23.8751,5,no
AUDI A6 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV03.1374,station wagon,6,Drv,17,25,20,25.4651,6,no
AUDI A6 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV03.1374,station wagon,6,Drv,17,25,20,25.4651,6,no
AUDI A8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV04.2365,midsize car,6,Drv,16,23,18,23.8751,5,no
AUDI A8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV04.2365,midsize car,6,Drv,16,23,18,23.8751,5,no
AUDI A8 L,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV04.2365,large car,6,Drv,16,23,18,23.8751,5,no
AUDI A8 L,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV04.2365,large car,6,Drv,16,23,18,23.8751,5,no
AUDI A8 L,6,(12 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV06.0359,large car,6,Drv,13,19,15,19.4382,3,no
AUDI A8 L,6,(12 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV06.0359,large car,6,Drv,13,19,15,19.4382,3,no
AUDI Q7,3.6,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8VWXT03.6276,SUV,6,Drv,14,20,16,20.8353,4,no
AUDI Q7,3.6,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8VWXT03.6276,SUV,6,Drv,14,20,16,20.8353,4,no
AUDI Q7,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXT04.2358,SUV,6,Drv,12,17,14,17.8889,2,no
AUDI Q7,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXT04.2358,SUV,6,Drv,12,17,14,17.8889,2,no
AUDI R8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV04.2375,small car,6,Drv,13,19,15,19.555,3,no
AUDI R8,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV04.2375,small car,6,Drv,13,20,15,19.1608,3,no
AUDI R8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV04.2375,small car,6,Drv,13,19,15,19.555,3,no
AUDI R8,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV04.2375,small car,6,Drv,13,20,15,19.1608,3,no
AUDI RS4,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV04.2375,small car,6,Drv,13,20,15,19.1608,3,no
AUDI RS4,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV04.2375,small car,6,Drv,13,20,15,19.1608,3,no
AUDI RS4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV04.2375,small car,6,Drv,12,19,14,18.3588,2,no
AUDI RS4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV04.2375,small car,6,Drv,12,19,14,18.3588,2,no
AUDI S4,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV04.2355,small car,6,Drv,13,20,15,19.862,3,no
AUDI S4,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV04.2355,small car,6,Drv,14,21,16,20.927,4,no
AUDI S4,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV04.2355,small car,6,Drv,13,20,15,19.862,3,no
AUDI S4,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV04.2355,small car,6,Drv,14,21,16,20.927,4,no
AUDI S4 Avant,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV04.2355,station wagon,6,Drv,13,20,15,19.862,3,no
AUDI S4 Avant,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV04.2355,station wagon,6,Drv,14,21,16,20.7524,4,no
AUDI S4 Avant,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV04.2355,station wagon,6,Drv,13,20,15,19.862,3,no
AUDI S4 Avant,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV04.2355,station wagon,6,Drv,14,21,16,20.7524,4,no
AUDI S4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV04.2355,small car,6,Drv,13,19,15,19.6261,3,no
AUDI S4 Cabriolet,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV04.2355,small car,6,Drv,14,21,16,20.7524,4,no
AUDI S4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV04.2355,small car,6,Drv,13,19,15,19.6261,3,no
AUDI S4 Cabriolet,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV04.2355,small car,6,Drv,14,21,16,20.7524,4,no
AUDI S5,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV04.2365,small car,6,Drv,14,21,16,21.2088,4,no
AUDI S5,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV04.2365,small car,6,Drv,14,21,16,21.2088,4,no
AUDI S6,5.2,(10 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV05.2385,midsize car,6,Drv,14,19,16,20.4789,4,no
AUDI S6,5.2,(10 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV05.2385,midsize car,6,Drv,14,19,16,20.4789,4,no
AUDI S8,5.2,(10 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV05.2385,midsize car,6,Drv,13,19,15,19.0325,3,no
AUDI S8,5.2,(10 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV05.2385,midsize car,6,Drv,13,19,15,19.0325,3,no
AUDI TT Coupe,2,(4 cyl),Auto-S6,2WD,Gasoline,CA,U2,8ADXV02.0366,small car,7,Drv,23,31,26,34.2214,8,yes
AUDI TT Coupe,2,(4 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ADXV02.0366,small car,6,Drv,23,31,26,34.2214,8,yes
AUDI TT Coupe,3.2,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8VWXV03.2535,small car,6,Drv,17,24,19,25.1621,5,no
AUDI TT Coupe,3.2,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8VWXV03.2535,small car,6,Drv,18,24,20,26.2801,6,no
AUDI TT Coupe,3.2,(6 cyl),Man-6,4WD,Gasoline,CA,L2,8VWXV03.2535,small car,6,Drv,17,24,19,25.1621,5,no
AUDI TT Coupe,3.2,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8VWXV03.2535,small car,6,Drv,18,24,20,26.2801,6,no
AUDI TT Roadster,2,(4 cyl),Auto-S6,2WD,Gasoline,CA,U2,8ADXV02.0366,small car,7,Drv,22,29,25,32.5709,7,yes
AUDI TT Roadster,2,(4 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ADXV02.0366,small car,6,Drv,22,29,25,32.5709,7,yes
AUDI TT Roadster,3.2,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8VWXV03.2535,small car,6,Drv,17,24,19,25.1621,5,no
AUDI TT Roadster,3.2,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8VWXV03.2535,small car,6,Drv,18,24,20,26.2801,6,no
AUDI TT Roadster,3.2,(6 cyl),Man-6,4WD,Gasoline,CA,L2,8VWXV03.2535,small car,6,Drv,17,24,19,25.1621,5,no
AUDI TT Roadster,3.2,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8VWXV03.2535,small car,6,Drv,18,24,20,26.2801,6,no
BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BEXV06.7TTC,large car,6,Drv,9,15,11,14.4488,0,no
