Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ACURA RDX,3.5,6,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXT03.5GV3,small SUV,3,20,28,23,5,No,386
ACURA RDX,3.5,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,JHNXT03.5GV3,small SUV,3,20,28,23,5,No,386
ACURA RDX,3.5,6,SemiAuto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXT03.5GV3,small SUV,3,19,27,22,4,No,402
ACURA RDX,3.5,6,SemiAuto-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,JHNXT03.5GV3,small SUV,3,19,27,22,4,No,402
ACURA TLX,2.4,4,AMS-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV02.4WH3,small car,3,23,33,27,6,No,330
ACURA TLX,2.4,4,AMS-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV02.4WH3,small car,3,23,33,27,6,No,330
ACURA TLX,3.5,6,SemiAuto-9,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV03.5LH3,small car,3,20,32,24,5,No,368
ACURA TLX,3.5,6,SemiAuto-9,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV03.5LH3,small car,3,20,32,24,5,No,368
ACURA TLX,3.5,6,SemiAuto-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV03.5LH3,small car,3,21,30,24,5,No,369
ACURA TLX,3.5,6,SemiAuto-9,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV03.5LH3,small car,3,21,30,24,5,No,369
ACURA TLX AWD A-SPEC,3.5,6,SemiAuto-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV03.5LH3,small car,3,20,29,23,5,No,387
ACURA TLX AWD A-SPEC,3.5,6,SemiAuto-9,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV03.5LH3,small car,3,20,29,23,5,No,387
ACURA TLX FWD A-SPEC,3.5,6,SemiAuto-9,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV03.5LH3,small car,3,20,30,23,5,No,382
ACURA TLX FWD A-SPEC,3.5,6,SemiAuto-9,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV03.5LH3,small car,3,20,30,23,5,No,382
ALFA ROMEO 4C,1.8,4,AutoMan-6,2WD,Gasoline,CA,L2,California LEV-II LEV,JCRXV01.85P0,small car,1,24,34,28,6,No,317
ALFA ROMEO 4C,1.8,4,AutoMan-6,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,JCRXV01.85P0,small car,1,24,34,28,6,No,317
ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXJ02.05P0,midsize car,3,24,33,27,6,No,330
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,JCRXJ02.95P0,midsize car,3,17,24,20,4,No,451
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JCRXJ02.95P0,midsize car,3,17,24,20,4,No,451
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JCRXJ02.95P0,midsize car,3,17,24,20,4,No,451
