model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
ACURA MDX,3.7,6,Auto-S5,4WD,Gasoline,SUV,7.0,15,20,17,4,no
ACURA RDX,2.3,4,Auto-S5,4WD,Gasoline,SUV,7.0,17,22,19,5,no
ACURA RL,3.5,6,Auto-S5,4WD,Gasoline,midsize car,7.0,16,24,19,5,no
ACURA TL,3.2,6,Auto-S5,2WD,Gasoline,midsize car,7.0,18,26,21,6,yes
ACURA TL,3.5,6,Auto-S5,2WD,Gasoline,midsize car,7.0,17,26,20,6,yes
ACURA TL,3.5,6,Man-6,2WD,Gasoline,midsize car,7.0,18,27,21,6,yes
ACURA TSX,2.4,4,Man-6,2WD,Gasoline,small car,6.0,19,28,22,6,no
ACURA TSX,2.4,4,Auto-S5,2WD,Gasoline,small car,6.0,20,28,23,7,yes
ASTON MARTIN DB9,5.9,12,Man-6,2WD,Gasoline,small car,6.0,10,16,12,0,no
ASTON MARTIN DB9,5.9,12,Auto-S6,2WD,Gasoline,small car,6.0,11,18,13,1,no
ASTON MARTIN DB9 Volante,5.9,12,Man-6,2WD,Gasoline,small car,6.0,10,16,12,0,no
ASTON MARTIN DB9 Volante,5.9,12,Auto-S6,2WD,Gasoline,small car,6.0,11,17,13,1,no
ASTON MARTIN V8 Vantage,4.3,8,Man-6,2WD,Gasoline,small car,6.0,12,19,15,3,no
ASTON MARTIN V8 Vantage,4.3,8,Auto-S6,2WD,Gasoline,small car,6.0,13,20,15,3,no
AUDI A3,2.0,4,Man-6,2WD,Gasoline,station wagon,7.0,21,29,24,7,yes
AUDI A3,2.0,4,Auto-S6,2WD,Gasoline,station wagon,7.0,22,29,25,7,yes
AUDI A3,3.2,6,Auto-S6,4WD,Gasoline,station wagon,6.0,18,25,21,6,no
AUDI A4,2.0,4,Auto-AV,2WD,Gasoline,small car,7.0,21,30,24,7,yes
AUDI A4,3.1,6,Man-6,4WD,Gasoline,small car,6.0,15,25,19,5,no
AUDI A4,3.1,6,Auto-S6,4WD,Gasoline,small car,6.0,17,25,20,6,no
AUDI A4,3.1,6,Auto-AV,2WD,Gasoline,small car,6.0,18,27,21,6,no
AUDI A4 Avant,3.1,6,Man-6,4WD,Gasoline,station wagon,6.0,15,25,19,5,no
AUDI A4 Avant,3.1,6,Auto-S6,4WD,Gasoline,station wagon,6.0,17,25,20,6,no
AUDI A4 Cabriolet,3.1,6,Auto-S6,4WD,Gasoline,small car,6.0,17,25,20,6,no
AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,midsize car,6.0,17,25,20,6,no
AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,midsize car,6.0,18,27,21,6,no
AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,midsize car,6.0,16,23,18,5,no
AUDI A6 Avant,3.1,6,Auto-S6,4WD,Gasoline,station wagon,6.0,17,25,20,6,no
AUDI A8,4.2,8,Auto-S6,4WD,Gasoline,midsize car,6.0,16,23,18,5,no
AUDI A8 L,4.2,8,Auto-S6,4WD,Gasoline,large car,6.0,16,23,18,5,no
AUDI A8 L,6.0,12,Auto-S6,4WD,Gasoline,large car,6.0,13,19,15,3,no
AUDI Q7,3.6,6,Auto-S6,4WD,Gasoline,SUV,6.0,14,20,16,4,no
AUDI Q7,4.2,8,Auto-S6,4WD,Gasoline,SUV,6.0,12,17,14,2,no
AUDI R8,4.2,8,Auto-S6,4WD,Gasoline,small car,6.0,13,19,15,3,no
AUDI R8,4.2,8,Man-6,4WD,Gasoline,small car,6.0,13,20,15,3,no
AUDI RS4,4.2,8,Man-6,4WD,Gasoline,small car,6.0,13,20,15,3,no
AUDI RS4 Cabriolet,4.2,8,Man-6,4WD,Gasoline,small car,6.0,12,19,14,2,no
AUDI S4,4.2,8,Man-6,4WD,Gasoline,small car,6.0,13,20,15,3,no
AUDI S4,4.2,8,Auto-S6,4WD,Gasoline,small car,6.0,14,21,16,4,no
AUDI S4 Avant,4.2,8,Man-6,4WD,Gasoline,station wagon,6.0,13,20,15,3,no
AUDI S4 Avant,4.2,8,Auto-S6,4WD,Gasoline,station wagon,6.0,14,21,16,4,no
AUDI S4 Cabriolet,4.2,8,Man-6,4WD,Gasoline,small car,6.0,13,19,15,3,no
