Pclass,Sex,Age,Fare,Family_cnt,Cabin_ind
2,0,62.0,10.5,0,0
3,0,8.0,29.125,5,0
3,0,32.0,56.4958,0,0
3,1,20.0,9.825,1,0
2,1,28.0,13.0,0,0
3,1,21.0,7.75,0,0
3,0,37.0,7.925,2,0
3,1,17.0,14.4583,0,0
3,1,29.69911764705882,7.75,0,0
1,0,46.0,61.175,1,1
3,0,29.69911764705882,15.1,0,0
3,0,24.0,8.05,0,0
1,0,29.0,66.6,1,1
1,1,56.0,83.1583,1,1
2,0,31.0,37.0042,2,0
3,0,29.69911764705882,7.75,0,0
2,0,32.0,26.0,1,0
3,0,33.0,20.525,2,0
3,0,59.0,7.25,0,0
1,1,58.0,26.55,0,1
3,1,29.69911764705882,16.1,1,0
2,1,3.0,41.5792,3,0
3,0,29.69911764705882,7.8958,0,0
1,1,16.0,57.9792,1,1
3,1,45.0,27.9,5,0
1,1,43.0,211.3375,1,1
1,1,30.0,106.425,0,0
3,0,28.5,16.1,0,0
3,0,24.0,7.7958,0,0
2,0,30.0,13.0,0,0
1,0,36.0,40.125,0,1
3,0,25.0,7.05,0,0
3,1,29.69911764705882,7.75,2,0
1,1,50.0,28.7125,0,1
3,1,0.75,19.2583,3,0
1,1,24.0,49.5042,0,1
2,1,24.0,65.0,3,0
1,1,35.0,52.0,1,0
1,1,30.0,86.5,0,1
2,0,23.0,13.0,0,0
3,0,29.69911764705882,7.8958,0,0
2,0,27.0,26.0,0,0
2,1,55.0,16.0,0,0
1,1,35.0,53.1,1,1
3,0,29.69911764705882,6.8583,0,0
1,1,29.69911764705882,79.2,0,0
3,0,29.69911764705882,19.9667,1,0
2,1,23.0,13.7917,0,1
3,1,29.69911764705882,7.7333,0,0
1,1,23.0,113.275,1,1
3,0,51.0,8.05,0,0
2,1,33.0,26.0,2,0
3,1,29.0,21.075,4,0
3,0,29.69911764705882,7.8958,0,0
3,0,29.69911764705882,69.55,10,0
2,1,2.0,26.0,2,0
2,1,14.0,30.0708,1,0
2,0,54.0,26.0,1,0
3,1,15.0,8.0292,0,0
1,1,22.0,55.0,1,1
2,0,27.0,13.0,0,0
3,0,29.69911764705882,7.8958,0,0
1,0,29.69911764705882,39.6,0,0
2,1,28.0,24.0,1,0
3,0,39.0,7.925,0,0
2,0,2.0,26.0,2,1
3,0,24.0,16.1,1,0
3,0,32.0,7.8958,0,0
3,0,45.5,7.225,0,0
2,1,8.0,26.25,2,0
3,0,26.0,20.575,3,0
1,1,29.0,211.3375,0,1
2,1,45.0,26.25,2,0
3,1,36.0,17.4,1,0
1,0,29.69911764705882,26.0,0,1
3,1,4.0,22.025,2,0
2,0,16.0,26.0,0,0
1,0,58.0,29.7,0,1
3,0,40.5,14.5,2,0
3,0,25.0,7.65,0,1
3,0,29.69911764705882,7.8958,0,0
3,0,51.0,7.0542,0,0
2,0,29.69911764705882,0.0,0,0
3,1,17.0,7.925,6,0
3,0,29.69911764705882,6.95,0,0
3,0,40.0,15.5,2,0
3,0,25.0,0.0,0,0
1,0,47.0,25.5875,0,1
1,0,29.69911764705882,26.55,0,1
2,0,44.0,26.0,1,0
1,1,23.0,263.0,5,1
2,0,18.0,11.5,0,0
2,0,29.0,21.0,1,0
3,0,12.0,11.2417,1,0
3,0,11.0,18.7875,0,0
3,1,22.0,7.75,0,0
2,0,19.0,10.5,0,0
3,0,22.0,7.25,1,0
3,0,33.0,7.8958,0,0
1,0,56.0,26.55,0,0
2,0,1.0,37.0042,2,0
3,0,22.0,7.7958,0,0
3,0,29.69911764705882,7.2292,0,0
3,0,29.69911764705882,7.75,0,0
3,0,7.0,29.125,5,0
3,1,4.0,13.4167,1,0
3,0,70.5,7.75,0,0
2,0,18.0,13.0,0,0
3,0,20.0,15.7417,2,0
2,0,24.0,73.5,2,0
3,0,29.69911764705882,7.225,0,0
2,1,34.0,10.5,0,1
3,1,29.69911764705882,7.75,0,0
1,1,31.0,164.8667,2,1
3,0,30.0,7.8958,0,0
2,0,18.0,11.5,0,0
3,1,9.0,27.9,5,0
1,1,39.0,79.65,2,1
1,1,33.0,53.1,1,1
1,0,70.0,71.0,2,1
1,1,24.0,69.3,0,1
1,1,58.0,153.4625,1,1
3,0,21.0,7.8542,0,0
1,1,17.0,108.9,1,1
3,1,28.0,14.4,2,0
1,1,24.0,83.1583,0,1
3,0,29.69911764705882,7.225,0,0
3,0,29.69911764705882,15.5,1,0
3,0,42.0,8.6625,0,0
3,0,18.0,6.4958,1,0
3,1,2.0,12.2875,1,0
2,1,34.0,13.0,0,0
3,0,3.0,31.3875,6,0
1,1,58.0,146.5208,0,1
3,0,32.0,7.75,0,0
3,0,31.0,7.925,0,0
3,0,29.69911764705882,7.775,0,0
2,1,27.0,13.8583,1,0
3,0,11.0,46.9,7,0
2,0,23.0,13.0,0,0
1,0,40.0,0.0,0,1
3,0,29.69911764705882,7.2292,0,0
3,1,28.0,7.8958,0,0
2,1,28.0,13.0,0,0
3,0,29.69911764705882,19.9667,1,0
3,0,19.0,10.1708,0,0
3,1,30.0,24.15,2,0
3,0,20.0,7.8542,0,0
3,0,28.0,56.4958,0,0
3,0,36.0,0.0,0,0
3,0,29.69911764705882,8.05,0,0
1,1,24.0,263.0,5,1
3,0,28.5,7.2292,0,0
3,1,24.0,19.2583,3,0
2,0,42.0,13.0,0,0
1,0,54.0,77.2875,1,1
3,0,25.0,7.7417,0,0
3,0,7.0,39.6875,5,0
3,0,25.0,17.8,1,0
3,1,27.0,12.475,1,1
3,1,24.0,15.85,1,0
3,0,29.69911764705882,7.25,0,0
2,1,28.0,12.65,0,0
3,0,19.0,14.5,0,0
3,0,22.0,7.25,0,0
3,1,29.69911764705882,7.225,0,0
3,1,29.69911764705882,69.55,10,0
1,0,42.0,26.2875,0,1
2,0,50.0,13.0,0,0
2,0,3.0,18.75,2,0
1,0,29.69911764705882,227.525,0,0
3,1,18.0,18.0,2,0
3,0,18.0,7.8542,2,0
1,0,44.0,90.0,2,1
1,0,29.69911764705882,30.0,0,1
1,0,29.69911764705882,42.4,0,0
3,0,29.69911764705882,24.15,1,0
3,0,16.0,7.775,0,0
3,0,29.69911764705882,7.3125,0,0
3,0,22.0,7.8958,0,0
2,1,4.0,23.0,2,0
2,0,29.69911764705882,13.0,0,0
3,0,24.0,7.1417,0,0
2,1,30.0,12.35,0,0
3,1,29.0,15.2458,2,0
3,0,24.0,9.5,0,0
1,1,45.0,164.8667,2,0
2,1,32.0,13.0,0,0
3,0,21.0,7.925,0,0
1,0,35.0,512.3292,0,1
3,1,29.69911764705882,69.55,10,0
3,0,29.69911764705882,23.25,2,0
1,0,36.0,512.3292,1,1
3,1,41.0,39.6875,5,0
3,1,23.0,7.55,0,0
3,0,34.0,14.4,2,0
2,1,29.69911764705882,33.0,0,0
3,0,29.69911764705882,24.15,0,0
3,1,15.0,7.225,0,0
3,0,29.69911764705882,8.05,0,0
3,1,18.0,7.775,0,0
3,0,30.0,8.05,0,0
2,0,32.0,73.5,2,0
3,0,4.0,29.125,5,0
3,0,2.0,29.125,5,0
3,0,29.69911764705882,8.05,0,0
3,0,29.69911764705882,21.6792,2,0
1,1,48.0,25.9292,0,1
3,0,31.0,7.75,0,0
1,0,47.0,34.0208,0,1
3,1,26.0,16.1,1,0
3,0,9.0,46.9,7,0
3,0,19.0,8.05,0,0
3,0,29.69911764705882,8.05,0,0
3,0,22.0,9.35,0,0
3,0,29.69911764705882,7.225,0,0
2,0,28.0,33.0,1,0
2,1,24.0,18.75,5,0
3,0,17.0,8.6625,0,0
3,0,29.69911764705882,15.5,1,0
3,1,29.69911764705882,25.4667,4,0
3,0,21.0,8.05,0,0
1,0,51.0,26.55,0,1
3,1,3.0,21.075,4,0
3,1,0.75,19.2583,3,0
3,0,29.69911764705882,7.2292,0,0
3,0,34.0,8.05,0,0
2,1,18.0,23.0,1,0
1,1,44.0,27.7208,0,1
3,0,29.69911764705882,14.5,0,0
3,0,29.69911764705882,9.5,0,0
3,1,37.0,9.5875,0,0
2,0,21.0,11.5,1,0
1,0,36.0,78.85,1,1
3,0,32.0,7.925,0,0
3,1,29.69911764705882,23.45,3,0
3,0,26.0,7.775,0,0
1,0,80.0,30.0,0,1
3,0,55.5,8.05,0,0
2,0,60.0,39.0,2,0
3,0,29.69911764705882,7.7333,0,0
3,0,18.0,7.775,0,0
3,1,14.5,14.4542,1,0
2,0,19.0,10.5,0,0
2,1,4.0,39.0,3,1
3,0,33.0,8.6542,0,0
3,0,21.0,7.7333,0,0
3,1,10.0,24.15,2,0
2,0,47.0,15.0,0,0
3,1,2.0,31.275,6,0
2,1,29.0,26.0,1,0
1,1,22.0,66.6,1,1
3,0,28.0,15.85,1,0
1,0,29.69911764705882,29.7,0,1
3,0,26.0,18.7875,0,0
3,0,33.0,9.5,0,0
2,1,27.0,10.5,0,1
3,1,27.0,11.1333,2,0
2,0,34.0,13.0,0,0
3,0,29.69911764705882,7.2292,0,0
1,0,30.0,27.75,0,1
3,0,30.0,16.1,1,0
2,1,29.69911764705882,12.35,0,1
3,0,29.69911764705882,7.775,0,0
1,1,53.0,51.4792,2,1
3,0,32.0,7.925,0,0
2,0,52.0,13.0,0,0
1,0,52.0,79.65,2,1
3,1,39.0,31.275,6,0
1,1,2.0,151.55,3,1
3,0,44.0,7.925,0,0
2,0,51.0,12.525,0,0
2,0,39.0,26.0,0,0
1,0,46.0,79.2,0,1
1,0,17.0,110.8833,2,1
3,0,30.0,8.05,0,0
3,1,9.0,34.375,4,0
3,0,27.0,7.7958,0,0
3,0,21.0,8.6625,0,0
3,0,29.69911764705882,56.4958,0,0
3,0,26.0,7.8958,0,0
3,0,3.0,15.9,2,0
2,0,48.0,13.0,0,0
1,1,36.0,135.6333,0,1
3,1,29.69911764705882,15.5,1,0
2,1,32.5,13.0,0,1
1,1,33.0,86.5,0,1
2,1,22.0,41.5792,3,0
3,0,19.0,6.75,0,0
3,0,74.0,7.775,0,0
3,0,42.0,8.4042,1,0
1,1,40.0,153.4625,0,1
3,1,35.0,20.25,2,0
3,1,24.0,8.85,0,0
3,0,39.0,7.925,0,0
2,0,32.5,30.0708,1,0
2,0,1.0,39.0,3,1
3,0,34.0,6.4958,0,0
1,0,64.0,263.0,5,1
3,1,25.0,7.775,0,0
3,1,29.69911764705882,8.05,0,0
3,0,1.0,20.575,3,0
3,0,45.0,6.975,0,0
2,0,31.0,26.25,2,0
3,1,21.0,9.825,1,0
3,0,25.0,7.8958,0,0
1,1,15.0,211.3375,1,1
3,0,26.0,7.8875,0,0
2,0,30.0,10.5,0,0
1,1,24.0,69.3,0,1
2,0,35.0,10.5,0,0
2,0,70.0,10.5,0,0
1,0,29.69911764705882,0.0,0,1
3,0,21.0,16.1,0,0
3,1,18.0,9.35,1,0
3,1,29.69911764705882,8.1375,0,0
3,0,1.0,46.9,7,0
3,1,29.69911764705882,69.55,10,0
3,0,26.0,56.4958,0,0
3,0,25.0,7.775,1,0
2,0,29.69911764705882,0.0,0,0
3,0,20.0,9.5,0,0
1,1,54.0,78.2667,1,1
3,0,22.0,8.05,0,0
2,0,59.0,13.5,0,0
2,1,54.0,23.0,4,0
1,0,27.0,30.5,0,0
1,0,31.0,52.0,1,1
1,0,22.0,135.6333,0,0
1,0,33.0,5.0,0,1
3,0,6.0,12.475,1,1
3,1,5.0,31.3875,6,0
1,0,39.0,0.0,0,1
3,0,24.5,8.05,0,0
2,0,54.0,14.0,0,0
3,0,29.69911764705882,7.55,0,0
3,0,29.69911764705882,7.8958,0,0
3,0,30.0,7.2292,0,0
3,1,29.69911764705882,7.8792,0,0
1,1,35.0,512.3292,0,0
1,1,21.0,77.9583,0,1
1,0,32.0,30.5,0,1
3,0,16.0,9.5,0,0
3,1,22.0,7.25,0,0
3,0,29.69911764705882,7.8958,0,0
1,0,38.0,90.0,1,1
3,0,29.69911764705882,69.55,10,0
2,0,25.0,26.0,1,0
2,1,33.0,27.75,3,0
3,1,29.69911764705882,16.1,1,0
1,0,18.0,108.9,1,1
3,0,29.69911764705882,16.1,1,0
3,0,29.69911764705882,7.8958,0,0
3,0,2.0,39.6875,5,0
3,0,0.42,8.5167,1,0
2,0,26.0,10.5,0,0
3,0,41.0,7.125,0,0
1,0,48.0,76.7292,1,1
2,1,48.0,65.0,3,0
1,1,48.0,39.6,1,1
3,0,4.0,31.275,6,0
1,1,39.0,55.9,1,1
3,1,33.0,15.85,3,0
2,0,29.0,10.5,0,0
1,0,49.0,110.8833,2,1
3,0,29.69911764705882,69.55,10,0
3,0,29.69911764705882,7.2292,0,0
1,0,42.0,52.0,1,0
1,1,36.0,71.0,2,1
1,0,61.0,33.5,0,1
3,1,18.0,6.75,0,0
3,1,18.0,7.4958,0,0
2,0,0.67,14.5,2,0
3,0,32.0,56.4958,0,0
3,0,29.69911764705882,8.05,0,0
3,0,29.69911764705882,8.05,0,0
3,1,29.69911764705882,14.4542,1,0
3,0,16.0,8.05,0,0
1,0,31.0,57.0,1,1
1,0,48.0,26.55,0,1
3,0,22.0,7.225,0,0
3,1,13.0,7.2292,0,0
3,0,32.0,15.85,1,0
3,0,28.0,7.925,2,0
2,0,46.0,26.0,0,0
3,0,28.0,7.7958,0,0
2,0,42.0,27.0,1,0
3,0,35.0,8.05,0,0
3,1,2.0,27.9,5,0
3,1,31.0,8.6833,0,0
3,1,29.69911764705882,15.5,1,0
3,0,29.69911764705882,7.8958,0,0
2,1,19.0,26.0,1,0
3,0,20.0,8.6625,0,0
3,0,14.0,46.9,7,0
2,1,34.0,23.0,1,0
3,1,29.69911764705882,7.7375,0,0
3,1,29.69911764705882,7.75,0,0
3,0,51.0,7.75,0,0
3,1,29.69911764705882,7.6292,0,0
3,1,29.69911764705882,7.75,0,0
3,1,29.69911764705882,7.75,0,0
3,0,28.0,9.5,0,0
2,0,25.0,13.0,0,0
1,0,19.0,263.0,5,1
3,0,35.0,7.8958,0,0
1,1,35.0,83.475,1,1
3,0,9.0,15.9,2,0
3,0,20.0,4.0125,0,0
2,0,42.0,13.0,0,0
2,0,30.0,13.0,0,0
2,0,29.69911764705882,0.0,0,0
3,0,21.0,7.7958,0,0
3,0,47.0,7.25,0,0
1,1,25.0,151.55,3,1
3,0,16.0,9.2167,0,0
1,0,45.0,83.475,1,1
3,0,38.0,8.6625,0,0
1,0,56.0,35.5,0,1
3,1,29.69911764705882,22.3583,2,1
1,0,31.0,50.4958,0,1
1,1,30.0,93.5,0,1
1,0,29.69911764705882,27.7208,0,0
3,1,14.0,7.8542,0,0
3,1,16.0,7.7333,0,0
3,1,40.0,9.475,1,0
1,0,55.0,30.5,0,1
3,0,19.0,7.775,0,0
1,0,45.0,26.55,0,0
1,1,36.0,120.0,3,1
3,1,27.0,7.925,0,0
1,1,49.0,76.7292,1,1
1,1,41.0,134.5,0,1
1,0,19.0,53.1,1,1
3,0,33.0,7.775,0,0
1,0,27.0,53.1,1,1
1,0,29.69911764705882,27.7208,0,0
1,0,35.0,26.2875,0,1
3,1,29.0,10.4625,2,1
2,1,30.0,21.0,3,0
3,0,34.0,8.05,0,0
3,0,29.0,7.8958,0,0
1,1,19.0,30.0,0,1
1,1,35.0,135.6333,0,1
3,0,29.69911764705882,69.55,10,0
2,1,40.0,15.75,0,0
1,0,62.0,26.55,0,0
3,1,25.0,7.925,1,0
3,0,26.0,8.05,0,0
3,1,18.0,14.4542,1,0
2,0,34.0,21.0,1,0
3,0,48.0,7.8542,0,0
3,0,28.0,7.8958,0,0
3,0,24.0,24.15,2,0
2,1,17.0,12.0,0,0
1,1,38.0,71.2833,1,1
3,0,29.69911764705882,7.2292,0,0
3,0,40.0,7.8958,0,0
3,0,22.0,9.0,0,0
3,1,2.0,10.4625,1,1
1,0,28.0,82.1708,1,0
3,0,18.0,7.75,0,0
3,0,28.0,22.525,0,0
2,1,19.0,26.0,0,0
3,0,29.69911764705882,8.05,0,0
1,1,60.0,75.25,1,1
3,0,20.0,7.8542,0,0
1,0,45.0,35.5,0,1
3,1,29.69911764705882,8.05,0,0
2,1,24.0,13.0,0,1
3,0,29.69911764705882,7.75,0,1
3,1,29.69911764705882,15.5,1,0
3,0,39.0,31.275,6,0
3,1,26.0,7.8542,0,0
2,1,24.0,27.0,3,0
2,1,36.0,13.0,0,0
1,0,37.0,29.7,1,1
1,1,29.69911764705882,55.0,1,1
2,0,28.0,10.5,0,0
3,0,19.0,7.8958,0,0
3,0,43.0,6.45,0,0
1,0,25.0,91.0792,1,1
3,0,47.0,9.0,0,0
1,1,16.0,86.5,0,1
2,0,0.83,18.75,2,0
3,0,22.0,7.125,0,0
3,0,19.0,7.8958,0,0
2,0,28.0,13.5,0,0
3,0,14.0,39.6875,5,0
3,0,36.0,7.8958,0,0
1,0,29.0,30.0,0,1
3,0,42.0,7.65,0,1
1,0,29.69911764705882,52.0,0,1
1,0,27.0,76.7292,0,1
3,0,29.0,7.75,0,0
2,1,5.0,27.75,3,0
3,1,22.0,9.8375,0,0
3,0,29.69911764705882,7.75,0,0
2,1,30.0,13.0,0,0
1,0,62.0,26.55,0,1
2,0,34.0,13.0,0,1
3,0,28.0,7.8958,0,0
3,0,29.69911764705882,7.75,0,0
3,0,44.0,16.1,1,0
3,1,45.0,7.75,0,0
2,0,19.0,13.0,0,0
2,0,18.0,73.5,0,0
3,0,31.0,7.775,0,0
2,0,29.69911764705882,0.0,0,0
3,0,21.0,7.25,0,0
2,0,25.0,13.0,0,0
3,0,32.0,8.3625,0,0
2,0,30.0,24.0,1,0
3,0,40.0,7.225,0,0
3,0,33.0,7.8958,0,0
3,0,36.0,7.4958,0,0
1,1,47.0,52.5542,2,1
2,0,34.0,26.0,1,0
3,0,19.0,8.05,0,0
3,0,29.69911764705882,8.05,0,0
2,1,50.0,10.5,0,0
3,1,29.69911764705882,23.25,2,0
3,0,29.69911764705882,7.75,1,0
2,0,29.69911764705882,0.0,0,0
3,0,29.69911764705882,8.05,0,0
3,0,35.0,8.05,0,0
2,0,35.0,26.0,0,0
1,1,18.0,227.525,1,1
3,1,16.0,46.9,7,0
3,1,21.0,7.65,0,0
1,0,29.69911764705882,31.0,0,0
3,0,41.0,14.1083,2,0
1,1,14.0,120.0,3,1
1,0,21.0,77.2875,1,1
