,Survived,Pclass,Sex,Age,Fare,Family_cnt,Cabin_ind
0,0,3,0,22.0,7.25,1,0
1,1,1,1,38.0,71.2833,1,1
2,1,3,1,26.0,7.925,0,0
3,1,1,1,35.0,53.1,1,1
4,0,3,0,35.0,8.05,0,0
5,0,3,0,29.69911764705882,8.4583,0,0
6,0,1,0,54.0,51.8625,0,1
7,0,3,0,2.0,21.075,4,0
8,1,3,1,27.0,11.1333,2,0
9,1,2,1,14.0,30.0708,1,0
10,1,3,1,4.0,16.7,2,1
11,1,1,1,58.0,26.55,0,1
12,0,3,0,20.0,8.05,0,0
13,0,3,0,39.0,31.275,6,0
14,0,3,1,14.0,7.8542,0,0
15,1,2,1,55.0,16.0,0,0
16,0,3,0,2.0,29.125,5,0
17,1,2,0,29.69911764705882,13.0,0,0
18,0,3,1,31.0,18.0,1,0
19,1,3,1,29.69911764705882,7.225,0,0
20,0,2,0,35.0,26.0,0,0
21,1,2,0,34.0,13.0,0,1
22,1,3,1,15.0,8.0292,0,0
23,1,1,0,28.0,35.5,0,1
24,0,3,1,8.0,21.075,4,0
25,1,3,1,38.0,31.3875,6,0
26,0,3,0,29.69911764705882,7.225,0,0
27,0,1,0,19.0,263.0,5,1
28,1,3,1,29.69911764705882,7.8792,0,0
29,0,3,0,29.69911764705882,7.8958,0,0
30,0,1,0,40.0,27.7208,0,0
31,1,1,1,29.69911764705882,146.5208,1,1
32,1,3,1,29.69911764705882,7.75,0,0
33,0,2,0,66.0,10.5,0,0
34,0,1,0,28.0,82.1708,1,0
35,0,1,0,42.0,52.0,1,0
36,1,3,0,29.69911764705882,7.2292,0,0
37,0,3,0,21.0,8.05,0,0
38,0,3,1,18.0,18.0,2,0
39,1,3,1,14.0,11.2417,1,0
40,0,3,1,40.0,9.475,1,0
41,0,2,1,27.0,21.0,1,0
42,0,3,0,29.69911764705882,7.8958,0,0
43,1,2,1,3.0,41.5792,3,0
44,1,3,1,19.0,7.8792,0,0
45,0,3,0,29.69911764705882,8.05,0,0
46,0,3,0,29.69911764705882,15.5,1,0
47,1,3,1,29.69911764705882,7.75,0,0
48,0,3,0,29.69911764705882,21.6792,2,0
49,0,3,1,18.0,17.8,1,0
50,0,3,0,7.0,39.6875,5,0
51,0,3,0,21.0,7.8,0,0
52,1,1,1,49.0,76.7292,1,1
53,1,2,1,29.0,26.0,1,0
54,0,1,0,65.0,61.9792,1,1
55,1,1,0,29.69911764705882,35.5,0,1
56,1,2,1,21.0,10.5,0,0
57,0,3,0,28.5,7.2292,0,0
58,1,2,1,5.0,27.75,3,0
59,0,3,0,11.0,46.9,7,0
60,0,3,0,22.0,7.2292,0,0
61,1,1,1,38.0,80.0,0,1
62,0,1,0,45.0,83.475,1,1
63,0,3,0,4.0,27.9,5,0
64,0,1,0,29.69911764705882,27.7208,0,0
65,1,3,0,29.69911764705882,15.2458,2,0
66,1,2,1,29.0,10.5,0,1
67,0,3,0,19.0,8.1583,0,0
68,1,3,1,17.0,7.925,6,0
69,0,3,0,26.0,8.6625,2,0
70,0,2,0,32.0,10.5,0,0
71,0,3,1,16.0,46.9,7,0
72,0,2,0,21.0,73.5,0,0
73,0,3,0,26.0,14.4542,1,0
74,1,3,0,32.0,56.4958,0,0
75,0,3,0,25.0,7.65,0,1
76,0,3,0,29.69911764705882,7.8958,0,0
77,0,3,0,29.69911764705882,8.05,0,0
78,1,2,0,0.83,29.0,2,0
79,1,3,1,30.0,12.475,0,0
80,0,3,0,22.0,9.0,0,0
81,1,3,0,29.0,9.5,0,0
82,1,3,1,29.69911764705882,7.7875,0,0
83,0,1,0,28.0,47.1,0,0
84,1,2,1,17.0,10.5,0,0
85,1,3,1,33.0,15.85,3,0
86,0,3,0,16.0,34.375,4,0
87,0,3,0,29.69911764705882,8.05,0,0
88,1,1,1,23.0,263.0,5,1
89,0,3,0,24.0,8.05,0,0
90,0,3,0,29.0,8.05,0,0
91,0,3,0,20.0,7.8542,0,0
92,0,1,0,46.0,61.175,1,1
93,0,3,0,26.0,20.575,3,0
94,0,3,0,59.0,7.25,0,0
95,0,3,0,29.69911764705882,8.05,0,0
96,0,1,0,71.0,34.6542,0,1
97,1,1,0,23.0,63.3583,1,1
98,1,2,1,34.0,23.0,1,0
99,0,2,0,34.0,26.0,1,0
100,0,3,1,28.0,7.8958,0,0
101,0,3,0,29.69911764705882,7.8958,0,0
102,0,1,0,21.0,77.2875,1,1
103,0,3,0,33.0,8.6542,0,0
104,0,3,0,37.0,7.925,2,0
105,0,3,0,28.0,7.8958,0,0
106,1,3,1,21.0,7.65,0,0
107,1,3,0,29.69911764705882,7.775,0,0
108,0,3,0,38.0,7.8958,0,0
109,1,3,1,29.69911764705882,24.15,1,0
110,0,1,0,47.0,52.0,0,1
111,0,3,1,14.5,14.4542,1,0
112,0,3,0,22.0,8.05,0,0
113,0,3,1,20.0,9.825,1,0
114,0,3,1,17.0,14.4583,0,0
115,0,3,0,21.0,7.925,0,0
116,0,3,0,70.5,7.75,0,0
117,0,2,0,29.0,21.0,1,0
118,0,1,0,24.0,247.5208,1,1
119,0,3,1,2.0,31.275,6,0
120,0,2,0,21.0,73.5,2,0
121,0,3,0,29.69911764705882,8.05,0,0
122,0,2,0,32.5,30.0708,1,0
123,1,2,1,32.5,13.0,0,1
124,0,1,0,54.0,77.2875,1,1
125,1,3,0,12.0,11.2417,1,0
126,0,3,0,29.69911764705882,7.75,0,0
127,1,3,0,24.0,7.1417,0,0
128,1,3,1,29.69911764705882,22.3583,2,1
129,0,3,0,45.0,6.975,0,0
130,0,3,0,33.0,7.8958,0,0
131,0,3,0,20.0,7.05,0,0
132,0,3,1,47.0,14.5,1,0
133,1,2,1,29.0,26.0,1,0
134,0,2,0,25.0,13.0,0,0
135,0,2,0,23.0,15.0458,0,0
136,1,1,1,19.0,26.2833,2,1
137,0,1,0,37.0,53.1,1,1
138,0,3,0,16.0,9.2167,0,0
139,0,1,0,24.0,79.2,0,1
140,0,3,1,29.69911764705882,15.2458,2,0
141,1,3,1,22.0,7.75,0,0
