Unnamed: 0,Pclass,Sex,Age,Fare,Family_cnt,Cabin_ind
570,2,0,62.0,10.5,0,0
787,3,0,8.0,29.125,5,0
74,3,0,32.0,56.4958,0,0
113,3,1,20.0,9.825,1,0
635,2,1,28.0,13.0,0,0
501,3,1,21.0,7.75,0,0
104,3,0,37.0,7.925,2,0
114,3,1,17.0,14.4583,0,0
368,3,1,29.69911764705882,7.75,0,0
92,1,0,46.0,61.175,1,1
497,3,0,29.69911764705882,15.1,0,0
89,3,0,24.0,8.05,0,0
336,1,0,29.0,66.6,1,1
879,1,1,56.0,83.1583,1,1
817,2,0,31.0,37.0042,2,0
828,3,0,29.69911764705882,7.75,0,0
543,2,0,32.0,26.0,1,0
548,3,0,33.0,20.525,2,0
94,3,0,59.0,7.25,0,0
11,1,1,58.0,26.55,0,1
431,3,1,29.69911764705882,16.1,1,0
43,2,1,3.0,41.5792,3,0
42,3,0,29.69911764705882,7.8958,0,0
329,1,1,16.0,57.9792,1,1
167,3,1,45.0,27.9,5,0
779,1,1,43.0,211.3375,1,1
537,1,1,30.0,106.425,0,0
735,3,0,28.5,16.1,0,0
499,3,0,24.0,7.7958,0,0
178,2,0,30.0,13.0,0,0
583,1,0,36.0,40.125,0,1
784,3,0,25.0,7.05,0,0
593,3,1,29.69911764705882,7.75,2,0
177,1,1,50.0,28.7125,0,1
644,3,1,0.75,19.2583,3,0
710,1,1,24.0,49.5042,0,1
615,2,1,24.0,65.0,3,0
383,1,1,35.0,52.0,1,0
257,1,1,30.0,86.5,0,1
734,2,0,23.0,13.0,0,0
335,3,0,29.69911764705882,7.8958,0,0
551,2,0,27.0,26.0,0,0
15,2,1,55.0,16.0,0,0
3,1,1,35.0,53.1,1,1
411,3,0,29.69911764705882,6.8583,0,0
256,1,1,29.69911764705882,79.2,0,0
451,3,0,29.69911764705882,19.9667,1,0
473,2,1,23.0,13.7917,0,1
697,3,1,29.69911764705882,7.7333,0,0
393,1,1,23.0,113.275,1,1
222,3,0,51.0,8.05,0,0
506,2,1,33.0,26.0,2,0
567,3,1,29.0,21.075,4,0
420,3,0,29.69911764705882,7.8958,0,0
324,3,0,29.69911764705882,69.55,10,0
530,2,1,2.0,26.0,2,0
9,2,1,14.0,30.0708,1,0
249,2,0,54.0,26.0,1,0
22,3,1,15.0,8.0292,0,0
356,1,1,22.0,55.0,1,1
221,2,0,27.0,13.0,0,0
601,3,0,29.69911764705882,7.8958,0,0
766,1,0,29.69911764705882,39.6,0,0
874,2,1,28.0,24.0,1,0
528,3,0,39.0,7.925,0,0
340,2,0,2.0,26.0,2,1
743,3,0,24.0,16.1,1,0
519,3,0,32.0,7.8958,0,0
203,3,0,45.5,7.225,0,0
237,2,1,8.0,26.25,2,0
93,3,0,26.0,20.575,3,0
730,1,1,29.0,211.3375,0,1
440,2,1,45.0,26.25,2,0
559,3,1,36.0,17.4,1,0
284,1,0,29.69911764705882,26.0,0,1
184,3,1,4.0,22.025,2,0
791,2,0,16.0,26.0,0,0
487,1,0,58.0,29.7,0,1
153,3,0,40.5,14.5,2,0
75,3,0,25.0,7.65,0,1
656,3,0,29.69911764705882,7.8958,0,0
631,3,0,51.0,7.0542,0,0
277,2,0,29.69911764705882,0.0,0,0
68,3,1,17.0,7.925,6,0
825,3,0,29.69911764705882,6.95,0,0
188,3,0,40.0,15.5,2,0
271,3,0,25.0,0.0,0,0
662,1,0,47.0,25.5875,0,1
711,1,0,29.69911764705882,26.55,0,1
236,2,0,44.0,26.0,1,0
88,1,1,23.0,263.0,5,1
757,2,0,18.0,11.5,0,0
117,2,0,29.0,21.0,1,0
125,3,0,12.0,11.2417,1,0
731,3,0,11.0,18.7875,0,0
289,3,1,22.0,7.75,0,0
238,2,0,19.0,10.5,0,0
0,3,0,22.0,7.25,1,0
881,3,0,33.0,7.8958,0,0
467,1,0,56.0,26.55,0,0
827,2,0,1.0,37.0042,2,0
395,3,0,22.0,7.7958,0,0
531,3,0,29.69911764705882,7.2292,0,0
126,3,0,29.69911764705882,7.75,0,0
278,3,0,7.0,29.125,5,0
691,3,1,4.0,13.4167,1,0
116,3,0,70.5,7.75,0,0
228,2,0,18.0,13.0,0,0
622,3,0,20.0,15.7417,2,0
655,2,0,24.0,73.5,2,0
598,3,0,29.69911764705882,7.225,0,0
516,2,1,34.0,10.5,0,1
274,3,1,29.69911764705882,7.75,0,0
318,1,1,31.0,164.8667,2,1
606,3,0,30.0,7.8958,0,0
144,2,0,18.0,11.5,0,0
634,3,1,9.0,27.9,5,0
558,1,1,39.0,79.65,2,1
809,1,1,33.0,53.1,1,1
745,1,0,70.0,71.0,2,1
369,1,1,24.0,69.3,0,1
268,1,1,58.0,153.4625,1,1
623,3,0,21.0,7.8542,0,0
307,1,1,17.0,108.9,1,1
423,3,1,28.0,14.4,2,0
310,1,1,24.0,83.1583,0,1
354,3,0,29.69911764705882,7.225,0,0
46,3,0,29.69911764705882,15.5,1,0
349,3,0,42.0,8.6625,0,0
371,3,0,18.0,6.4958,1,0
479,3,1,2.0,12.2875,1,0
576,2,1,34.0,13.0,0,0
261,3,0,3.0,31.3875,6,0
195,1,1,58.0,146.5208,0,1
890,3,0,32.0,7.75,0,0
744,3,0,31.0,7.925,0,0
107,3,0,29.69911764705882,7.775,0,0
866,2,1,27.0,13.8583,1,0
59,3,0,11.0,46.9,7,0
658,2,0,23.0,13.0,0,0
263,1,0,40.0,0.0,0,1
568,3,0,29.69911764705882,7.2292,0,0
100,3,1,28.0,7.8958,0,0
443,2,1,28.0,13.0,0,0
490,3,0,29.69911764705882,19.9667,1,0
687,3,0,19.0,10.1708,0,0
799,3,1,30.0,24.15,2,0
640,3,0,20.0,7.8542,0,0
169,3,0,28.0,56.4958,0,0
179,3,0,36.0,0.0,0,0
304,3,0,29.69911764705882,8.05,0,0
341,1,1,24.0,263.0,5,1
57,3,0,28.5,7.2292,0,0
858,3,1,24.0,19.2583,3,0
149,2,0,42.0,13.0,0,0
124,1,0,54.0,77.2875,1,1
703,3,0,25.0,7.7417,0,0
50,3,0,7.0,39.6875,5,0
353,3,0,25.0,17.8,1,0
