Pclass,Sex,Age_clean,SibSp,Parch,Fare_clean,Fare_clean_tr,Cabin,Cabin_ind,Embarked_clean,Title,Family_cnt
2,1,62.0,0,0,10.5,1.6004343344404717,147,0,3,11,0
3,1,8.0,4,1,29.125,1.96269667532106,147,0,2,7,5
3,1,32.0,0,0,56.4958,2.2408007055327177,147,0,3,11,0
3,0,20.0,1,0,9.825,1.5793068236286465,147,0,3,8,1
2,0,28.0,0,0,13.0,1.6702776523348104,147,0,3,8,0
3,0,21.0,0,0,7.75,1.5061226525730975,147,0,2,8,0
3,1,37.0,2,0,7.925,1.5128638802220769,147,0,3,11,2
3,0,17.0,0,0,14.4583,1.7061744981851188,147,0,0,8,0
3,0,29.69911764705882,0,0,7.75,1.5061226525730975,147,0,2,8,0
1,1,46.0,1,0,61.175,2.2767471185469237,122,1,3,11,1
3,1,29.69911764705882,0,0,15.1,1.7210575366331091,147,0,3,11,0
3,1,24.0,0,0,8.05,1.5176064932892266,147,0,3,11,0
1,1,29.0,1,0,66.6,2.3157669197586563,61,1,3,11,1
1,0,56.0,0,1,83.1583,2.4209238028779256,70,1,0,12,1
2,1,31.0,1,1,37.0042,2.0589708774988282,147,0,0,11,2
3,1,29.69911764705882,0,0,7.75,1.5061226525730975,147,0,2,11,0
2,1,32.0,1,0,26.0,1.9186451916253064,147,0,3,11,1
3,1,33.0,1,1,20.525,1.8300233586613717,147,0,3,11,2
3,1,59.0,0,0,7.25,1.4861669577303998,147,0,3,11,0
1,0,58.0,0,0,26.55,1.926694710508685,49,1,3,8,0
3,0,29.69911764705882,1,0,16.1,1.7432720823741534,147,0,3,12,1
2,0,3.0,1,2,41.5792,2.1075370871655457,147,0,0,8,3
3,1,29.69911764705882,0,0,7.8958,1.5117473912278288,147,0,0,11,0
1,0,16.0,0,1,57.9792,2.252446288892745,17,1,0,8,1
3,0,45.0,1,4,27.9,1.9459014453829317,147,0,3,12,5
1,0,43.0,0,1,211.3375,2.9173955295624148,22,1,3,12,1
1,0,30.0,0,0,106.425,2.5433652414675887,147,0,0,8,0
3,1,28.5,0,0,16.1,1.7432720823741534,147,0,3,11,0
3,1,24.0,0,0,7.7958,1.5078985992178089,147,0,3,11,0
2,1,30.0,0,0,13.0,1.6702776523348104,147,0,3,11,0
1,1,36.0,0,0,40.125,2.0925845238681964,0,1,0,11,0
3,1,25.0,0,0,7.05,1.4778754110912282,147,0,3,11,0
3,0,29.69911764705882,0,2,7.75,1.5061226525730975,147,0,2,8,2
1,0,50.0,0,0,28.7125,1.9571053387299904,69,1,0,8,0
3,0,0.75,2,1,19.2583,1.8068561969239882,147,0,0,8,3
1,0,24.0,0,0,49.5042,2.1823701323690363,84,1,0,9,0
2,0,24.0,1,2,65.0,2.3045316198021406,147,0,3,8,3
1,0,35.0,1,0,52.0,2.2039445754429603,147,0,3,12,1
1,0,30.0,0,0,86.5,2.4400752592578163,40,1,3,8,0
2,1,23.0,0,0,13.0,1.6702776523348104,147,0,3,11,0
3,1,29.69911764705882,0,0,7.8958,1.5117473912278288,147,0,3,11,0
2,1,27.0,0,0,26.0,1.9186451916253064,147,0,3,11,0
2,0,55.0,0,0,16.0,1.7411011265922482,147,0,3,12,0
1,0,35.0,1,0,53.1,2.213191044542816,55,1,3,12,1
3,1,29.69911764705882,0,0,6.8583,1.469749413897551,147,0,2,11,0
1,0,29.69911764705882,0,0,79.2,2.397425036114708,147,0,0,12,0
3,1,29.69911764705882,1,0,19.9667,1.8199575509815569,147,0,3,11,1
2,0,23.0,0,0,13.7917,1.6901434253228618,90,1,0,12,0
3,0,29.69911764705882,0,0,7.7333,1.5054730020960585,147,0,2,8,0
1,0,23.0,1,0,113.275,2.575293989068137,103,1,0,8,1
3,1,51.0,0,0,8.05,1.5176064932892266,147,0,3,11,0
2,0,33.0,0,2,26.0,1.9186451916253064,147,0,3,12,2
3,0,29.0,0,4,21.075,1.8397275698182904,147,0,3,12,4
3,1,29.69911764705882,0,0,7.8958,1.5117473912278288,147,0,0,11,0
3,1,29.69911764705882,8,2,69.55,2.3359278624155344,147,0,3,11,10
2,0,2.0,1,1,26.0,1.9186451916253064,147,0,3,8,2
2,0,14.0,1,0,30.0708,1.9752815008003481,147,0,0,12,1
2,1,54.0,1,0,26.0,1.9186451916253064,147,0,3,14,1
3,0,15.0,0,0,8.0292,1.516821427682057,147,0,2,8,0
1,0,22.0,0,1,55.0,2.2288073840335185,123,1,3,8,1
2,1,27.0,0,0,13.0,1.6702776523348104,147,0,3,11,0
3,1,29.69911764705882,0,0,7.8958,1.5117473912278288,147,0,3,11,0
1,1,29.69911764705882,0,0,39.6,2.0870797156498897,147,0,0,3,0
2,0,28.0,1,0,24.0,1.888175022589804,147,0,0,12,1
3,1,39.0,0,0,7.925,1.5128638802220769,147,0,3,11,0
2,1,2.0,1,1,26.0,1.9186451916253064,141,1,3,7,2
3,1,24.0,1,0,16.1,1.7432720823741534,147,0,3,11,1
3,1,32.0,0,0,7.8958,1.5117473912278288,147,0,3,11,0
3,1,45.5,0,0,7.225,1.4851405983548165,147,0,0,11,0
2,0,8.0,0,2,26.25,1.92232078407926,147,0,3,8,2
3,1,26.0,1,2,20.575,1.8309140981238017,147,0,3,11,3
1,0,29.0,0,0,211.3375,2.9173955295624148,32,1,3,8,0
2,0,45.0,1,1,26.25,1.92232078407926,147,0,3,12,2
3,0,36.0,1,0,17.4,1.77055674308707,147,0,3,12,1
1,1,29.69911764705882,0,0,26.0,1.9186451916253064,3,1,3,11,0
3,0,4.0,0,2,22.025,1.8560222721344488,147,0,3,8,2
2,1,16.0,0,0,26.0,1.9186451916253064,147,0,3,11,0
1,1,58.0,0,0,29.7,1.970385894621976,25,1,0,11,0
3,1,40.5,0,2,14.5,1.7071575395958585,147,0,3,11,2
3,1,25.0,0,0,7.65,1.5022156669730249,140,1,3,11,0
3,1,29.69911764705882,0,0,7.8958,1.5117473912278288,147,0,3,11,0
3,1,51.0,0,0,7.0542,1.4780514564280194,147,0,3,11,0
2,1,29.69911764705882,0,0,0.0,0.0,147,0,3,11,0
3,0,17.0,4,2,7.925,1.5128638802220769,147,0,3,8,6
3,1,29.69911764705882,0,0,6.95,1.4736588647118656,147,0,2,11,0
3,1,40.0,1,1,15.5,1.7300806134344884,147,0,2,11,2
3,1,25.0,0,0,0.0,0.0,147,0,3,11,0
1,1,47.0,0,0,25.5875,1.9125181754898144,132,1,3,11,0
1,1,29.69911764705882,0,0,26.55,1.926694710508685,56,1,3,11,0
2,1,44.0,1,0,26.0,1.9186451916253064,147,0,3,11,1
1,0,23.0,3,2,249.0062200000004,3.014685687666117,63,1,3,8,5
2,1,18.0,0,0,11.5,1.629819719346329,147,0,3,11,0
2,1,29.0,1,0,21.0,1.838416287252544,147,0,3,11,1
3,1,12.0,1,0,11.2417,1.6224316067712792,147,0,0,7,1
3,1,11.0,0,0,18.7875,1.7979342213128344,147,0,0,11,0
3,0,22.0,0,0,7.75,1.5061226525730975,147,0,2,8,0
2,1,19.0,0,0,10.5,1.6004343344404717,147,0,3,11,0
3,1,22.0,1,0,7.25,1.4861669577303998,147,0,3,11,1
3,1,33.0,0,0,7.8958,1.5117473912278288,147,0,3,11,0
1,1,56.0,0,0,26.55,1.926694710508685,147,0,3,11,0
2,1,1.0,0,2,37.0042,2.0589708774988282,147,0,0,7,2
3,1,22.0,0,0,7.7958,1.5078985992178089,147,0,3,11,0
3,1,29.69911764705882,0,0,7.2292,1.4853132250847014,147,0,0,11,0
3,1,29.69911764705882,0,0,7.75,1.5061226525730975,147,0,2,11,0
3,1,7.0,4,1,29.125,1.96269667532106,147,0,2,7,5
3,0,4.0,0,1,13.4167,1.6808507094662857,147,0,0,8,1
3,1,65.0,0,0,7.75,1.5061226525730975,147,0,2,11,0
2,1,18.0,0,0,13.0,1.6702776523348104,147,0,3,11,0
3,1,20.0,1,1,15.7417,1.7354428893282614,147,0,0,11,2
2,1,24.0,2,0,73.5,2.3618780376616875,147,0,3,11,2
3,1,29.69911764705882,0,0,7.225,1.4851405983548165,147,0,0,11,0
2,0,34.0,0,0,10.5,1.6004343344404717,142,1,3,12,0
3,0,29.69911764705882,0,0,7.75,1.5061226525730975,147,0,2,8,0
1,0,31.0,0,2,164.8667,2.7760455575207867,76,1,3,8,2
3,1,30.0,0,0,7.8958,1.5117473912278288,147,0,3,11,0
2,1,18.0,0,0,11.5,1.629819719346329,147,0,3,11,0
3,0,9.0,3,2,27.9,1.9459014453829317,147,0,3,8,5
1,0,39.0,1,1,79.65,2.400143212074232,134,1,3,12,2
1,0,33.0,1,0,53.1,2.213191044542816,137,1,3,12,1
1,1,65.0,1,1,71.0,2.345587668505003,20,1,3,0,2
1,0,24.0,0,0,69.3,2.334246127149304,24,1,0,10,0
1,0,58.0,0,1,153.4625,2.7365315134405868,57,1,3,12,1
3,1,21.0,0,0,7.8542,1.5101510578167705,147,0,3,11,0
1,0,17.0,1,0,108.9,2.5550863153165126,74,1,0,12,1
3,0,28.0,1,1,14.4,1.7047963168076516,147,0,3,12,2
1,0,24.0,0,0,83.1583,2.4209238028779256,72,1,0,8,0
3,1,29.69911764705882,0,0,7.225,1.4851405983548165,147,0,0,11,0
3,1,29.69911764705882,1,0,15.5,1.7300806134344884,147,0,2,11,1
3,1,42.0,0,0,8.6625,1.5400281152322484,147,0,3,11,0
3,1,18.0,1,0,6.4958,1.4538731930737308,147,0,3,11,1
3,0,2.0,0,1,12.2875,1.6515537262265718,147,0,3,8,1
2,0,34.0,0,0,13.0,1.6702776523348104,147,0,3,8,0
3,1,3.0,4,2,31.3875,1.9922844494899752,147,0,3,7,6
1,0,58.0,0,0,146.5208,2.7113142476834304,43,1,0,8,0
3,1,32.0,0,0,7.75,1.5061226525730975,147,0,2,11,0
3,1,31.0,0,0,7.925,1.5128638802220769,147,0,3,11,0
3,1,29.69911764705882,0,0,7.775,1.5070930932320792,147,0,3,11,0
2,0,27.0,1,0,13.8583,1.6917726190061628,147,0,0,8,1
3,1,11.0,5,2,46.9,2.1589101519708302,147,0,3,7,7
2,1,23.0,0,0,13.0,1.6702776523348104,147,0,3,11,0
1,1,40.0,0,0,0.0,0.0,46,1,3,11,0
3,1,29.69911764705882,0,0,7.2292,1.4853132250847014,147,0,0,11,0
3,0,28.0,0,0,7.8958,1.5117473912278288,147,0,3,8,0
