Pclass,Sex,Age_clean,SibSp,Parch,Fare_clean,Cabin,Embarked_clean
2,1,62.0,0,0,10.5,147,3
3,1,8.0,4,1,29.125,147,2
3,1,32.0,0,0,56.4958,147,3
3,0,20.0,1,0,9.825,147,3
2,0,28.0,0,0,13.0,147,3
3,0,21.0,0,0,7.75,147,2
3,1,37.0,2,0,7.925,147,3
3,0,17.0,0,0,14.4583,147,0
3,0,29.69911764705882,0,0,7.75,147,2
1,1,46.0,1,0,61.175,122,3
3,1,29.69911764705882,0,0,15.1,147,3
3,1,24.0,0,0,8.05,147,3
1,1,29.0,1,0,66.6,61,3
1,0,56.0,0,1,83.1583,70,0
2,1,31.0,1,1,37.0042,147,0
3,1,29.69911764705882,0,0,7.75,147,2
2,1,32.0,1,0,26.0,147,3
3,1,33.0,1,1,20.525,147,3
3,1,59.0,0,0,7.25,147,3
1,0,58.0,0,0,26.55,49,3
3,0,29.69911764705882,1,0,16.1,147,3
2,0,3.0,1,2,41.5792,147,0
3,1,29.69911764705882,0,0,7.8958,147,0
1,0,16.0,0,1,57.9792,17,0
3,0,45.0,1,4,27.9,147,3
1,0,43.0,0,1,211.3375,22,3
1,0,30.0,0,0,106.425,147,0
3,1,28.5,0,0,16.1,147,3
3,1,24.0,0,0,7.7958,147,3
2,1,30.0,0,0,13.0,147,3
1,1,36.0,0,0,40.125,0,0
3,1,25.0,0,0,7.05,147,3
3,0,29.69911764705882,0,2,7.75,147,2
1,0,50.0,0,0,28.7125,69,0
3,0,0.75,2,1,19.2583,147,0
1,0,24.0,0,0,49.5042,84,0
2,0,24.0,1,2,65.0,147,3
1,0,35.0,1,0,52.0,147,3
1,0,30.0,0,0,86.5,40,3
2,1,23.0,0,0,13.0,147,3
3,1,29.69911764705882,0,0,7.8958,147,3
2,1,27.0,0,0,26.0,147,3
2,0,55.0,0,0,16.0,147,3
1,0,35.0,1,0,53.1,55,3
3,1,29.69911764705882,0,0,6.8583,147,2
1,0,29.69911764705882,0,0,79.2,147,0
3,1,29.69911764705882,1,0,19.9667,147,3
2,0,23.0,0,0,13.7917,90,0
3,0,29.69911764705882,0,0,7.7333,147,2
1,0,23.0,1,0,113.275,103,0
3,1,51.0,0,0,8.05,147,3
2,0,33.0,0,2,26.0,147,3
3,0,29.0,0,4,21.075,147,3
3,1,29.69911764705882,0,0,7.8958,147,0
3,1,29.69911764705882,8,2,69.55,147,3
2,0,2.0,1,1,26.0,147,3
2,0,14.0,1,0,30.0708,147,0
2,1,54.0,1,0,26.0,147,3
3,0,15.0,0,0,8.0292,147,2
1,0,22.0,0,1,55.0,123,3
2,1,27.0,0,0,13.0,147,3
3,1,29.69911764705882,0,0,7.8958,147,3
1,1,29.69911764705882,0,0,39.6,147,0
2,0,28.0,1,0,24.0,147,0
3,1,39.0,0,0,7.925,147,3
2,1,2.0,1,1,26.0,141,3
3,1,24.0,1,0,16.1,147,3
3,1,32.0,0,0,7.8958,147,3
3,1,45.5,0,0,7.225,147,0
2,0,8.0,0,2,26.25,147,3
3,1,26.0,1,2,20.575,147,3
1,0,29.0,0,0,211.3375,32,3
2,0,45.0,1,1,26.25,147,3
3,0,36.0,1,0,17.4,147,3
1,1,29.69911764705882,0,0,26.0,3,3
3,0,4.0,0,2,22.025,147,3
2,1,16.0,0,0,26.0,147,3
1,1,58.0,0,0,29.7,25,0
3,1,40.5,0,2,14.5,147,3
3,1,25.0,0,0,7.65,140,3
3,1,29.69911764705882,0,0,7.8958,147,3
3,1,51.0,0,0,7.0542,147,3
2,1,29.69911764705882,0,0,0.0,147,3
3,0,17.0,4,2,7.925,147,3
3,1,29.69911764705882,0,0,6.95,147,2
3,1,40.0,1,1,15.5,147,2
3,1,25.0,0,0,0.0,147,3
1,1,47.0,0,0,25.5875,132,3
1,1,29.69911764705882,0,0,26.55,56,3
2,1,44.0,1,0,26.0,147,3
1,0,23.0,3,2,249.0062200000004,63,3
2,1,18.0,0,0,11.5,147,3
2,1,29.0,1,0,21.0,147,3
3,1,12.0,1,0,11.2417,147,0
3,1,11.0,0,0,18.7875,147,0
3,0,22.0,0,0,7.75,147,2
2,1,19.0,0,0,10.5,147,3
3,1,22.0,1,0,7.25,147,3
3,1,33.0,0,0,7.8958,147,3
1,1,56.0,0,0,26.55,147,3
2,1,1.0,0,2,37.0042,147,0
3,1,22.0,0,0,7.7958,147,3
3,1,29.69911764705882,0,0,7.2292,147,0
3,1,29.69911764705882,0,0,7.75,147,2
3,1,7.0,4,1,29.125,147,2
3,0,4.0,0,1,13.4167,147,0
3,1,65.0,0,0,7.75,147,2
2,1,18.0,0,0,13.0,147,3
3,1,20.0,1,1,15.7417,147,0
2,1,24.0,2,0,73.5,147,3
3,1,29.69911764705882,0,0,7.225,147,0
2,0,34.0,0,0,10.5,142,3
3,0,29.69911764705882,0,0,7.75,147,2
1,0,31.0,0,2,164.8667,76,3
3,1,30.0,0,0,7.8958,147,3
2,1,18.0,0,0,11.5,147,3
3,0,9.0,3,2,27.9,147,3
1,0,39.0,1,1,79.65,134,3
1,0,33.0,1,0,53.1,137,3
1,1,65.0,1,1,71.0,20,3
1,0,24.0,0,0,69.3,24,0
1,0,58.0,0,1,153.4625,57,3
3,1,21.0,0,0,7.8542,147,3
1,0,17.0,1,0,108.9,74,0
3,0,28.0,1,1,14.4,147,3
1,0,24.0,0,0,83.1583,72,0
3,1,29.69911764705882,0,0,7.225,147,0
3,1,29.69911764705882,1,0,15.5,147,2
3,1,42.0,0,0,8.6625,147,3
3,1,18.0,1,0,6.4958,147,3
3,0,2.0,0,1,12.2875,147,3
2,0,34.0,0,0,13.0,147,3
3,1,3.0,4,2,31.3875,147,3
1,0,58.0,0,0,146.5208,43,0
3,1,32.0,0,0,7.75,147,2
3,1,31.0,0,0,7.925,147,3
3,1,29.69911764705882,0,0,7.775,147,3
2,0,27.0,1,0,13.8583,147,0
3,1,11.0,5,2,46.9,147,3
2,1,23.0,0,0,13.0,147,3
1,1,40.0,0,0,0.0,46,3
3,1,29.69911764705882,0,0,7.2292,147,0
3,0,28.0,0,0,7.8958,147,3
2,0,28.0,0,0,13.0,147,3
3,1,29.69911764705882,1,0,19.9667,147,3
3,1,19.0,0,0,10.1708,147,3
3,0,30.0,1,1,24.15,147,3
3,1,20.0,0,0,7.8542,147,3
3,1,28.0,0,0,56.4958,147,3
3,1,36.0,0,0,0.0,147,3
3,1,29.69911764705882,0,0,8.05,147,3
1,0,24.0,3,2,249.0062200000004,63,3
3,1,28.5,0,0,7.2292,147,0
3,0,24.0,0,3,19.2583,147,0
2,1,42.0,0,0,13.0,147,3
1,1,54.0,0,1,77.2875,98,3
3,1,25.0,0,0,7.7417,147,2
3,1,7.0,4,1,39.6875,147,3
3,1,25.0,1,0,17.8,147,3
3,0,27.0,0,1,12.475,118,3
3,0,24.0,1,0,15.85,147,3
3,1,29.69911764705882,0,0,7.25,147,3
2,0,28.0,0,0,12.65,147,3
3,1,19.0,0,0,14.5,147,3
3,1,22.0,0,0,7.25,147,3
3,0,29.69911764705882,0,0,7.225,147,0
3,0,29.69911764705882,8,2,69.55,147,3
1,1,42.0,0,0,26.2875,120,3
2,1,50.0,0,0,13.0,147,3
2,1,3.0,1,1,18.75,147,3
1,1,29.69911764705882,0,0,227.525,147,0
3,0,18.0,2,0,18.0,147,3
3,1,18.0,1,1,7.8542,147,3
1,1,44.0,2,0,90.0,78,2
1,1,29.69911764705882,0,0,30.0,105,3
1,1,29.69911764705882,0,0,42.4,147,3
3,1,29.69911764705882,1,0,24.15,147,2
3,1,16.0,0,0,7.775,147,3
3,1,29.69911764705882,0,0,7.3125,147,3
3,1,22.0,0,0,7.8958,147,3
2,0,4.0,1,1,23.0,147,3
2,1,29.69911764705882,0,0,13.0,147,3
3,1,24.0,0,0,7.1417,147,3
2,0,30.0,0,0,12.35,147,2
3,0,29.0,0,2,15.2458,147,0
3,1,24.0,0,0,9.5,147,3
1,0,45.0,1,1,164.8667,147,3
2,0,32.0,0,0,13.0,147,3
3,1,21.0,0,0,7.925,147,3
1,1,35.0,0,0,249.0062200000004,15,0
3,0,29.69911764705882,8,2,69.55,147,3
3,1,29.69911764705882,2,0,23.25,147,2
1,1,36.0,0,1,249.0062200000004,34,0
3,0,41.0,0,5,39.6875,147,3
3,0,23.0,0,0,7.55,147,3
3,1,34.0,1,1,14.4,147,3
2,0,29.69911764705882,0,0,33.0,147,3
3,1,29.69911764705882,0,0,24.15,147,2
3,0,15.0,0,0,7.225,147,0
3,1,29.69911764705882,0,0,8.05,147,3
3,0,18.0,0,0,7.775,147,3
3,1,30.0,0,0,8.05,147,3
2,1,32.0,2,0,73.5,147,3
3,1,4.0,4,1,29.125,147,2
3,1,2.0,4,1,29.125,147,2
3,1,29.69911764705882,0,0,8.05,147,3
