Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Age_clean,Embarked_clean,Fare_clean,Fare_clean_tr,Title,Cabin_ind,Family_cnt
2,1,62.0,0,0,10.5,147,2,62.0,3,10.5,1.6004343344404717,11,0,0
3,1,8.0,4,1,29.125,147,1,8.0,2,29.125,1.9626966753210602,7,0,5
3,1,32.0,0,0,56.4958,147,2,32.0,3,56.4958,2.2408007055327177,11,0,0
3,0,20.0,1,0,9.825,147,2,20.0,3,9.825,1.5793068236286465,8,0,1
2,0,28.0,0,0,13.0,147,2,28.0,3,13.0,1.6702776523348104,8,0,0
3,0,21.0,0,0,7.75,147,1,21.0,2,7.75,1.5061226525730975,8,0,0
3,1,37.0,2,0,7.925,147,2,37.0,3,7.925,1.5128638802220769,11,0,2
3,0,17.0,0,0,14.4583,147,0,17.0,0,14.4583,1.7061744981851188,8,0,0
3,0,,0,0,7.75,147,1,29.69911764705882,2,7.75,1.5061226525730975,8,0,0
1,1,46.0,1,0,61.175,122,2,46.0,3,61.175,2.276747118546924,11,1,1
3,1,,0,0,15.1,147,2,29.69911764705882,3,15.1,1.7210575366331091,11,0,0
3,1,24.0,0,0,8.05,147,2,24.0,3,8.05,1.5176064932892266,11,0,0
1,1,29.0,1,0,66.6,61,2,29.0,3,66.6,2.3157669197586563,11,1,1
1,0,56.0,0,1,83.1583,70,0,56.0,0,83.1583,2.4209238028779256,12,1,1
2,1,31.0,1,1,37.0042,147,0,31.0,0,37.0042,2.058970877498828,11,0,2
3,1,,0,0,7.75,147,1,29.69911764705882,2,7.75,1.5061226525730975,11,0,0
2,1,32.0,1,0,26.0,147,2,32.0,3,26.0,1.9186451916253064,11,0,1
3,1,33.0,1,1,20.525,147,2,33.0,3,20.525,1.830023358661372,11,0,2
3,1,59.0,0,0,7.25,147,2,59.0,3,7.25,1.4861669577303998,11,0,0
1,0,58.0,0,0,26.55,49,2,58.0,3,26.55,1.9266947105086851,8,1,0
3,0,,1,0,16.1,147,2,29.69911764705882,3,16.1,1.7432720823741534,12,0,1
2,0,3.0,1,2,41.5792,147,0,3.0,0,41.5792,2.1075370871655457,8,0,3
3,1,,0,0,7.8958,147,0,29.69911764705882,0,7.8958,1.5117473912278288,11,0,0
1,0,16.0,0,1,57.9792,17,0,16.0,0,57.9792,2.2524462888927452,8,1,1
3,0,45.0,1,4,27.9,147,2,45.0,3,27.9,1.945901445382932,12,0,5
1,0,43.0,0,1,211.3375,22,2,43.0,3,211.3375,2.9173955295624148,12,1,1
1,0,30.0,0,0,106.425,147,0,30.0,0,106.425,2.5433652414675887,8,0,0
3,1,28.5,0,0,16.1,147,2,28.5,3,16.1,1.7432720823741534,11,0,0
3,1,24.0,0,0,7.7958,147,2,24.0,3,7.7958,1.5078985992178089,11,0,0
2,1,30.0,0,0,13.0,147,2,30.0,3,13.0,1.6702776523348104,11,0,0
1,1,36.0,0,0,40.125,0,0,36.0,0,40.125,2.0925845238681964,11,1,0
3,1,25.0,0,0,7.05,147,2,25.0,3,7.05,1.4778754110912282,11,0,0
3,0,,0,2,7.75,147,1,29.69911764705882,2,7.75,1.5061226525730975,8,0,2
1,0,50.0,0,0,28.7125,69,0,50.0,0,28.7125,1.9571053387299904,8,1,0
3,0,0.75,2,1,19.2583,147,0,0.75,0,19.2583,1.806856196923988,8,0,3
1,0,24.0,0,0,49.5042,84,0,24.0,0,49.5042,2.1823701323690363,9,1,0
2,0,24.0,1,2,65.0,147,2,24.0,3,65.0,2.3045316198021406,8,0,3
1,0,35.0,1,0,52.0,147,2,35.0,3,52.0,2.2039445754429603,12,0,1
1,0,30.0,0,0,86.5,40,2,30.0,3,86.5,2.4400752592578163,8,1,0
2,1,23.0,0,0,13.0,147,2,23.0,3,13.0,1.6702776523348104,11,0,0
3,1,,0,0,7.8958,147,2,29.69911764705882,3,7.8958,1.5117473912278288,11,0,0
2,1,27.0,0,0,26.0,147,2,27.0,3,26.0,1.9186451916253064,11,0,0
2,0,55.0,0,0,16.0,147,2,55.0,3,16.0,1.7411011265922482,12,0,0
1,0,35.0,1,0,53.1,55,2,35.0,3,53.1,2.213191044542816,12,1,1
3,1,,0,0,6.8583,147,1,29.69911764705882,2,6.8583,1.469749413897551,11,0,0
1,0,,0,0,79.2,147,0,29.69911764705882,0,79.2,2.397425036114708,12,0,0
3,1,,1,0,19.9667,147,2,29.69911764705882,3,19.9667,1.8199575509815569,11,0,1
2,0,23.0,0,0,13.7917,90,0,23.0,0,13.7917,1.6901434253228618,12,1,0
3,0,,0,0,7.7333,147,1,29.69911764705882,2,7.7333,1.5054730020960585,8,0,0
1,0,23.0,1,0,113.275,103,0,23.0,0,113.275,2.575293989068137,8,1,1
3,1,51.0,0,0,8.05,147,2,51.0,3,8.05,1.5176064932892266,11,0,0
2,0,33.0,0,2,26.0,147,2,33.0,3,26.0,1.9186451916253064,12,0,2
3,0,29.0,0,4,21.075,147,2,29.0,3,21.075,1.8397275698182904,12,0,4
3,1,,0,0,7.8958,147,0,29.69911764705882,0,7.8958,1.5117473912278288,11,0,0
3,1,,8,2,69.55,147,2,29.69911764705882,3,69.55,2.3359278624155344,11,0,10
2,0,2.0,1,1,26.0,147,2,2.0,3,26.0,1.9186451916253064,8,0,2
2,0,14.0,1,0,30.0708,147,0,14.0,0,30.0708,1.975281500800348,12,0,1
2,1,54.0,1,0,26.0,147,2,54.0,3,26.0,1.9186451916253064,14,0,1
3,0,15.0,0,0,8.0292,147,1,15.0,2,8.0292,1.516821427682057,8,0,0
1,0,22.0,0,1,55.0,123,2,22.0,3,55.0,2.2288073840335185,8,1,1
2,1,27.0,0,0,13.0,147,2,27.0,3,13.0,1.6702776523348104,11,0,0
3,1,,0,0,7.8958,147,2,29.69911764705882,3,7.8958,1.5117473912278288,11,0,0
1,1,,0,0,39.6,147,0,29.69911764705882,0,39.6,2.0870797156498897,3,0,0
2,0,28.0,1,0,24.0,147,0,28.0,0,24.0,1.888175022589804,12,0,1
3,1,39.0,0,0,7.925,147,2,39.0,3,7.925,1.5128638802220769,11,0,0
2,1,2.0,1,1,26.0,141,2,2.0,3,26.0,1.9186451916253064,7,1,2
3,1,24.0,1,0,16.1,147,2,24.0,3,16.1,1.7432720823741534,11,0,1
3,1,32.0,0,0,7.8958,147,2,32.0,3,7.8958,1.5117473912278288,11,0,0
3,1,45.5,0,0,7.225,147,0,45.5,0,7.225,1.4851405983548165,11,0,0
2,0,8.0,0,2,26.25,147,2,8.0,3,26.25,1.92232078407926,8,0,2
3,1,26.0,1,2,20.575,147,2,26.0,3,20.575,1.8309140981238017,11,0,3
1,0,29.0,0,0,211.3375,32,2,29.0,3,211.3375,2.9173955295624148,8,1,0
2,0,45.0,1,1,26.25,147,2,45.0,3,26.25,1.92232078407926,12,0,2
3,0,36.0,1,0,17.4,147,2,36.0,3,17.4,1.77055674308707,12,0,1
1,1,,0,0,26.0,3,2,29.69911764705882,3,26.0,1.9186451916253064,11,1,0
3,0,4.0,0,2,22.025,147,2,4.0,3,22.025,1.8560222721344488,8,0,2
2,1,16.0,0,0,26.0,147,2,16.0,3,26.0,1.9186451916253064,11,0,0
1,1,58.0,0,0,29.7,25,0,58.0,0,29.7,1.9703858946219757,11,1,0
3,1,40.5,0,2,14.5,147,2,40.5,3,14.5,1.7071575395958585,11,0,2
3,1,25.0,0,0,7.65,140,2,25.0,3,7.65,1.5022156669730249,11,1,0
3,1,,0,0,7.8958,147,2,29.69911764705882,3,7.8958,1.5117473912278288,11,0,0
3,1,51.0,0,0,7.0542,147,2,51.0,3,7.0542,1.4780514564280194,11,0,0
2,1,,0,0,0.0,147,2,29.69911764705882,3,0.0,0.0,11,0,0
3,0,17.0,4,2,7.925,147,2,17.0,3,7.925,1.5128638802220769,8,0,6
3,1,,0,0,6.95,147,1,29.69911764705882,2,6.95,1.4736588647118656,11,0,0
3,1,40.0,1,1,15.5,147,1,40.0,2,15.5,1.7300806134344884,11,0,2
3,1,25.0,0,0,0.0,147,2,25.0,3,0.0,0.0,11,0,0
1,1,47.0,0,0,25.5875,132,2,47.0,3,25.5875,1.9125181754898144,11,1,0
1,1,,0,0,26.55,56,2,29.69911764705882,3,26.55,1.9266947105086851,11,1,0
2,1,44.0,1,0,26.0,147,2,44.0,3,26.0,1.9186451916253064,11,0,1
1,0,23.0,3,2,263.0,63,2,23.0,3,249.0062200000004,3.014685687666117,8,1,5
2,1,18.0,0,0,11.5,147,2,18.0,3,11.5,1.629819719346329,11,0,0
2,1,29.0,1,0,21.0,147,2,29.0,3,21.0,1.8384162872525438,11,0,1
3,1,12.0,1,0,11.2417,147,0,12.0,0,11.2417,1.6224316067712792,7,0,1
3,1,11.0,0,0,18.7875,147,0,11.0,0,18.7875,1.7979342213128344,11,0,0
3,0,22.0,0,0,7.75,147,1,22.0,2,7.75,1.5061226525730975,8,0,0
2,1,19.0,0,0,10.5,147,2,19.0,3,10.5,1.6004343344404717,11,0,0
3,1,22.0,1,0,7.25,147,2,22.0,3,7.25,1.4861669577303998,11,0,1
3,1,33.0,0,0,7.8958,147,2,33.0,3,7.8958,1.5117473912278288,11,0,0
1,1,56.0,0,0,26.55,147,2,56.0,3,26.55,1.9266947105086851,11,0,0
2,1,1.0,0,2,37.0042,147,0,1.0,0,37.0042,2.058970877498828,7,0,2
3,1,22.0,0,0,7.7958,147,2,22.0,3,7.7958,1.5078985992178089,11,0,0
3,1,,0,0,7.2292,147,0,29.69911764705882,0,7.2292,1.4853132250847014,11,0,0
3,1,,0,0,7.75,147,1,29.69911764705882,2,7.75,1.5061226525730975,11,0,0
3,1,7.0,4,1,29.125,147,1,7.0,2,29.125,1.9626966753210602,7,0,5
3,0,4.0,0,1,13.4167,147,0,4.0,0,13.4167,1.6808507094662857,8,0,1
3,1,70.5,0,0,7.75,147,1,65.0,2,7.75,1.5061226525730975,11,0,0
2,1,18.0,0,0,13.0,147,2,18.0,3,13.0,1.6702776523348104,11,0,0
3,1,20.0,1,1,15.7417,147,0,20.0,0,15.7417,1.7354428893282614,11,0,2
2,1,24.0,2,0,73.5,147,2,24.0,3,73.5,2.3618780376616875,11,0,2
3,1,,0,0,7.225,147,0,29.69911764705882,0,7.225,1.4851405983548165,11,0,0
2,0,34.0,0,0,10.5,142,2,34.0,3,10.5,1.6004343344404717,12,1,0
3,0,,0,0,7.75,147,1,29.69911764705882,2,7.75,1.5061226525730975,8,0,0
1,0,31.0,0,2,164.8667,76,2,31.0,3,164.8667,2.7760455575207867,8,1,2
3,1,30.0,0,0,7.8958,147,2,30.0,3,7.8958,1.5117473912278288,11,0,0
2,1,18.0,0,0,11.5,147,2,18.0,3,11.5,1.629819719346329,11,0,0
3,0,9.0,3,2,27.9,147,2,9.0,3,27.9,1.945901445382932,8,0,5
1,0,39.0,1,1,79.65,134,2,39.0,3,79.65,2.400143212074232,12,1,2
1,0,33.0,1,0,53.1,137,2,33.0,3,53.1,2.213191044542816,12,1,1
1,1,70.0,1,1,71.0,20,2,65.0,3,71.0,2.345587668505003,0,1,2
1,0,24.0,0,0,69.3,24,0,24.0,0,69.3,2.3342461271493042,10,1,0
1,0,58.0,0,1,153.4625,57,2,58.0,3,153.4625,2.7365315134405868,12,1,1
3,1,21.0,0,0,7.8542,147,2,21.0,3,7.8542,1.5101510578167705,11,0,0
1,0,17.0,1,0,108.9,74,0,17.0,0,108.9,2.5550863153165126,12,1,1
3,0,28.0,1,1,14.4,147,2,28.0,3,14.4,1.7047963168076516,12,0,2
1,0,24.0,0,0,83.1583,72,0,24.0,0,83.1583,2.4209238028779256,8,1,0
3,1,,0,0,7.225,147,0,29.69911764705882,0,7.225,1.4851405983548165,11,0,0
3,1,,1,0,15.5,147,1,29.69911764705882,2,15.5,1.7300806134344884,11,0,1
3,1,42.0,0,0,8.6625,147,2,42.0,3,8.6625,1.5400281152322484,11,0,0
3,1,18.0,1,0,6.4958,147,2,18.0,3,6.4958,1.4538731930737308,11,0,1
3,0,2.0,0,1,12.2875,147,2,2.0,3,12.2875,1.6515537262265718,8,0,1
2,0,34.0,0,0,13.0,147,2,34.0,3,13.0,1.6702776523348104,8,0,0
3,1,3.0,4,2,31.3875,147,2,3.0,3,31.3875,1.9922844494899752,7,0,6
1,0,58.0,0,0,146.5208,43,0,58.0,0,146.5208,2.7113142476834304,8,1,0
3,1,32.0,0,0,7.75,147,1,32.0,2,7.75,1.5061226525730975,11,0,0
3,1,31.0,0,0,7.925,147,2,31.0,3,7.925,1.5128638802220769,11,0,0
3,1,,0,0,7.775,147,2,29.69911764705882,3,7.775,1.5070930932320792,11,0,0
2,0,27.0,1,0,13.8583,147,0,27.0,0,13.8583,1.6917726190061628,8,0,1
3,1,11.0,5,2,46.9,147,2,11.0,3,46.9,2.1589101519708302,7,0,7
2,1,23.0,0,0,13.0,147,2,23.0,3,13.0,1.6702776523348104,11,0,0
1,1,40.0,0,0,0.0,46,2,40.0,3,0.0,0.0,11,1,0
3,1,,0,0,7.2292,147,0,29.69911764705882,0,7.2292,1.4853132250847014,11,0,0
3,0,28.0,0,0,7.8958,147,2,28.0,3,7.8958,1.5117473912278288,8,0,0
2,0,28.0,0,0,13.0,147,2,28.0,3,13.0,1.6702776523348104,13,0,0
3,1,,1,0,19.9667,147,2,29.69911764705882,3,19.9667,1.8199575509815569,11,0,1
3,1,19.0,0,0,10.1708,147,2,19.0,3,10.1708,1.59027057377503,11,0,0
3,0,30.0,1,1,24.15,147,2,30.0,3,24.15,1.8905293628517983,12,0,2
3,1,20.0,0,0,7.8542,147,2,20.0,3,7.8542,1.5101510578167705,11,0,0
3,1,28.0,0,0,56.4958,147,2,28.0,3,56.4958,2.2408007055327177,11,0,0
3,1,36.0,0,0,0.0,147,2,36.0,3,0.0,0.0,11,0,0
3,1,,0,0,8.05,147,2,29.69911764705882,3,8.05,1.5176064932892266,11,0,0
1,0,24.0,3,2,263.0,63,2,24.0,3,249.0062200000004,3.014685687666117,8,1,5
3,1,28.5,0,0,7.2292,147,0,28.5,0,7.2292,1.4853132250847014,11,0,0
3,0,24.0,0,3,19.2583,147,0,24.0,0,19.2583,1.806856196923988,12,0,3
2,1,42.0,0,0,13.0,147,2,42.0,3,13.0,1.6702776523348104,14,0,0
1,1,54.0,0,1,77.2875,98,2,54.0,3,77.2875,2.3857330771281977,11,1,1
3,1,25.0,0,0,7.7417,147,1,25.0,2,7.7417,1.5057999125305377,11,0,0
3,1,7.0,4,1,39.6875,147,2,7.0,3,39.6875,2.0880012221280344,7,0,5
3,1,25.0,1,0,17.8,147,2,25.0,3,17.8,1.7786233949266408,11,0,1
3,0,27.0,0,1,12.475,118,2,27.0,3,12.475,1.656563586916615,12,1,1
3,0,24.0,1,0,15.85,147,2,24.0,3,15.85,1.7378242505455312,12,0,1
3,1,,0,0,7.25,147,2,29.69911764705882,3,7.25,1.4861669577303998,11,0,0
2,0,28.0,0,0,12.65,147,2,28.0,3,12.65,1.6611853985484897,12,0,0
3,1,19.0,0,0,14.5,147,2,19.0,3,14.5,1.7071575395958585,11,0,0
3,1,22.0,0,0,7.25,147,2,22.0,3,7.25,1.4861669577303998,11,0,0
3,0,,0,0,7.225,147,0,29.69911764705882,0,7.225,1.4851405983548165,12,0,0
3,0,,8,2,69.55,147,2,29.69911764705882,3,69.55,2.3359278624155344,8,0,10
1,1,42.0,0,0,26.2875,120,2,42.0,3,26.2875,1.9228697050094496,11,1,0
2,1,50.0,0,0,13.0,147,2,50.0,3,13.0,1.6702776523348104,11,0,0
2,1,3.0,1,1,18.75,147,2,3.0,3,18.75,1.7972159093690117,7,0,2
1,1,,0,0,227.525,147,0,29.69911764705882,0,227.525,2.9607778604132067,11,0,0
3,0,18.0,2,0,18.0,147,2,18.0,3,18.0,1.7826024579660034,8,0,2
3,1,18.0,1,1,7.8542,147,2,18.0,3,7.8542,1.5101510578167705,11,0,2
1,1,44.0,2,0,90.0,78,1,44.0,2,90.0,2.4595094858493645,3,1,2
1,1,,0,0,30.0,105,2,29.69911764705882,3,30.0,1.97435048583482,11,1,0
1,1,,0,0,42.4,147,2,29.69911764705882,3,42.4,2.115792977411307,11,0,0
3,1,,1,0,24.15,147,1,29.69911764705882,2,24.15,1.8905293628517983,11,0,1
3,1,16.0,0,0,7.775,147,2,16.0,3,7.775,1.5070930932320792,11,0,0
3,1,,0,0,7.3125,147,2,29.69911764705882,3,7.3125,1.4887205242688593,11,0,0
3,1,22.0,0,0,7.8958,147,2,22.0,3,7.8958,1.5117473912278288,11,0,0
2,0,4.0,1,1,23.0,147,2,4.0,3,23.0,1.8721712305548568,8,0,2
2,1,,0,0,13.0,147,2,29.69911764705882,3,13.0,1.6702776523348104,11,0,0
3,1,24.0,0,0,7.1417,147,2,24.0,3,7.1417,1.481700135453066,11,0,0
2,0,30.0,0,0,12.35,147,1,30.0,2,12.35,1.6532304339717367,8,0,0
3,0,29.0,0,2,15.2458,147,0,29.0,0,15.2458,1.7243683526637668,12,0,2
3,1,24.0,0,0,9.5,147,2,24.0,3,9.5,1.5687174265360495,11,0,0
1,0,45.0,1,1,164.8667,147,2,45.0,3,164.8667,2.7760455575207867,12,0,2
2,0,32.0,0,0,13.0,147,2,32.0,3,13.0,1.6702776523348104,12,0,0
3,1,21.0,0,0,7.925,147,2,21.0,3,7.925,1.5128638802220769,11,0,0
1,1,35.0,0,0,512.3292,15,0,35.0,0,249.0062200000004,3.014685687666117,11,1,0
3,0,,8,2,69.55,147,2,29.69911764705882,3,69.55,2.3359278624155344,8,0,10
3,1,,2,0,23.25,147,1,29.69911764705882,2,23.25,1.8762235871661008,11,0,2
1,1,36.0,0,1,512.3292,34,0,36.0,0,249.0062200000004,3.014685687666117,11,1,1
3,0,41.0,0,5,39.6875,147,2,41.0,3,39.6875,2.0880012221280344,12,0,5
3,0,23.0,0,0,7.55,147,2,23.0,3,7.55,1.4982676079809925,8,0,0
3,1,34.0,1,1,14.4,147,2,34.0,3,14.4,1.7047963168076516,11,0,2
2,0,,0,0,33.0,147,2,29.69911764705882,3,33.0,2.0123466170855586,8,0,0
3,1,,0,0,24.15,147,1,29.69911764705882,2,24.15,1.8905293628517983,11,0,0
3,0,15.0,0,0,7.225,147,0,15.0,0,7.225,1.4851405983548165,8,0,0
3,1,,0,0,8.05,147,2,29.69911764705882,3,8.05,1.5176064932892266,11,0,0
3,0,18.0,0,0,7.775,147,2,18.0,3,7.775,1.5070930932320792,8,0,0
3,1,30.0,0,0,8.05,147,2,30.0,3,8.05,1.5176064932892266,11,0,0
2,1,32.0,2,0,73.5,147,2,32.0,3,73.5,2.3618780376616875,11,0,2
3,1,4.0,4,1,29.125,147,1,4.0,2,29.125,1.9626966753210602,7,0,5
3,1,2.0,4,1,29.125,147,1,2.0,2,29.125,1.9626966753210602,7,0,5
3,1,,0,0,8.05,147,2,29.69911764705882,3,8.05,1.5176064932892266,11,0,0
3,1,,2,0,21.6792,147,0,29.69911764705882,0,21.6792,1.850157286311896,11,0,2
1,0,48.0,0,0,25.9292,94,2,48.0,3,25.9292,1.9175991279101599,12,1,0
3,1,31.0,0,0,7.75,147,1,31.0,2,7.75,1.5061226525730975,11,0,0
1,1,47.0,0,0,34.0208,106,2,47.0,3,34.0208,2.0246450888938408,11,1,0
3,0,26.0,1,0,16.1,147,2,26.0,3,16.1,1.7432720823741534,12,0,1
3,1,9.0,5,2,46.9,147,2,9.0,3,46.9,2.1589101519708302,7,0,7
3,1,19.0,0,0,8.05,147,2,19.0,3,8.05,1.5176064932892266,11,0,0
3,1,,0,0,8.05,147,2,29.69911764705882,3,8.05,1.5176064932892266,11,0,0
3,1,22.0,0,0,9.35,147,2,22.0,3,9.35,1.5637319948690074,11,0,0
3,1,,0,0,7.225,147,0,29.69911764705882,0,7.225,1.4851405983548165,11,0,0
2,1,28.0,0,1,33.0,147,2,28.0,3,33.0,2.0123466170855586,14,0,1
2,0,24.0,2,3,18.75,147,2,24.0,3,18.75,1.7972159093690117,12,0,5
3,1,17.0,0,0,8.6625,147,2,17.0,3,8.6625,1.5400281152322484,11,0,0
3,1,,1,0,15.5,147,1,29.69911764705882,2,15.5,1.7300806134344884,11,0,1
3,0,,3,1,25.4667,147,2,29.69911764705882,3,25.4667,1.9107089348696944,8,0,4
3,1,21.0,0,0,8.05,147,2,21.0,3,8.05,1.5176064932892266,11,0,0
1,1,51.0,0,0,26.55,119,2,51.0,3,26.55,1.9266947105086851,11,1,0
3,0,3.0,3,1,21.075,147,2,3.0,3,21.075,1.8397275698182904,8,0,4
3,0,0.75,2,1,19.2583,147,0,0.75,0,19.2583,1.806856196923988,8,0,3
3,1,,0,0,7.2292,147,0,29.69911764705882,0,7.2292,1.4853132250847014,11,0,0
3,1,34.0,0,0,8.05,147,2,34.0,3,8.05,1.5176064932892266,11,0,0
2,0,18.0,0,1,23.0,147,2,18.0,3,23.0,1.8721712305548568,8,0,1
1,0,44.0,0,0,27.7208,28,0,44.0,0,27.7208,1.9433953171183056,12,1,0
3,1,,0,0,14.5,147,2,29.69911764705882,3,14.5,1.7071575395958585,11,0,0
3,1,,0,0,9.5,147,2,29.69911764705882,3,9.5,1.5687174265360495,11,0,0
3,0,37.0,0,0,9.5875,147,2,37.0,3,9.5875,1.5715965812024535,8,0,0
2,1,21.0,1,0,11.5,147,2,21.0,3,11.5,1.629819719346329,11,0,1
1,1,36.0,1,0,78.85,67,2,36.0,3,78.85,2.3953023442886727,11,1,1
3,1,32.0,0,0,7.925,147,2,32.0,3,7.925,1.5128638802220769,11,0,0
3,0,,1,2,23.45,147,2,29.69911764705882,3,23.45,1.8794404489039271,8,0,3
3,1,26.0,0,0,7.775,147,2,26.0,3,7.775,1.5070930932320792,11,0,0
1,1,80.0,0,0,30.0,5,2,65.0,3,30.0,1.97435048583482,11,1,0
3,1,55.5,0,0,8.05,147,2,55.5,3,8.05,1.5176064932892266,11,0,0
2,1,60.0,1,1,39.0,147,2,60.0,3,39.0,2.080716549261844,11,0,2
3,1,,0,0,7.7333,147,1,29.69911764705882,2,7.7333,1.5054730020960585,11,0,0
3,1,18.0,0,0,7.775,147,2,18.0,3,7.775,1.5070930932320792,11,0,0
3,0,14.5,1,0,14.4542,147,0,14.5,0,14.4542,1.7060777218137082,8,0,1
2,1,19.0,0,0,10.5,147,2,19.0,3,10.5,1.6004343344404717,11,0,0
2,0,4.0,2,1,39.0,144,2,4.0,3,39.0,2.080716549261844,8,1,3
3,1,33.0,0,0,8.6542,147,2,33.0,3,8.6542,1.5397328855616323,11,0,0
3,1,21.0,0,0,7.7333,147,1,21.0,2,7.7333,1.5054730020960585,11,0,0
3,0,10.0,0,2,24.15,147,2,10.0,3,24.15,1.8905293628517983,8,0,2
2,1,47.0,0,0,15.0,147,2,47.0,3,15.0,1.7187719275874789,11,0,0
3,0,2.0,4,2,31.275,147,2,2.0,3,31.275,1.9908542366373856,8,0,6
2,0,29.0,1,0,26.0,147,2,29.0,3,26.0,1.9186451916253064,12,0,1
1,0,22.0,1,0,66.6,61,2,22.0,3,66.6,2.3157669197586563,12,1,1
3,1,28.0,1,0,15.85,147,2,28.0,3,15.85,1.7378242505455312,11,0,1
1,1,,0,0,29.7,68,0,29.69911764705882,0,29.7,1.9703858946219757,11,1,0
3,1,26.0,0,0,18.7875,147,0,26.0,0,18.7875,1.7979342213128344,11,0,0
3,1,33.0,0,0,9.5,147,2,33.0,3,9.5,1.5687174265360495,11,0,0
2,0,27.0,0,0,10.5,116,2,27.0,3,10.5,1.6004343344404717,8,1,0
3,0,27.0,0,2,11.1333,147,2,27.0,3,11.1333,1.6192905536180733,12,0,2
