Name of the data = Home Consumption,,,,,
Unit = kW and $/kW,,,,,
Time,E_Plug,E_Heat,Price,Temperature,No. Occupants
1,24,28,10,-15,12
2,17,32,12,-17,12
3,16,34,11,-19,12
3,16,34,11,-19,12
4,16,33,12,-18,12
5,16,30,10,-14,12
6,16,31,10,-16,12
7,19,28,14,-14,12
8,22,29,12,-15,9
9,25,26,12,-12,8
10,26,24,14,-8,8
11,27,20,14,-4,8
12,30,19,16,0,5
13,30,19,16,0,4
14,,13,17,2,4
15,27,14,17,3,4
16,27,16,17,2,6
17,28,-4,18,0,8
18,33,26,20,-6,9
19,42,32,21,-8,10
20,120,33,21,-12,12
21,47,32,21,-16,12
22,44,30,22,-18,12
23,36,35,!,-19,12
24,37,36,18,-22,12
