ID,BrandName,ModelNumber,UPC,Configuration,Features,Market,Volume,IMEF,MinimumIMEF,EnergyUse,IWF,MaximumIWF,WaterUse,DateAvailable,DateCertified,Countries,MostEfficient
2342279,GE,GTW845C*N***,1,Top Load,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,5,2.06,1.29,192,4.3,8.4,6368,8/5/19,7/31/19,"United States, Canada",No
2331684,GE,GUD27EE*N***,84691844198,Top Load,Gentle Cycle,Residential,3.9,2.06,1.29,140,4.3,8.4,4947,12/10/18,11/30/18,United States,No
2331685,GE,GUD27EE*N***,7.57638E+11,Top Load,Gentle Cycle,Residential,3.9,2.06,1.29,140,4.3,8.4,4947,12/10/18,11/30/18,Canada,No
2331687,GE,GUD27GE*N***,84691844181,Top Load,Gentle Cycle,Residential,3.9,2.06,1.29,140,4.3,8.4,4947,12/10/18,11/30/18,United States,No
2331686,GE,GUD37EE*N***,7.57638E+11,Top Load,Gentle Cycle,Residential,3.9,2.06,1.29,140,4.3,8.4,4947,12/10/18,11/30/18,Canada,No
2310465,GE,WCVH4800****,84691191063,Front Load,Other,Residential,2.2,2.1,1.84,99,4.1,4.7,2685,4/1/15,3/5/15,"United States, Canada",No
2310522,GE,WCVH4800K***,84691191063,Front Load,"Gentle Cycle,Delayed Start,Hand Wash Cycle",Residential,2.2,2.1,1.84,99,4.1,4.7,2685,3/13/15,2/12/18,"United States, Canada",No
2344117,GE Adora,GTW495*****,7.57638E+11,Top Load,"Other,Gentle Cycle",Residential,4.2,2.15,1.29,160,4,8.4,4956,8/19/19,8/7/19,Canada,No
2340369,Haier,QFW150S*N***,84691841883,Front Load,"Steam Cycle,Delayed Start,Sanitize Option,Gentle Cycle",Residential,2.4,2.07,1.84,108,4.2,4.7,2974,7/8/19,6/26/19,"United States, Canada",No
2331774,Inglis,IFW5900H**,8.83049E+11,Front Load,"Anti-Wrinkle,Other,Sanitize Option",Residential,4.3,2.76,1.84,123,3.2,4.7,4097,12/3/18,8/24/18,"United States, Canada",No
2305859,Insignia,NS-TWM48WH8B,6.00603E+11,Top Load,None,Residential,4.8,2.06,1.29,92,4.3,8.4,6025,10/12/17,10/12/17,Canada,No
2355252,Kenmore,2165*20*,8.8305E+11,Top Load,"Delayed Start,Other",Residential,5.2,2.06,1.29,260,4.3,8.4,6609,4/1/20,1/13/20,United States,No
2310410,Kenmore,2613*41*,8.83049E+11,Top Load,Other,Residential,4.8,2.06,1.29,169,4.3,8.4,6076,3/23/15,2/8/18,"United States, Canada",No
2310389,Kenmore,2713*41*,8.83049E+11,Top Load,Other,Residential,4.8,2.06,1.29,169,4.3,8.4,6076,3/23/15,2/8/18,"United States, Canada",No
2310394,Kenmore,2813*41*,8.83049E+11,Top Load,Other,Residential,5.3,2.06,1.29,195,4.3,8.4,6698,2/23/15,2/8/18,"United States, Canada",No
2310402,Kenmore,2913*41*,8.83049E+11,Top Load,Other,Residential,5.3,2.06,1.29,195,4.3,8.4,6698,2/23/15,2/8/18,"United States, Canada",No
2308536,Kenmore,3143#,1,Top Load,"Anti-Wrinkle,Steam Cycle,Delayed Start,Sanitize Option",Residential,5,2.38,1.29,150,3.7,8.4,5479,11/2/17,12/18/17,"United States, Canada",No
2352037,Kenmore,3145#,1,Top Load,None,Residential,4.5,2.06,1.29,220,4.3,8.4,5721,12/18/19,12/18/19,"United States, Canada",No
2310478,Kenmore,3155#,1,Top Load,"Steam Cycle,Sanitize Option",Residential,5.2,2.38,1.29,130,3.7,8.4,5643,6/24/16,2/8/18,"United States, Canada",No
2310411,Kenmore,3163*61*,8.83049E+11,Top Load,"Other,Delayed Start,Steam Cycle",Residential,6.2,2.06,1.29,271,4.3,8.4,7827,4/4/16,2/8/18,"United States, Canada",No
2355251,Kenmore,3165*20*,8.8305E+11,Top Load,"Delayed Start,Other",Residential,5.3,2.06,1.29,270,4.3,8.4,6736,4/1/20,1/13/20,United States,No
2351914,Kenmore,3171#,1,Top Load,None,Residential,5.5,2.76,1.29,130,3.2,8.4,5145,12/11/19,12/4/19,"United States, Canada",No
2351913,Kenmore,3177#,1,Top Load,None,Residential,5.5,2.76,1.29,150,3.2,8.4,5145,12/11/19,12/4/19,"United States, Canada",No
2347077,Kenmore,4107#,1,Front Load,None,Residential,5.2,2.92,1.84,120,3.2,4.7,4899,9/24/19,9/19/19,"United States, Canada",Yes
2310500,Kenmore,4126#,1,Front Load,None,Residential,4.5,2.92,1.84,90,3.2,4.7,4220,7/29/16,2/9/18,"United States, Canada",Yes
2310487,Kenmore,4130#,1,Front Load,"Steam Cycle,Sanitize Option",Residential,4.5,2.92,1.84,105,3.2,4.7,4239,7/22/16,2/8/18,"United States, Canada",No
2345935,Kenmore,4136#,1,Front Load,None,Residential,4.5,2.92,1.84,100,2.9,4.7,3833,9/4/18,9/3/19,"United States, Canada",Yes
2310483,Kenmore,4139#,1,Front Load,None,Residential,4.5,2.92,1.84,90,3.2,4.7,4239,7/28/16,2/8/18,"United States, Canada",No
2345994,Kenmore,4146#,1,Front Load,None,Residential,4.5,2.92,1.84,100,2.9,4.7,3833,9/5/19,9/5/19,"United States, Canada",Yes
2340664,Kenmore,4156#,1,Front Load,None,Residential,4.5,2.92,1.84,105,2.9,4.7,3850,6/28/19,6/28/19,"United States, Canada",Yes
2310489,Kenmore,4158#,1,Front Load,"Steam Cycle,Sanitize Option",Residential,4.5,2.92,1.84,105,3.2,4.7,4239,3/1/15,2/9/18,"United States, Canada",No
2310486,Kenmore,4168#,1,Front Load,"Steam Cycle,Sanitize Option",Residential,4.5,2.92,1.84,105,3.2,4.7,4239,7/22/16,2/8/18,"United States, Canada",No
2310167,Kenmore,417.4194*71*,12505387197,Front Load,None,Residential,2.4,2.13,1.84,90,3.8,4.7,2690,1/19/18,2/24/14,"United States, Canada",No
2306857,Kenmore,4178#,1,Front Load,"Steam Cycle,Sanitize Option",Residential,4.5,2.76,1.84,160,3.2,4.7,4201,12/21/17,11/27/17,"United States, Canada",No
2310506,Kenmore,4196#,1,Front Load,None,Residential,5.2,2.92,1.84,100,3.2,4.7,4880,6/4/16,2/9/18,"United States, Canada",No
2347078,Kenmore,4198#,1,Front Load,None,Residential,5.2,2.92,1.84,120,3.2,4.7,4899,9/24/19,9/19/19,"United States, Canada",Yes
2310466,Kenmore,592-2922*,8.87276E+11,Top Load,Other,Residential,4.3,2.09,1.29,132,4,8.4,5050,4/22/15,4/22/15,Canada,No
2310467,Kenmore,592-2933*,8.87277E+11,Top Load,Other,Residential,4.8,2.11,1.29,176,4.1,8.4,5757,4/22/15,4/22/15,Canada,No
2310468,Kenmore,592-4961*,8.87276E+11,Front Load,Other,Residential,4.2,2.8,1.84,85,3.2,4.7,3927,1/23/16,1/11/16,"United States, Canada",No
2310469,Kenmore,592-4968*,8.87276E+11,Front Load,Other,Residential,4.5,2.8,1.84,110,3,4.7,3956,1/23/16,1/11/16,"United States, Canada",No
2310470,Kenmore,592-4969*,8.87276E+11,Front Load,Other,Residential,5,2.92,1.84,105,2.9,4.7,4278,5/15/16,4/21/16,"United States, Canada",No
2311005,LG,WM1385H*,1,Front Load,None,Residential,2.3,2.07,1.84,120,4.2,4.7,2850,3/19/16,2/26/18,"United States, Canada",No
2310496,LG,WM1388H*,1,Front Load,None,Residential,2.3,2.07,1.84,120,4.2,4.7,2850,3/19/16,2/9/18,"United States, Canada",No
2321541,LG,WM1399H*A,1,Front Load,None,Residential,2.3,2.07,1.84,120,4.2,4.7,2850,6/22/18,6/22/18,"United States, Canada",No
2354285,LG,WM1455H*A,1,Front Load,None,Residential,2.4,2.07,1.84,120,4.2,4.7,2949,1/29/20,1/29/20,"United States, Canada",No
2308538,LG,WM3080C*,1,Front Load,Delayed Start,Residential,4.3,2.92,1.84,90,3.2,4.7,4050,12/1/17,12/18/17,"United States, Canada",No
2310480,LG,WM3085C*,1,Front Load,None,Residential,4.5,2.92,1.84,90,3.2,4.7,4220,12/11/16,2/8/18,"United States, Canada",No
2328318,LG,WM3090C*,1,Front Load,None,Residential,4.5,2.92,1.84,100,2.9,4.7,3841,10/31/18,10/23/18,"United States, Canada",No
