Pclass,Sex,Age,SibSp,Parch,Family_Size,Embarked,Survived
1,0,38.0,1,0,1,1,1
1,0,35.0,1,0,1,0,1
1,1,54.0,0,0,0,0,0
3,0,4.0,1,1,2,0,1
1,0,58.0,0,0,0,0,1
2,1,34.0,0,0,0,0,1
1,1,28.0,0,0,0,0,1
1,1,19.0,3,2,5,0,0
1,0,49.0,1,0,1,1,1
1,1,65.0,0,1,1,1,0
1,1,45.0,1,0,1,0,0
2,0,29.0,0,0,0,0,1
3,1,25.0,0,0,0,0,0
1,0,23.0,3,2,5,0,1
1,1,46.0,1,0,1,0,0
1,1,71.0,0,0,0,1,0
1,1,23.0,0,1,1,1,1
1,1,21.0,0,1,1,0,0
1,1,47.0,0,0,0,0,0
1,1,24.0,0,1,1,1,0
2,0,32.5,0,0,0,0,1
1,1,54.0,0,1,1,0,0
1,0,19.0,0,2,2,0,1
1,1,37.0,1,0,1,0,0
1,1,24.0,0,0,0,1,0
2,1,36.5,0,2,2,0,0
1,0,22.0,1,0,1,0,1
1,1,61.0,0,0,0,0,0
1,1,56.0,0,0,0,1,0
1,0,50.0,0,0,0,1,0
2,1,1.0,2,1,3,0,1
2,1,3.0,1,1,2,0,1
1,0,44.0,0,0,0,1,1
1,0,58.0,0,0,0,1,1
3,0,2.0,0,1,1,0,0
1,1,40.0,0,0,0,1,1
1,0,31.0,1,0,1,1,1
1,0,32.0,0,0,0,1,1
1,1,38.0,1,0,1,0,1
1,0,35.0,1,0,1,0,1
1,1,44.0,2,0,2,2,0
1,1,37.0,1,1,2,0,1
3,0,29.0,1,1,2,0,0
1,1,62.0,0,0,0,0,0
1,0,30.0,0,0,0,0,1
1,1,52.0,1,1,2,0,0
1,1,40.0,0,0,0,0,0
1,0,58.0,0,1,1,0,1
1,0,35.0,0,0,0,0,1
1,1,37.0,0,1,1,1,0
1,0,63.0,1,0,1,0,1
1,0,19.0,1,0,1,1,1
2,1,36.0,0,0,0,1,0
1,0,2.0,1,2,3,0,0
1,0,50.0,0,1,1,1,1
1,1,0.92,1,2,3,0,1
1,0,17.0,1,0,1,1,1
1,0,30.0,0,0,0,1,1
1,0,24.0,0,0,0,1,1
1,0,18.0,2,2,4,1,1
1,0,31.0,0,2,2,0,1
1,0,40.0,1,1,2,1,1
1,0,36.0,0,0,0,1,1
2,0,36.0,0,0,0,0,1
1,0,16.0,0,1,1,1,1
