"division","level of education","training level","work experience","salary","sales"
"printers","some college","2","6","91684","372302"
"printers","associate's degree","2","10","119679","495660"
"peripherals","high school","0","9","82045","320453"
"office supplies","associate's degree","2","5","92949","377148"
"office supplies","high school","1","5","71280","312802"
"computer hardware","some college","0","10","102401","366451"
"peripherals","associate's degree","0","5","77548","230899"
"office supplies","some college","0","6","81966","265915"
"printers","associate's degree","3","2","72844","308443"
"computer hardware","associate's degree","1","5","96731","326667"
"printers","associate's degree","2","3","73508","251044"
"peripherals","associate's degree","2","6","97841","382063"
"office supplies","some college","0","6","82719","245873"
"office supplies","some college","3","4","98070","410695"
"printers","some college","3","6","94604","448108"
"printers","associate's degree","2","7","105864","427161"
"printers","some college","1","7","79103","306233"
"computer software","some college","1","0","70834","156285"
"office supplies","some college","2","9","109279","463564"
"office supplies","some college","0","6","77126","265805"
"printers","some college","2","8","100478","427419"
"computer hardware","associate's degree","2","11","120849","558487"
"computer software","associate's degree","2","6","104805","336595"
"printers","bachelor's degree","1","8","101064","400527"
"office supplies","bachelor's degree","1","4","93307","283069"
"computer software","some college","2","0","79557","212808"
"printers","some college","2","8","103623","422598"
"printers","associate's degree","2","8","103102","438227"
"peripherals","high school","2","7","90624","420492"
"peripherals","high school","0","7","86992","310245"
"computer software","bachelor's degree","1","6","107167","313303"
"peripherals","associate's degree","1","9","109170","427319"
"printers","some college","2","4","77464","354637"
"printers","some college","2","2","75556","297414"
"peripherals","some college","0","5","71739","210932"
"peripherals","associate's degree","0","5","71754","217540"
"computer hardware","associate's degree","0","6","82212","244004"
"office supplies","bachelor's degree","3","1","72889","257228"
"computer software","bachelor's degree","0","7","103149","280413"
"computer hardware","high school","0","6","83792","288378"
"computer software","associate's degree","0","5","98668","233192"
"printers","associate's degree","1","6","87697","340058"
"office supplies","associate's degree","1","3","72061","229358"
"office supplies","associate's degree","2","5","89007","348234"
"peripherals","bachelor's degree","1","10","106439","384153"
"computer hardware","associate's degree","2","8","116489","434805"
"computer hardware","bachelor's degree","1","7","102285","374537"
"computer software","associate's degree","3","5","117441","405411"
"computer hardware","some college","0","4","70683","224062"
"printers","some college","0","5","73325","247375"
"computer hardware","some college","1","10","102889","438892"
"peripherals","some college","0","13","128685","539715"
"printers","associate's degree","0","12","122039","475393"
"computer hardware","associate's degree","1","7","94155","324122"
"printers","some college","0","10","91294","372939"
"office supplies","bachelor's degree","2","4","94787","375361"
"office supplies","associate's degree","1","10","113059","439107"
"office supplies","high school","1","14","128460","615221"
"peripherals","some college","0","3","71579","213637"
"printers","high school","2","6","77722","357221"
"printers","high school","0","2","52324","108399"
"office supplies","some college","1","7","86125","310374"
"printers","some college","0","5","76575","269069"
"peripherals","some college","1","0","46061","100614"
"office supplies","some college","2","5","89958","358703"
"printers","some college","2","9","101181","447716"
"computer software","associate's degree","1","9","121184","380183"
"printers","associate's degree","1","2","57580","155803"
"peripherals","associate's degree","1","12","122903","527725"
"office supplies","some college","2","4","87644","346038"
"peripherals","associate's degree","2","6","93659","379232"
"computer hardware","some college","1","4","81859","224450"
"peripherals","associate's degree","2","7","97604","353865"
"computer hardware","some college","2","6","99223","415361"
"peripherals","some college","1","8","100790","399584"
"peripherals","some college","2","5","82876","322910"
"printers","some college","2","7","91973","414291"
"office supplies","associate's degree","2","3","75155","311547"
"peripherals","some college","0","7","79042","280260"
"peripherals","associate's degree","1","10","103816","417424"
"computer software","associate's degree","1","7","112198","388412"
"computer software","associate's degree","3","3","104068","418629"
"office supplies","some college","1","5","77010","327159"
"peripherals","high school","2","10","107821","463162"
"office supplies","high school","2","9","92038","440384"
"peripherals","high school","1","6","93920","367763"
"printers","associate's degree","3","4","91768","362685"
"peripherals","bachelor's degree","2","8","106885","425075"
"peripherals","some college","1","7","90970","328831"
"printers","some college","2","1","70523","288070"
"peripherals","associate's degree","2","10","114278","491378"
"computer hardware","high school","0","2","60365","63646"
"printers","some college","0","3","67849","233465"
"printers","some college","1","5","82344","299052"
"computer hardware","bachelor's degree","0","5","90567","213723"
"computer software","associate's degree","0","2","79247","120437"
"printers","high school","1","6","73426","314258"
"peripherals","bachelor's degree","0","8","92602","278869"
"computer hardware","some college","2","4","86105","295034"
"printers","some college","1","16","138975","595815"
"peripherals","associate's degree","0","7","103966","349657"
"peripherals","associate's degree","1","10","101638","416375"
"office supplies","bachelor's degree","1","1","64852","159754"
"computer software","associate's degree","3","15","159148","761477"
"peripherals","associate's degree","2","5","86696","295931"
"peripherals","high school","1","2","63239","182662"
"printers","associate's degree","1","7","96834","331662"
"printers","some college","0","4","63499","211746"
"peripherals","some college","1","2","65061","219573"
"printers","associate's degree","0","5","63279","152785"
"printers","associate's degree","1","3","70906","256821"
"computer hardware","some college","2","5","83333","343329"
"peripherals","some college","0","5","68670","226701"
"printers","associate's degree","2","11","109349","493485"
"office supplies","associate's degree","2","8","101331","458644"
"computer hardware","some college","2","1","65696","243633"
"peripherals","associate's degree","2","4","94434","337658"
"office supplies","some college","1","7","84005","351693"
"printers","associate's degree","1","0","62167","142214"
"peripherals","associate's degree","1","2","65379","167291"
"office supplies","high school","0","8","83971","303019"
"peripherals","associate's degree","1","7","85647","316473"
"peripherals","some college","1","9","103821","407630"
"office supplies","some college","1","7","85461","364719"
"office supplies","associate's degree","0","5","84953","246971"
"computer software","associate's degree","3","8","123727","547272"
"peripherals","high school","3","5","91935","468170"
"printers","associate's degree","1","10","106116","431062"
"computer software","associate's degree","1","10","115164","421642"
"office supplies","some college","2","6","98137","448327"
"peripherals","associate's degree","3","11","118490","564904"
"peripherals","bachelor's degree","1","8","102068","354060"
"office supplies","some college","0","5","70726","228913"
"peripherals","some college","2","6","89014","358205"
"computer hardware","high school","0","9","96110","357346"
"office supplies","some college","1","5","70315","249303"
"peripherals","associate's degree","1","2","61659","176588"
"office supplies","some college","1","5","79578","260734"
"office supplies","some college","2","8","89078","390604"
"printers","some college","0","8","79098","266030"
"computer hardware","some college","1","2","63058","173092"
"office supplies","some college","3","8","99431","452481"
"peripherals","some college","2","4","85212","319099"
"computer software","some college","2","6","101007","400071"
"office supplies","high school","2","7","95102","425964"
"office supplies","high school","3","6","86346","388663"
"computer hardware","some college","0","10","106096","397578"
"computer hardware","associate's degree","3","7","113863","454584"
"computer hardware","associate's degree","1","8","99925","392213"
"office supplies","some college","2","6","94329","449624"
"computer hardware","some college","1","2","65117","198779"
"printers","some college","2","3","66866","221790"
"peripherals","associate's degree","2","7","102433","405146"
"printers","associate's degree","1","6","86607","352945"
"office supplies","associate's degree","1","3","75123","230053"
"printers","some college","1","4","71530","232534"
"peripherals","associate's degree","1","9","109419","426714"
"computer hardware","bachelor's degree","0","4","75475","191531"
"office supplies","high school","2","3","75338","294422"
"computer hardware","some college","3","9","114303","573030"
"office supplies","some college","1","5","80784","291935"
"computer software","some college","2","5","92662","336624"
"office supplies","bachelor's degree","1","11","117597","445316"
"office supplies","some college","1","0","54239","202394"
"printers","some college","3","0","61295","272952"
"peripherals","associate's degree","3","7","99316","453160"
"printers","some college","1","7","87009","286705"
"printers","high school","2","8","100606","448856"
"printers","some college","3","8","109056","499856"
"computer software","associate's degree","0","6","97942","250087"
"printers","associate's degree","2","6","91443","367517"
"printers","associate's degree","0","4","81077","258484"
"peripherals","some college","2","11","119585","559407"
"peripherals","some college","2","4","89280","366926"
"computer software","associate's degree","2","12","134965","579652"
"computer hardware","associate's degree","1","8","101833","419123"
"printers","some college","0","7","79682","245813"
"printers","associate's degree","0","9","92565","338027"
"printers","associate's degree","2","8","103221","426316"
"peripherals","bachelor's degree","0","9","99989","270000"
"computer hardware","associate's degree","0","10","115137","408114"
"computer hardware","associate's degree","0","7","90923","339227"
"printers","associate's degree","1","7","88798","367981"
"office supplies","bachelor's degree","1","4","75311","253107"
"printers","bachelor's degree","1","4","73249","190005"
"peripherals","associate's degree","1","12","110778","467777"
"peripherals","high school","1","8","98175","415982"
"peripherals","some college","2","6","86225","355956"
"peripherals","some college","1","6","98213","358757"
"computer software","some college","0","3","80935","109351"
"peripherals","associate's degree","2","5","91174","394637"
"computer hardware","associate's degree","0","10","105228","380142"
"printers","some college","2","6","92343","394846"
"peripherals","some college","1","8","96794","414797"
"printers","associate's degree","0","5","77365","240170"
"computer software","bachelor's degree","1","4","93360","283603"
"printers","bachelor's degree","0","5","81640","263083"
"computer software","associate's degree","1","4","100890","294739"
"office supplies","some college","2","3","65288","252876"
"printers","some college","0","6","71737","257374"
"peripherals","associate's degree","0","4","83809","246233"
"office supplies","associate's degree","0","4","75904","243743"
"printers","associate's degree","2","10","122390","537245"
"office supplies","associate's degree","2","12","125590","605975"
"printers","associate's degree","2","10","111706","490699"
"printers","some college","1","6","76568","277676"
"printers","high school","0","1","58202","112018"
"office supplies","some college","2","4","81063","336413"
"peripherals","some college","1","7","90991","358502"
"computer hardware","associate's degree","0","6","85754","275794"
"peripherals","associate's degree","0","6","81673","269284"
"office supplies","high school","0","2","52110","119346"
"peripherals","bachelor's degree","2","7","113546","463478"
"office supplies","associate's degree","3","5","98693","480147"
"computer hardware","some college","1","6","93347","311678"
"printers","some college","2","7","96086","439990"
"peripherals","bachelor's degree","3","2","86575","365240"
"computer software","associate's degree","0","5","87782","247821"
"office supplies","master's degree","1","5","92029","314419"
"printers","associate's degree","1","1","73662","186620"
"office supplies","bachelor's degree","1","2","68058","164989"
"office supplies","bachelor's degree","3","9","112093","520934"
"printers","some college","2","9","117292","505225"
"computer hardware","some college","3","6","90306","377104"
"printers","some college","0","7","75508","271425"
"peripherals","some college","3","6","97712","395169"
"office supplies","some college","2","4","80981","314799"
"printers","associate's degree","1","6","85410","281207"
"printers","high school","1","4","69126","210938"
"printers","high school","2","6","80726","309857"
"peripherals","associate's degree","1","6","86539","259653"
"printers","associate's degree","2","12","115364","505324"
"peripherals","some college","2","2","66655","246951"
"computer software","associate's degree","1","4","91013","300134"
"office supplies","associate's degree","1","4","88134","286398"
"printers","some college","0","5","71034","186940"
"office supplies","some college","2","9","108006","522042"
"computer software","associate's degree","1","5","100667","335967"
"computer hardware","associate's degree","2","12","136232","562813"
"computer software","associate's degree","1","6","99592","303104"
"peripherals","some college","0","11","103798","395075"
"computer hardware","associate's degree","3","6","104327","433218"
"computer hardware","some college","1","8","92994","357145"
"peripherals","high school","1","8","84829","368285"
"peripherals","high school","1","4","69664","282671"
"peripherals","associate's degree","0","4","67555","181517"
"peripherals","bachelor's degree","2","10","108549","445491"
"computer hardware","associate's degree","0","7","95075","366251"
"peripherals","some college","2","1","71847","254252"
"computer software","associate's degree","1","3","85750","259405"
"office supplies","some college","0","6","73280","254279"
"computer hardware","associate's degree","0","6","80719","257189"
"computer hardware","associate's degree","1","3","71981","150000"
"peripherals","associate's degree","1","7","86246","315357"
"computer software","associate's degree","1","11","128594","498153"
"computer software","some college","2","6","105148","406963"
"peripherals","associate's degree","1","6","82803","297174"
"printers","associate's degree","0","5","74269","262687"
"office supplies","associate's degree","0","4","67574","177919"
"peripherals","bachelor's degree","3","10","121425","547429"
"office supplies","high school","0","0","41660","85373"
"peripherals","some college","2","4","82438","329638"
"office supplies","some college","1","3","62139","221389"
"computer hardware","high school","3","5","93144","425338"
"peripherals","associate's degree","2","11","122599","561462"
"peripherals","associate's degree","2","10","109385","453909"
"office supplies","associate's degree","0","7","80737","287365"
"computer hardware","high school","1","11","105619","446683"
"office supplies","bachelor's degree","2","5","90976","314996"
"computer hardware","some college","2","7","99177","414662"
"printers","high school","1","2","58603","237511"
"printers","some college","0","5","67659","223730"
"office supplies","some college","3","10","108936","549362"
"printers","associate's degree","0","3","65862","162968"
"peripherals","bachelor's degree","3","7","112765","447901"
"printers","some college","1","8","89841","367530"
"printers","associate's degree","3","4","91966","352736"
"office supplies","associate's degree","0","6","83497","293838"
"office supplies","some college","1","5","69260","235948"
"printers","some college","1","9","98397","385423"
"office supplies","associate's degree","1","8","87938","327497"
"computer software","associate's degree","1","8","110900","340283"
"peripherals","some college","1","10","108730","418585"
"printers","associate's degree","1","5","80657","299583"
"peripherals","associate's degree","2","4","86893","388930"
"peripherals","some college","2","10","109690","490694"
"printers","associate's degree","3","4","91366","341882"
"office supplies","associate's degree","1","4","80362","213923"
"office supplies","bachelor's degree","1","9","112719","421938"
"office supplies","associate's degree","1","4","76358","278259"
"computer software","some college","2","8","113268","461828"
"computer software","associate's degree","0","5","92681","220348"
"printers","some college","1","9","98385","427167"
"printers","associate's degree","2","6","90195","388290"
"peripherals","some college","2","6","84991","369914"
"printers","some college","2","5","88356","338025"
"peripherals","associate's degree","1","4","89134","261337"
"computer hardware","associate's degree","0","7","92500","247340"
"printers","some college","2","9","99467","446700"
"printers","some college","1","9","93388","413879"
"computer hardware","some college","2","7","100757","397455"
"printers","associate's degree","2","3","76543","284888"
"office supplies","associate's degree","2","8","108397","461618"
"computer hardware","associate's degree","2","15","146058","645654"
"computer software","some college","2","3","88996","309255"
"printers","some college","1","3","71718","241703"
"peripherals","associate's degree","2","3","72218","240209"
"printers","associate's degree","1","3","73385","268206"
"office supplies","some college","2","8","99125","427947"
"peripherals","some college","0","4","76179","233240"
"computer software","bachelor's degree","2","4","100725","308371"
"office supplies","associate's degree","0","7","96135","291349"
"office supplies","associate's degree","2","9","112491","490047"
"peripherals","associate's degree","0","10","103545","331295"
"computer hardware","some college","0","3","62242","152023"
"computer hardware","some college","1","2","71474","232808"
"computer software","some college","2","11","133210","538067"
"office supplies","high school","2","9","104646","489673"
"peripherals","some college","0","6","77303","249313"
"office supplies","some college","0","4","70699","226855"
"computer hardware","high school","2","9","115123","475099"
"computer hardware","some college","0","6","75887","248869"
"computer hardware","associate's degree","0","1","58310","128329"
"printers","some college","0","5","72953","234089"
"printers","associate's degree","0","8","91530","335765"
"computer hardware","associate's degree","0","8","86061","270611"
"office supplies","some college","1","4","77702","255115"
"computer software","some college","1","7","109057","383472"
"office supplies","some college","1","4","66742","244566"
"peripherals","associate's degree","3","3","83353","276528"
"office supplies","associate's degree","0","13","109012","450120"
"computer hardware","associate's degree","0","4","75888","212423"
"peripherals","high school","1","7","83807","339765"
"office supplies","some college","1","4","65437","234374"
"printers","associate's degree","2","7","106229","429987"
"printers","high school","3","7","104058","476123"
"peripherals","bachelor's degree","2","5","97621","343788"
"computer software","high school","1","11","118803","483101"
"office supplies","associate's degree","1","9","98589","425889"
"printers","associate's degree","0","3","69737","184496"
"printers","some college","0","4","65343","205662"
"office supplies","high school","2","6","88189","396197"
"peripherals","some college","1","2","68077","266012"
"peripherals","some college","1","5","88077","343438"
"printers","associate's degree","0","8","88639","346391"
"peripherals","some college","2","5","85448","344820"
"computer hardware","some college","2","3","72260","266030"
"computer software","associate's degree","0","2","81774","151095"
"peripherals","associate's degree","2","5","82786","327862"
"office supplies","associate's degree","2","6","81797","309886"
"office supplies","some college","1","9","95601","431195"
"peripherals","associate's degree","1","8","93810","365485"
"computer software","associate's degree","0","5","91216","234470"
"printers","associate's degree","1","10","102090","429372"
"peripherals","associate's degree","1","4","83497","292677"
"office supplies","some college","0","5","80500","251479"
"office supplies","some college","1","7","84721","326801"
"printers","associate's degree","2","0","54836","147143"
