FILM,RottenTomatoes,RottenTomatoes_User,Metacritic,Metacritic_User,IMDB,Metacritic_user_vote_count,IMDB_user_vote_count
Avengers: Age of Ultron (2015),74,86,66,7.1,7.8,1330,271107
Cinderella (2015),85,80,67,7.5,7.1,249,65709
Ant-Man (2015),80,90,64,8.1,7.8,627,103660
Do You Believe? (2015),18,84,22,4.7,5.4,31,3136
Hot Tub Time Machine 2 (2015),14,28,29,3.4,5.1,88,19560
The Water Diviner (2015),63,62,50,6.8,7.2,34,39373
Irrational Man (2015),42,53,53,7.6,6.9,17,2680
Top Five (2014),86,64,81,6.8,6.5,124,16876
Shaun the Sheep Movie (2015),99,82,81,8.8,7.4,62,12227
Love & Mercy (2015),89,87,80,8.5,7.8,54,5367
Far From The Madding Crowd (2015),84,77,71,7.5,7.2,35,12129
Black Sea (2015),82,60,62,6.6,6.4,37,16547
Leviathan (2014),99,79,92,7.2,7.7,145,22521
Unbroken (2014),51,70,59,6.5,7.2,218,77518
The Imitation Game (2014),90,92,73,8.2,8.1,566,334164
Taken 3 (2015),9,46,26,4.6,6.1,240,104235
Ted 2 (2015),46,58,48,6.5,6.6,197,49102
Southpaw (2015),59,80,57,8.2,7.8,128,23561
Night at the Museum: Secret of the Tomb (2014),50,58,47,5.8,6.3,103,50291
Pixels (2015),17,54,27,5.3,5.6,246,19521
"McFarland, USA (2015)",79,89,60,7.2,7.5,59,13769
Insidious: Chapter 3 (2015),59,56,52,6.9,6.3,115,25134
The Man From U.N.C.L.E. (2015),68,80,55,7.9,7.6,144,22104
Run All Night (2015),60,59,59,7.3,6.6,141,50438
Trainwreck (2015),85,74,75,6.0,6.7,169,27380
Selma (2014),99,86,89,7.1,7.5,316,45344
Ex Machina (2015),92,86,78,7.9,7.7,672,154499
Still Alice (2015),88,85,72,7.8,7.5,153,57123
Wild Tales (2014),96,92,77,8.8,8.2,107,50285
The End of the Tour (2015),92,89,84,7.5,7.9,19,1320
Red Army (2015),96,86,82,7.4,7.7,11,2275
When Marnie Was There (2015),89,89,71,6.4,7.8,29,4160
The Hunting Ground (2015),92,72,77,7.8,7.5,6,1196
The Boy Next Door (2015),10,35,30,5.5,4.6,75,19658
Aloha (2015),19,31,40,4.0,5.5,67,12255
The Loft (2015),11,40,24,2.4,6.3,80,21319
5 Flights Up (2015),52,47,55,6.8,6.1,6,2174
Welcome to Me (2015),71,47,67,6.9,5.9,33,8301
Saint Laurent (2015),51,45,52,6.8,6.3,8,2196
Maps to the Stars (2015),60,46,67,5.8,6.3,46,22440
I'll See You In My Dreams (2015),94,70,75,6.9,6.9,14,1151
Timbuktu (2015),99,78,91,6.9,7.2,37,6246
About Elly (2015),97,86,87,9.6,8.2,23,20659
The Diary of a Teenage Girl (2015),95,81,87,6.3,7.0,18,1107
Kingsman: The Secret Service (2015),75,84,58,7.9,7.8,1054,272204
Tomorrowland (2015),50,53,60,6.4,6.6,262,42937
The Divergent Series: Insurgent (2015),30,61,42,5.4,6.4,206,89618
Annie (2014),27,61,33,4.8,5.2,108,19222
Fantastic Four (2015),9,20,27,2.5,4.0,421,39838
Terminator Genisys (2015),26,60,38,6.4,6.9,779,85585
Pitch Perfect 2 (2015),67,68,63,5.7,6.7,192,56333
Entourage (2015),32,68,38,5.2,7.1,96,21914
The Age of Adaline (2015),54,68,51,7.4,7.3,100,45510
Hot Pursuit (2015),8,37,31,3.7,4.9,78,17061
The DUFF (2015),71,68,56,6.4,6.6,69,33594
Black or White (2015),39,68,45,7.9,6.6,24,4857
Project Almanac (2015),34,46,47,5.4,6.4,95,40057
Ricki and the Flash (2015),64,53,54,7.0,6.2,37,1769
