Med_1_mL,Med_2_mL,Virus Present
6.508231092778478,8.582530517168834,0
4.126116159459635,3.0734585320324737,1
6.427870479400083,6.369758103535007,0
3.6729533598321504,4.905215249940063,1
1.5803206800377936,2.440562302195768,1
2.15822377398559,2.7454512398737183,1
8.172223496843538,7.328994873431797,0
8.719652335230442,6.228618301234675,0
6.779079372963939,6.630667118733948,0
3.0436331904746012,4.642649940107834,1
1.7138759191312358,3.5188560013538677,1
2.020123874999962,3.403189454825145,1
4.055748603658648,3.1242432294061078,1
3.6301579288759176,3.7489663385034526,1
3.0536347897071137,4.872665822711166,1
8.392228630872772,8.110502310745462,0
6.176983774867312,7.949241165922479,0
7.2862327617956435,7.243546847397496,0
7.481510167476451,6.670184345077146,0
3.2548003278856052,4.460048182663909,1
6.90258268522116,7.163204418823208,0
2.983372599819152,1.6151576047528442,1
9.115192013121943,8.292525627689294,0
7.127494883620793,8.96831322450604,0
6.732630759683859,6.184436027332636,0
6.689037443823568,8.488913695906717,0
4.000631443130308,5.654729753767842,1
3.432773493134782,3.4533602780379633,1
2.7887116548549162,3.2372125837438173,1
7.722509234491721,8.074631776556831,0
8.64386008570802,6.853198738505657,0
9.400508764399225,7.355100431850024,0
6.244747702096645,5.6679709120716035,0
8.354708001373984,6.150184913028031,0
3.3079601416215656,2.5571208441507656,1
7.232600430304102,8.283341946755796,0
1.8470331955923625,2.965048543672007,1
3.522555486873483,4.72014628487191,1
3.9827956749626976,3.519736585870819,1
2.967436342117895,3.488706773852723,1
7.538022770067981,8.295392565518718,0
6.328800070411427,8.636984118244467,0
4.103670237765314,4.347593012478432,1
8.067464101176569,7.07295349763211,0
7.876298457718275,7.86303830711699,0
2.324617494478,3.96503350967485,1
3.1891267529002416,4.2194937980621114,1
3.3787881132946413,3.5606944184354425,1
3.3086406573588123,6.526953677786339,1
2.631154193446773,2.309956319190947,1
7.753084032917485,8.423054065513158,0
3.662062255332807,2.3689872508158585,1
6.717896128579718,8.859534933029044,0
8.275738877185816,7.911495658176212,0
7.458702111597454,7.059438598189596,0
8.990791924597435,6.572886144996511,0
7.7574725018883814,7.807330496810289,0
8.693676513243329,7.206918431056979,0
2.9307592243968195,4.706162037358649,1
3.452426694759482,2.9167706177051818,1
8.161661483771642,7.945133222396931,0
4.562027286154962,4.67230995898843,1
8.58242348534325,8.484545000737835,0
7.963627556393777,8.39914147541621,0
8.772395968394623,7.8763351573687235,0
3.847804373017368,3.9211663424969387,1
2.4523402332601067,1.0,1
2.0219416123939578,2.9140063959908487,1
4.157066278688363,2.669520375414435,1
5.689168013113789,3.932679622712431,1
2.8793878999183677,3.4080757170991713,1
4.717394107609333,2.156222510109431,1
8.167096582839127,7.349579161397689,0
1.5871213227304848,4.222447209164289,1
7.585018714412739,8.285748397937608,0
7.766983979076583,7.037060876483921,0
2.64398286574074,4.2777786458653555,1
3.236345462430232,2.501140347084174,1
2.7492221996464403,3.324647063365765,1
4.185006298922447,2.7713716290969126,1
6.1455665669289035,8.91391874293388,0
3.4523647435490092,3.1176117020073555,1
7.692198646736068,8.887021311291173,0
3.5220238253883536,3.662985694013792,1
9.46023618528328,7.05277046618754,0
3.471713174820212,4.713676612365871,1
8.81983302840848,7.690047909554371,0
7.908768126680509,7.8185084271830965,0
8.09312271928851,8.605134331805981,0
9.352909032054352,6.638729776288857,0
3.4835977628241057,3.578085571405533,1
2.81720013270208,4.121683098172404,1
2.6988970970887323,4.3139525817791124,1
4.447970878505469,3.311520454831761,1
2.911327371479331,4.615037112476864,1
4.014603733719577,3.989728482026879,1
6.4168115095254015,7.423943618908226,0
4.0811054899867685,3.0822016866657824,1
7.446882634845244,7.01302725742685,0
3.3369155042954706,3.0367535291762873,1
2.037537338758457,2.5765126235987657,1
8.285457258397516,6.9590677810144035,0
2.733462006562408,4.311096902027689,1
4.779698111458261,3.3702883069343192,1
6.429976262549796,9.039668859437434,0
4.402937030727769,4.173850930838018,1
7.27946733654866,8.608441042696365,0
8.194851015737576,7.656946143020892,0
1.8687179708591115,3.3009766607198996,1
3.864638929756821,4.204619638545892,1
1.0,3.014448875394059,1
2.9556737457562567,2.7973932845365503,1
3.8933788861972016,1.765478361918987,1
4.094448397762287,5.772581439310116,1
