ID,order_date,delivery_date
1,5/24/98,2/5/99
2,4/22/92,3/6/98
4,2/10/91,8/26/92
5,7/21/92,11/20/97
7,9/2/93,6/10/98
8,6/10/93,11/11/93
9,1/25/90,10/2/94
10,2/23/92,12/30/98
11,7/12/96,7/14/97
18,6/18/95,10/13/97
19,5/10/98,5/19/98
20,10/17/92,10/6/98
23,5/30/92,8/15/99
26,4/11/96,5/4/98
30,10/22/98,1/11/99
32,1/20/90,7/24/98
33,9/21/94,10/12/96
35,9/10/93,4/28/96
36,5/15/90,2/14/94
39,3/26/90,1/25/93
41,2/6/92,5/10/96
46,9/5/95,7/19/96
50,5/3/91,7/17/99
52,9/2/94,5/14/97
53,11/29/95,6/23/98
54,8/7/96,4/4/98
58,2/11/95,4/16/95
59,9/29/95,12/16/95
60,2/14/93,8/6/95
63,12/22/90,9/2/95
64,11/25/90,5/14/98
66,9/8/92,12/29/98
67,5/4/90,2/4/93
68,2/14/90,6/26/90
70,2/16/94,11/6/99
71,11/25/90,4/6/98
73,10/1/91,5/19/93
75,6/25/90,12/18/96
76,5/26/97,6/5/98
78,2/25/92,2/17/99
79,6/11/92,12/4/92
80,3/15/95,8/17/97
84,1/24/90,6/6/96
85,3/5/91,5/14/92
88,8/29/97,9/19/97
90,10/9/92,12/23/97
91,1/17/93,9/27/99
93,12/24/91,6/15/99
94,4/1/93,5/7/98
98,8/23/91,8/30/97
102,8/20/90,1/12/92
105,1/11/91,12/3/94
107,10/23/91,5/3/93
110,7/20/92,7/22/94
114,4/2/90,1/20/91
115,10/22/90,2/3/95
117,8/18/93,8/20/98
118,9/6/91,9/21/93
120,5/3/91,3/9/94
122,11/22/95,7/31/96
123,11/30/90,9/7/94
129,4/9/90,5/24/91
130,4/2/90,8/16/99
132,9/27/92,10/18/99
133,12/14/90,10/21/92
136,1/28/92,7/23/98
137,4/2/97,8/28/97
139,9/9/92,11/10/94
141,9/3/91,3/8/99
144,3/11/94,11/7/97
145,7/16/92,8/4/96
151,1/29/91,8/5/99
152,12/9/90,9/2/98
153,3/11/96,1/13/98
157,7/12/97,5/12/99
159,12/23/95,12/19/96
160,7/6/91,1/10/97
161,10/30/91,7/5/92
162,9/10/91,10/4/93
163,5/21/90,4/1/91
164,4/18/97,8/9/98
165,3/23/90,6/7/98
166,7/12/90,5/1/98
167,11/30/93,11/19/94
169,3/24/91,10/7/94
171,2/23/91,4/27/96
173,11/29/91,11/3/95
174,10/4/90,4/6/93
182,3/3/94,6/3/94
189,2/27/91,7/3/92
196,12/9/91,8/10/98
207,5/19/94,11/29/95
211,7/5/91,4/25/93
215,5/24/91,4/9/97
216,3/9/90,12/1/97
218,8/26/93,2/24/97
220,4/19/90,2/12/91
221,12/24/91,4/28/97
222,1/21/93,4/20/99
226,7/18/92,6/9/93
228,5/6/90,7/23/91
229,4/13/90,11/17/98
230,11/11/92,11/10/98
231,7/18/93,9/17/98
234,5/15/92,9/5/99
236,2/23/95,4/12/96
237,9/6/93,11/21/96
238,3/6/92,1/29/96
239,4/13/92,9/3/93
241,11/29/90,5/11/98
245,2/8/91,5/7/96
248,5/23/98,6/17/99
249,6/10/95,4/23/97
250,5/27/90,8/28/95
251,4/9/91,3/7/93
252,1/28/91,1/8/92
254,12/29/90,11/19/96
256,8/2/91,1/8/95
260,4/27/93,5/30/94
261,5/6/95,8/11/98
264,7/2/93,3/31/98
265,11/26/94,9/21/99
266,3/31/95,5/22/96
276,2/10/94,2/12/96
277,7/18/94,10/6/94
279,10/8/91,6/8/97
280,5/27/95,9/12/96
282,4/30/90,3/24/98
283,8/1/91,9/26/96
284,10/10/93,1/4/94
285,6/7/91,3/29/93
287,1/27/90,6/9/95
289,2/26/90,12/24/96
290,4/4/90,12/15/93
292,9/15/92,9/1/97
294,12/30/91,11/8/95
295,6/12/94,9/23/99
298,7/29/93,1/17/94
299,8/17/92,12/28/92
303,6/6/95,8/15/95
304,1/17/90,2/16/96
307,2/19/91,4/10/95
309,9/3/90,2/9/94
310,9/20/97,10/6/97
311,1/6/90,2/6/90
314,3/7/90,12/25/99
319,11/30/90,9/4/91
321,6/17/97,8/27/99
323,12/22/92,2/1/96
324,7/25/91,4/22/98
326,5/12/98,5/29/99
329,8/13/92,3/18/94
331,9/18/90,12/19/99
332,3/24/91,7/31/94
334,10/8/92,4/17/98
335,12/9/92,7/28/94
336,4/16/95,4/2/98
337,8/16/90,2/10/91
338,8/14/97,10/3/99
340,9/26/90,1/7/96
341,8/19/96,2/13/97
344,12/24/96,2/14/97
346,4/27/98,6/3/99
347,6/18/91,10/19/91
348,2/27/90,1/4/99
349,10/31/91,7/5/99
350,10/29/95,9/13/96
351,4/12/95,5/27/98
353,12/5/92,5/5/94
354,5/28/91,11/15/95
359,12/24/90,7/4/94
363,7/17/91,6/22/93
364,12/5/90,5/10/94
365,6/29/94,12/2/97
369,10/26/92,12/9/96
370,6/11/91,6/24/99
373,2/6/95,9/16/96
377,11/4/94,4/8/96
378,12/20/90,5/7/92
379,4/3/91,10/12/91
380,10/9/91,2/22/92
382,8/6/92,12/4/95
383,5/10/99,11/28/99
386,3/21/90,8/18/90
387,4/23/93,5/10/96
390,7/18/90,6/28/96
391,8/19/90,4/19/91
392,12/24/90,12/4/99
393,5/6/93,11/15/93
397,1/24/98,8/13/99
398,9/11/93,6/28/95
399,5/30/94,7/22/96
402,1/4/96,8/22/98
404,6/6/94,12/9/96
405,10/1/92,3/4/95
407,7/12/91,12/9/95
411,5/25/93,8/15/96
413,7/18/90,3/23/94
416,2/20/92,4/22/94
418,4/2/90,12/1/94
422,6/5/93,10/4/97
423,9/26/95,10/17/96
424,7/16/94,2/24/99
431,5/8/91,2/24/98
432,10/10/91,7/28/95
433,1/8/93,5/28/99
434,7/12/95,9/11/98
437,4/30/94,2/18/97
438,11/24/96,8/22/99
441,1/14/98,6/13/98
442,12/3/90,8/5/91
445,2/11/93,2/24/94
447,3/31/92,12/14/99
449,2/27/99,11/13/99
450,2/2/96,12/6/99
451,5/8/94,11/7/97
453,7/22/90,12/22/97
454,1/12/90,8/20/95
455,12/12/93,8/16/94
457,6/17/91,6/18/92
458,6/11/96,6/13/99
459,2/24/97,4/27/97
464,12/16/94,6/11/95
465,6/24/93,10/21/99
466,9/22/90,2/17/98
467,6/17/92,8/29/94
468,5/4/97,2/24/98
469,10/17/92,6/5/96
470,1/6/95,8/4/96
473,12/12/94,3/30/98
476,1/14/94,4/16/96
478,12/22/94,4/30/98
479,3/29/90,5/18/97
481,2/16/94,11/30/96
483,5/31/91,5/8/93
484,8/30/93,9/22/93
486,3/26/91,12/29/93
490,4/2/91,10/25/97
491,11/3/92,9/12/99
492,11/6/92,3/15/95
493,12/21/96,2/27/99
495,2/16/93,3/26/97
496,9/13/91,2/17/95
498,6/4/96,8/28/97
500,11/12/96,1/9/98
502,9/11/93,3/29/98
503,3/19/95,11/7/95
505,5/10/97,8/9/97
506,2/21/92,9/2/94
511,8/9/97,1/3/99
513,8/24/90,4/4/92
515,3/24/94,3/18/95
519,10/19/91,12/12/94
520,11/8/93,7/30/97
521,5/6/90,8/18/97
522,5/7/90,4/8/91
527,1/26/93,1/13/99
528,2/15/90,6/19/90
529,11/8/93,12/19/96
532,4/14/96,2/28/98
533,12/19/95,4/6/97
535,1/29/94,8/6/97
536,7/2/91,3/22/94
538,7/6/93,12/9/93
539,4/26/92,12/27/94
541,12/11/98,4/15/99
543,11/23/93,9/15/99
544,11/29/90,11/21/97
548,11/3/90,8/11/98
551,10/31/93,3/4/94
555,1/4/98,9/12/99
557,11/3/95,1/14/98
558,6/17/93,1/26/95
561,6/18/92,8/9/95
562,12/1/92,2/19/98
565,5/26/92,7/15/93
569,5/26/92,4/3/95
571,9/18/94,7/4/96
574,3/26/91,10/7/96
576,11/23/91,8/3/99
578,6/11/95,9/11/99
581,8/6/91,5/22/96
583,12/6/90,10/18/95
585,5/22/90,10/30/91
586,12/11/91,10/5/99
588,6/24/92,12/8/92
590,3/25/90,12/20/98
595,10/4/95,11/2/99
596,12/28/94,3/22/96
598,6/1/91,4/29/93
600,5/11/94,10/16/96
601,6/20/94,8/9/96
604,3/29/94,7/30/97
606,10/14/92,9/12/96
612,8/11/94,8/20/94
613,4/28/92,10/1/96
614,3/7/91,7/3/96
615,11/10/93,1/10/94
616,12/15/94,3/15/95
617,1/7/93,2/16/99
618,1/30/92,7/10/92
619,7/22/92,11/28/92
620,8/28/90,3/29/95
623,7/26/91,12/18/95
626,3/12/91,8/26/97
630,3/30/97,12/23/99
632,5/18/90,4/21/96
