First Name,Gender,City,Frequency,Item,Spend
Wanda,Female,Stamford,Weekly,Burger,15.66
Eric,Male,Stamford,Daily,Chalupa,10.56
Charles,Male,New York,Never,Sushi,42.14
Anna,Female,Philadelphia,Once,Ice Cream,11.01
Deborah,Female,Philadelphia,Daily,Chalupa,23.49
Charles,Male,Stamford,Monthly,Sushi,93.03
Mark,Male,Philadelphia,Monthly,Ice Cream,30.01
Paul,Male,Philadelphia,Monthly,Chalupa,17.65
Larry,Male,New York,Monthly,Burger,34.11
Roger,Male,Stamford,Monthly,Chalupa,39.01
Samuel,Male,Stamford,Daily,Ice Cream,15.17
Rachel,Female,Philadelphia,Seldom,Sushi,71.68
Mary,Female,Philadelphia,Once,Burger,1.97
Lori,Female,New York,Daily,Burrito,34.92
Henry,Male,Stamford,Often,Donut,83.61
Paul,Male,Philadelphia,Often,Ice Cream,97.67
Karen,Female,Stamford,Yearly,Burger,39.41
Frances,Female,New York,Weekly,Chalupa,3.54
Bruce,Male,Stamford,Often,Ice Cream,99.17
Bonnie,Female,Philadelphia,Never,Donut,72.63
Anne,Female,Stamford,Never,Chalupa,48.49
Rose,Female,New York,Weekly,Sushi,40.76
Earl,Male,Stamford,Seldom,Chalupa,38.26
Phyllis,Female,New York,Often,Donut,28.78
Gerald,Male,New York,Yearly,Chalupa,29.9
Carol,Female,Philadelphia,Daily,Burger,90.66
Dennis,Male,Philadelphia,Never,Sushi,12.38
Stephanie,Female,New York,Weekly,Ice Cream,77.7
Sarah,Female,New York,Often,Sushi,76.44
Lawrence,Male,Philadelphia,Often,Sushi,7.97
Rose,Female,Philadelphia,Weekly,Sushi,59.27
Sharon,Female,New York,Daily,Donut,25.04
Ruby,Female,Stamford,Once,Burrito,67.36
Virginia,Female,New York,Once,Ice Cream,44.58
Stephen,Male,New York,Daily,Ice Cream,59.41
Gregory,Male,New York,Weekly,Chalupa,81.43
Kevin,Male,New York,Monthly,Sushi,60.6
Nancy,Female,New York,Often,Burrito,29.69
Christine,Female,Philadelphia,Monthly,Sushi,78.71
Alice,Female,New York,Daily,Burger,49.32
Ruth,Female,Philadelphia,Seldom,Ice Cream,15.49
Steve,Male,Stamford,Yearly,Burrito,3.64
Sharon,Female,Stamford,Often,Chalupa,73.16
George,Male,Philadelphia,Often,Donut,93.12
Nancy,Female,New York,Never,Ice Cream,91.69
Victor,Male,Philadelphia,Weekly,Ice Cream,16.83
Betty,Female,Stamford,Monthly,Burger,63.84
Louis,Male,Philadelphia,Never,Chalupa,31.91
Gregory,Male,New York,Daily,Burger,28.99
Scott,Male,Stamford,Weekly,Ice Cream,12.33
Anthony,Male,Stamford,Weekly,Sushi,96.97
Cheryl,Female,Philadelphia,Daily,Burrito,91.58
Jacqueline,Female,New York,Often,Donut,3.15
Lillian,Female,Philadelphia,Never,Chalupa,18.63
Elizabeth,Female,Stamford,Once,Burrito,56.01
Ronald,Male,Stamford,Daily,Burrito,66.44
Lawrence,Male,Philadelphia,Often,Burrito,54.77
Nancy,Female,Stamford,Yearly,Burger,74.66
Emily,Female,Stamford,Never,Sushi,19.56
Martin,Male,Stamford,Daily,Donut,54.38
Linda,Female,New York,Daily,Burrito,10.83
Todd,Male,New York,Yearly,Chalupa,60.54
Michael,Male,Stamford,Never,Burrito,50.07
Jeffrey,Male,Stamford,Once,Sushi,68.02
Paula,Female,New York,Seldom,Donut,71.18
Paul,Male,Philadelphia,Weekly,Ice Cream,82.57
Robin,Female,Philadelphia,Daily,Burrito,45.53
Nicholas,Male,Stamford,Once,Burrito,24.87
Andrea,Female,Philadelphia,Daily,Sushi,99.02
Julie,Female,Philadelphia,Never,Burrito,96.79
Fred,Male,Stamford,Once,Sushi,50.16
Phillip,Male,Stamford,Never,Chalupa,69.59
Jane,Female,Stamford,Once,Chalupa,40.59
Tammy,Female,Stamford,Daily,Burger,75.51
William,Male,Stamford,Daily,Burrito,81.2
Joan,Female,New York,Weekly,Donut,61.25
William,Male,Philadelphia,Daily,Sushi,68.14
Karen,Female,New York,Never,Burrito,91.77
Louis,Male,New York,Monthly,Sushi,8.27
Emily,Female,New York,Yearly,Ice Cream,31.29
Tina,Female,Philadelphia,Weekly,Chalupa,9.35
Albert,Male,New York,Often,Burrito,16.1
Jennifer,Female,New York,Weekly,Burrito,25.3
Catherine,Female,Philadelphia,Yearly,Sushi,34.55
Carolyn,Female,New York,Yearly,Ice Cream,70.45
Carolyn,Female,Philadelphia,Seldom,Chalupa,92.59
Marilyn,Female,Stamford,Often,Donut,13.42
Julie,Female,Stamford,Often,Chalupa,93.96
Ernest,Male,Stamford,Weekly,Burrito,21.87
Elizabeth,Female,New York,Yearly,Burger,98.96
Maria,Female,Stamford,Once,Ice Cream,8.8
Ruth,Female,Stamford,Daily,Sushi,48.21
Nicholas,Male,Philadelphia,Seldom,Burger,49.02
Linda,Female,Stamford,Once,Ice Cream,65.72
Amy,Female,Philadelphia,Monthly,Burger,39.73
Gloria,Female,Philadelphia,Monthly,Burger,89.52
Joyce,Female,Stamford,Often,Donut,19.47
Irene,Female,Philadelphia,Monthly,Chalupa,90.69
William,Male,Philadelphia,Once,Ice Cream,54.34
Deborah,Female,New York,Monthly,Burrito,32.49
Paula,Female,New York,Yearly,Sushi,63.37
Ruby,Female,Stamford,Daily,Burrito,80.49
Sharon,Female,Philadelphia,Once,Ice Cream,77.6
Stephanie,Female,Philadelphia,Yearly,Burrito,50.39
Stephen,Male,Stamford,Yearly,Chalupa,96.9
Mark,Male,Stamford,Yearly,Burrito,27.67
Ruby,Female,Stamford,Weekly,Donut,38.53
Mary,Female,Stamford,Seldom,Chalupa,46.52
Douglas,Male,Philadelphia,Never,Ice Cream,84.09
Lori,Female,Stamford,Seldom,Chalupa,47.1
Theresa,Female,Philadelphia,Never,Sushi,75.12
Lillian,Female,New York,Seldom,Chalupa,17.05
Virginia,Female,New York,Monthly,Ice Cream,41.02
Amanda,Female,Philadelphia,Once,Ice Cream,32.66
Deborah,Female,Philadelphia,Never,Sushi,47.88
Kevin,Male,New York,Never,Burrito,35.78
Amy,Female,Philadelphia,Daily,Burrito,50.39
Wayne,Male,Philadelphia,Never,Sushi,70.54
Nancy,Female,Philadelphia,Often,Donut,27.47
Linda,Female,Stamford,Seldom,Donut,12.54
Sarah,Female,Stamford,Often,Burrito,11.84
Rose,Female,Philadelphia,Often,Chalupa,58.41
Judith,Female,Stamford,Daily,Sushi,86.94
Sharon,Female,New York,Yearly,Sushi,74.85
Bruce,Male,New York,Daily,Sushi,56.14
Jose,Male,New York,Once,Ice Cream,55.47
Sara,Female,New York,Weekly,Chalupa,57.81
Alice,Female,Stamford,Seldom,Burrito,94.99
Carolyn,Female,Stamford,Weekly,Burrito,37.52
Scott,Male,Philadelphia,Weekly,Chalupa,3.47
Jane,Female,Stamford,Yearly,Sushi,54.15
Samuel,Male,Stamford,Weekly,Burrito,54.13
Gary,Male,New York,Yearly,Sushi,26.67
Christopher,Male,New York,Monthly,Donut,79.7
John,Male,Stamford,Seldom,Ice Cream,17.84
Edward,Male,Philadelphia,Daily,Chalupa,58.04
