Rank,Company,Sector,Industry,Location,Revenue,Profits,Employees
1,Walmart,Retailing,General Merchandisers,"Bentonville, AR",482130,14694,2300000
2,Exxon Mobil,Energy,Petroleum Refining,"Irving, TX",246204,16150,75600
3,Apple,Technology,"Computers, Office Equipment","Cupertino, CA",233715,53394,110000
4,Berkshire Hathaway,Financials,Insurance: Property and Casualty (Stock),"Omaha, NE",210821,24083,331000
5,McKesson,Health Care,Wholesalers: Health Care,"San Francisco, CA",181241,1476,70400
6,UnitedHealth Group,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, MN",157107,5813,200000
7,CVS Health,Food and Drug Stores,Food and Drug Stores,"Woonsocket, RI",153290,5237,199000
8,General Motors,Motor Vehicles & Parts,Motor Vehicles and Parts,"Detroit, MI",152356,9687,215000
9,Ford Motor,Motor Vehicles & Parts,Motor Vehicles and Parts,"Dearborn, MI",149558,7373,199000
10,AT&T,Telecommunications,Telecommunications,"Dallas, TX",146801,13345,281450
11,General Electric,Industrials,Industrial Machinery,"Fairfield, CT",140389,-6126,333000
12,AmerisourceBergen,Health Care,Wholesalers: Health Care,"Chesterbrook, PA",135962,-135,17000
13,Verizon,Telecommunications,Telecommunications,"New York, NY",131620,17879,177700
14,Chevron,Energy,Petroleum Refining,"San Ramon, CA",131118,4587,61500
15,Costco,Retailing,Specialty Retailers: Other,"Issaquah, WA",116199,2377,161000
16,Fannie Mae,Financials,Diversified Financials,"Washington, DC",110359,10954,7300
17,Kroger,Food and Drug Stores,Food and Drug Stores,"Cincinnati, OH",109830,2039,431000
18,Amazon.com,Technology,Internet Services and Retailing,"Seattle, WA",107006,596,230800
19,Walgreens Boots Alliance,Food and Drug Stores,Food and Drug Stores,"Deerfield, IL",103444,4220,302500
20,HP,Technology,"Computers, Office Equipment","Palo Alto, CA",103355,4554,287000
21,Cardinal Health,Health Care,Wholesalers: Health Care,"Dublin, OH",102531,1215,34500
22,Express Scripts Holding,Health Care,Health Care: Pharmacy and Other Services,"St. Louis, MO",101752,2476,25900
23,J.P. Morgan Chase,Financials,Commercial Banks,"New York, NY",101006,24442,234598
24,Boeing,Aerospace & Defense,Aerospace and Defense,"Chicago, IL",96114,5176,161400
25,Microsoft,Technology,Computer Software,"Redmond, WA",93580,12193,118000
26,Bank of America Corp.,Financials,Commercial Banks,"Charlotte, NC",93056,15888,213280
27,Wells Fargo,Financials,Commercial Banks,"San Francisco, CA",90033,22894,264700
28,Home Depot,Retailing,Specialty Retailers: Other,"Atlanta, GA",88519,7009,385000
29,Citigroup,Financials,Commercial Banks,"New York, NY",88275,17242,231000
30,Phillips 66,Energy,Petroleum Refining,"Houston, TX",87169,4227,14000
31,IBM,Technology,Information Technology Services,"Armonk, NY",82461,13190,411798
32,Valero Energy,Energy,Petroleum Refining,"San Antonio, TX",81824,3990,10103
33,Anthem,Health Care,Health Care: Insurance and Managed Care,"Indianapolis, IN",79157,2560,53000
34,Procter & Gamble,Household Products,Household and Personal Products,"Cincinnati, OH",78756,7036,110000
35,State Farm Insurance Cos.,Financials,Insurance: Property and Casualty (Mutual),"Bloomington, IL",75697,6229,70425
36,Alphabet,Technology,Internet Services and Retailing,"Mountain View, CA",74989,16348,61814
37,Comcast,Telecommunications,Telecommunications,"Philadelphia, PA",74510,8163,153000
38,Target,Retailing,General Merchandisers,"Minneapolis, MN",73785,3363,341000
39,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, NJ",70074,15409,127100
40,MetLife,Financials,"Insurance: Life, Health (stock)","New York, NY",69951,5310,69000
41,Archer Daniels Midland,"Food, Beverages & Tobacco",Food Production,"Chicago, IL",67702,1849,32300
42,Marathon Petroleum,Energy,Petroleum Refining,"Findlay, OH",64566,2852,45440
43,Freddie Mac,Financials,Diversified Financials,"McLean, VA",63491,6376,5439
44,PepsiCo,"Food, Beverages & Tobacco",Food Consumer Products,"Purchase, NY",63056,5452,263000
45,United Technologies,Aerospace & Defense,Aerospace and Defense,"Farmington, CT",61047,7608,197200
46,Aetna,Health Care,Health Care: Insurance and Managed Care,"Hartford, CT",60337,2390,50100
47,Lowe’s,Retailing,Specialty Retailers: Other,"Mooresville, NC",59074,2546,225000
48,UPS,Transportation,"Mail, Package, and Freight Delivery","Atlanta, GA",58363,4844,341240
49,AIG,Financials,Insurance: Property and Casualty (Stock),"New York, NY",58327,2196,66400
50,Prudential Financial,Financials,"Insurance: Life, Health (stock)","Newark, NJ",57119,5642,49384
51,Intel,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",55355,11420,107300
52,Humana,Health Care,Health Care: Insurance and Managed Care,"Louisville, KY",54289,1276,50100
53,Disney,Media,Entertainment,"Burbank, CA",52465,8382,185000
54,Cisco Systems,Technology,Network and Other Communications Equipment,"San Jose, CA",49161,8981,71833
55,Pfizer,Health Care,Pharmaceuticals,"New York, NY",48851,6960,97900
56,Dow Chemical,Chemicals,Chemicals,"Midland, MI",48778,7685,49495
57,Sysco,Wholesalers,Wholesalers: Food and Grocery,"Houston, TX",48681,687,51700
58,FedEx,Transportation,"Mail, Package, and Freight Delivery","Memphis, TN",47453,1050,323035
59,Caterpillar,Industrials,Construction and Farm Machinery,"Peoria, IL",47011,2102,112200
60,Lockheed Martin,Aerospace & Defense,Aerospace and Defense,"Bethesda, MD",46132,3605,126000
61,New York Life Insurance,Financials,"Insurance: Life, Health (Mutual)","New York, NY",45891,257,11463
62,Coca-Cola,"Food, Beverages & Tobacco",Beverages,"Atlanta, GA",44294,7351,123200
63,HCA Holdings,Health Care,Health Care: Medical Facilities,"Nashville, TN",43591,2129,203500
64,Ingram Micro,Wholesalers,Wholesalers: Electronics and Office Equipment,"Irvine, CA",43026,215,27700
65,Energy Transfer Equity,Energy,Pipelines,"Dallas, TX",42126,1189,30078
66,Tyson Foods,"Food, Beverages & Tobacco",Food Production,"Springdale, AR",41373,1220,113000
67,American Airlines Group,Transportation,Airlines,"Fort Worth, TX",40990,7610,118500
68,Delta Air Lines,Transportation,Airlines,"Atlanta, GA",40704,4526,82949
69,Nationwide,Financials,Insurance: Property and Casualty (Mutual),"Columbus, OH",40222,581,34032
70,Johnson Controls,Motor Vehicles & Parts,Motor Vehicles and Parts,"Milwaukee, WI",40204,1563,139000
71,Best Buy,Retailing,Specialty Retailers: Other,"Richfield, MN",39745,897,125000
72,Merck,Health Care,Pharmaceuticals,"Kenilworth, NJ",39498,4442,68000
73,Liberty Mutual Insurance Group,Financials,Insurance: Property and Casualty (Stock),"Boston, MA",39450,514,50000
74,Goldman Sachs Group,Financials,Commercial Banks,"New York, NY",39208,6083,36800
75,Honeywell International,Industrials,"Electronics, Electrical Equip.","Morris Plains, NJ",38581,4768,129000
76,Massachusetts Mutual Life Insurance,Financials,"Insurance: Life, Health (Mutual)","Springfield, MA",38243,1425,11593
77,Oracle,Technology,Computer Software,"Redwood City, CA",38226,9938,132000
78,Morgan Stanley,Financials,Commercial Banks,"New York, NY",37897,6127,56218
79,Cigna,Health Care,Health Care: Insurance and Managed Care,"Bloomfield, CT",37876,2094,39300
80,United Continental Holdings,Transportation,Airlines,"Chicago, IL",37864,7340,84000
81,Allstate,Financials,Insurance: Property and Casualty (Stock),"Northbrook, IL",35653,2171,41350
82,TIAA,Financials,"Insurance: Life, Health (Mutual)","New York, NY",35181,1214,12735
83,INTL FCStone,Financials,Diversified Financials,"New York, NY",34693,56,1231
84,CHS,"Food, Beverages & Tobacco",Food Production,"Inver Grove Heights, MN",34582,781,12511
85,American Express,Financials,Diversified Financials,"New York, NY",34441,5163,54800
86,Gilead Sciences,Health Care,Pharmaceuticals,"Foster City, CA",32639,18108,8000
87,Publix Super Markets,Food and Drug Stores,Food and Drug Stores,"Lakeland, FL",32619,1965,180000
88,General Dynamics,Aerospace & Defense,Aerospace and Defense,"Falls Church, VA",31469,2965,99900
89,TJX,Retailing,Specialty Retailers: Apparel,"Framingham, MA",30945,2278,216000
90,ConocoPhillips,Energy,"Mining, Crude-Oil Production","Houston, TX",30935,-4428,15900
91,Nike,Apparel,Apparel,"Beaverton, OR",30601,3273,62600
92,World Fuel Services,Wholesalers,Wholesalers: Diversified,"Miami, FL",30380,187,4700
93,3M,Industrials,Miscellaneous,"St. Paul, MN",30274,4833,89446
94,Mondelez International,"Food, Beverages & Tobacco",Food Consumer Products,"Deerfield, IL",29636,7267,99000
95,Exelon,Energy,Utilities: Gas and Electric,"Chicago, IL",29447,2269,29762
96,Twenty-First Century Fox,Media,Entertainment,"New York, NY",28987,8306,20500
97,Deere,Industrials,Construction and Farm Machinery,"Moline, IL",28863,1940,57180
98,Tesoro,Energy,Petroleum Refining,"San Antonio, TX",28150,1540,6016
99,Time Warner,Media,Entertainment,"New York, NY",28118,3833,24800
100,Northwestern Mutual,Financials,"Insurance: Life, Health (Mutual)","Milwaukee, WI",28111,815,5530
101,DuPont,Chemicals,Chemicals,"Wilmington, DE",27940,1953,52000
102,Avnet,Wholesalers,Wholesalers: Electronics and Office Equipment,"Phoenix, AZ",27925,572,18800
103,Macy’s,Retailing,General Merchandisers,"Cincinnati, OH",27079,1072,157500
104,Enterprise Products Partners,Energy,Pipelines,"Houston, TX",27028,2521,6800
105,Travelers Cos.,Financials,Insurance: Property and Casualty (Stock),"New York, NY",26800,3439,30900
106,Philip Morris International,"Food, Beverages & Tobacco",Tobacco,"New York, NY",26794,6873,80200
107,Rite Aid,Food and Drug Stores,Food and Drug Stores,"Camp Hill, PA",26528,2109,69865
108,Tech Data,Wholesalers,Wholesalers: Electronics and Office Equipment,"Clearwater, FL",26380,266,9000
109,McDonald’s,"Hotels, Resturants & Leisure",Food Services,"Oak Brook, IL",25413,4529,420000
110,Qualcomm,Technology,Network and Other Communications Equipment,"San Diego, CA",25281,5271,33000
111,Sears Holdings,Retailing,General Merchandisers,"Hoffman Estates, IL",25146,-1129,178000
112,Capital One Financial,Financials,Commercial Banks,"McLean, VA",25098,4050,45400
