Pokemon,Type
Bulbasaur,Grass
Ivysaur,Grass
Venusaur,Grass
Charmander,Fire
Charmeleon,Fire
Charizard,Fire
Squirtle,Water
Wartortle,Water
Blastoise,Water
Caterpie,Bug
Metapod,Bug
Butterfree,Bug
Weedle,Bug
Kakuna,Bug
Beedrill,Bug
Pidgey,Normal
Pidgeotto,Normal
Pidgeot,Normal
Rattata,Normal
Raticate,Normal
Spearow,Normal
Fearow,Normal
Ekans,Poison
Arbok,Poison
Pikachu,Electric
Raichu,Electric
Sandshrew,Ground
Sandslash,Ground
Nidoran,Poison
Nidorina,Poison
Nidoqueen,Poison
Nidoran♂,Poison
Nidorino,Poison
Nidoking,Poison
Clefairy,Fairy
Clefable,Fairy
Vulpix,Fire
Ninetales,Fire
Jigglypuff,Normal
Wigglytuff,Normal
Zubat,Poison
Golbat,Poison
Oddish,Grass
Gloom,Grass
Vileplume,Grass
Paras,Bug
Parasect,Bug
Venonat,Bug
Venomoth,Bug
Diglett,Ground
Dugtrio,Ground
Meowth,Normal
Persian,Normal
Psyduck,Water
Golduck,Water
Mankey,Fighting
Primeape,Fighting
Growlithe,Fire
Arcanine,Fire
Poliwag,Water
Poliwhirl,Water
Poliwrath,Water
Abra,Psychic
Kadabra,Psychic
Alakazam,Psychic
Machop,Fighting
Machoke,Fighting
Machamp,Fighting
Bellsprout,Grass
Weepinbell,Grass
Victreebel,Grass
Tentacool,Water
Tentacruel,Water
Geodude,Rock
Graveler,Rock
Golem,Rock
Ponyta,Fire
Rapidash,Fire
Slowpoke,Water
Slowbro,Water
Magnemite,Electric
Magneton,Electric
Farfetch'd,Normal
Doduo,Normal
Dodrio,Normal
Seel,Water
Dewgong,Water
Grimer,Poison
Muk,Poison
Shellder,Water
Cloyster,Water
Gastly,Ghost
Haunter,Ghost
Gengar,Ghost
Onix,Rock
Drowzee,Psychic
Hypno,Psychic
Krabby,Water
Kingler,Water
Voltorb,Electric
Electrode,Electric
Exeggcute,Grass
Exeggutor,Grass
Cubone,Ground
Marowak,Ground
Hitmonlee,Fighting
Hitmonchan,Fighting
Lickitung,Normal
Koffing,Poison
Weezing,Poison
Rhyhorn,Ground
Rhydon,Ground
Chansey,Normal
Tangela,Grass
Kangaskhan,Normal
Horsea,Water
Seadra,Water
Goldeen,Water
Seaking,Water
Staryu,Water
Starmie,Water
Mr. Mime,Psychic
Scyther,Bug
Jynx,Ice
Electabuzz,Electric
Magmar,Fire
Pinsir,Bug
Tauros,Normal
Magikarp,Water
Gyarados,Water
Lapras,Water
Ditto,Normal
Eevee,Normal
Vaporeon,Water
Jolteon,Electric
Flareon,Fire
Porygon,Normal
Omanyte,Rock
Omastar,Rock
Kabuto,Rock
Kabutops,Rock
Aerodactyl,Rock
Snorlax,Normal
Articuno,Ice
Zapdos,Electric
Moltres,Fire
Dratini,Dragon
Dragonair,Dragon
Dragonite,Dragon
Mewtwo,Psychic
Mew,Psychic
Chikorita,Grass
Bayleef,Grass
Meganium,Grass
Cyndaquil,Fire
Quilava,Fire
Typhlosion,Fire
Totodile,Water
Croconaw,Water
Feraligatr,Water
Sentret,Normal
Furret,Normal
Hoothoot,Normal
Noctowl,Normal
Ledyba,Bug
Ledian,Bug
Spinarak,Bug
Ariados,Bug
Crobat,Poison
Chinchou,Water
Lanturn,Water
Pichu,Electric
Cleffa,Fairy
Igglybuff,Normal
Togepi,Fairy
Togetic,Fairy
Natu,Psychic
Xatu,Psychic
Mareep,Electric
Flaaffy,Electric
Ampharos,Electric
Bellossom,Grass
Marill,Water
Azumarill,Water
Sudowoodo,Rock
Politoed,Water
Hoppip,Grass
Skiploom,Grass
Jumpluff,Grass
Aipom,Normal
Sunkern,Grass
Sunflora,Grass
Yanma,Bug
Wooper,Water
Quagsire,Water
Espeon,Psychic
Umbreon,Dark
Murkrow,Dark
Slowking,Water
Misdreavus,Ghost
Unown,Psychic
Wobbuffet,Psychic
Girafarig,Normal
Pineco,Bug
Forretress,Bug
Dunsparce,Normal
Gligar,Ground
Steelix,Steel
Snubbull,Fairy
Granbull,Fairy
Qwilfish,Water
Scizor,Bug
Shuckle,Bug
Heracross,Bug
Sneasel,Dark
Teddiursa,Normal
Ursaring,Normal
Slugma,Fire
Magcargo,Fire
Swinub,Ice
Piloswine,Ice
Corsola,Water
Remoraid,Water
Octillery,Water
Delibird,Ice
Mantine,Water
Skarmory,Steel
Houndour,Dark
Houndoom,Dark
Kingdra,Water
Phanpy,Ground
Donphan,Ground
Porygon2,Normal
Stantler,Normal
Smeargle,Normal
Tyrogue,Fighting
Hitmontop,Fighting
Smoochum,Ice
Elekid,Electric
Magby,Fire
Miltank,Normal
Blissey,Normal
Raikou,Electric
Entei,Fire
Suicune,Water
Larvitar,Rock
Pupitar,Rock
Tyranitar,Rock
Lugia,Psychic
Ho-oh,Fire
Celebi,Psychic
Treecko,Grass
Grovyle,Grass
Sceptile,Grass
Torchic,Fire
Combusken,Fire
Blaziken,Fire
Mudkip,Water
Marshtomp,Water
Swampert,Water
Poochyena,Dark
Mightyena,Dark
Zigzagoon,Normal
Linoone,Normal
Wurmple,Bug
Silcoon,Bug
Beautifly,Bug
Cascoon,Bug
Dustox,Bug
Lotad,Water
Lombre,Water
Ludicolo,Water
Seedot,Grass
Nuzleaf,Grass
Shiftry,Grass
Taillow,Normal
Swellow,Normal
Wingull,Water
Pelipper,Water
Ralts,Psychic
Kirlia,Psychic
Gardevoir,Psychic
Surskit,Bug
Masquerain,Bug
Shroomish,Grass
Breloom,Grass
Slakoth,Normal
Vigoroth,Normal
Slaking,Normal
Nincada,Bug
Ninjask,Bug
Shedinja,Bug
Whismur,Normal
Loudred,Normal
Exploud,Normal
Makuhita,Fighting
Hariyama,Fighting
Azurill,Normal
Nosepass,Rock
Skitty,Normal
Delcatty,Normal
Sableye,Dark
Mawile,Steel
Aron,Steel
Lairon,Steel
Aggron,Steel
Meditite,Fighting
Medicham,Fighting
Electrike,Electric
Manectric,Electric
Plusle,Electric
Minun,Electric
Volbeat,Bug
Illumise,Bug
Roselia,Grass
Gulpin,Poison
Swalot,Poison
Carvanha,Water
Sharpedo,Water
Wailmer,Water
Wailord,Water
Numel,Fire
Camerupt,Fire
Torkoal,Fire
Spoink,Psychic
Grumpig,Psychic
Spinda,Normal
Trapinch,Ground
Vibrava,Ground
Flygon,Ground
Cacnea,Grass
Cacturne,Grass
Swablu,Normal
Altaria,Dragon
Zangoose,Normal
Seviper,Poison
Lunatone,Rock
Solrock,Rock
Barboach,Water
Whiscash,Water
Corphish,Water
Crawdaunt,Water
Baltoy,Ground
Claydol,Ground
Lileep,Rock
Cradily,Rock
Anorith,Rock
Armaldo,Rock
Feebas,Water
Milotic,Water
Castform,Normal
Kecleon,Normal
Shuppet,Ghost
Banette,Ghost
Duskull,Ghost
Dusclops,Ghost
Tropius,Grass
Chimecho,Psychic
Absol,Dark
Wynaut,Psychic
Snorunt,Ice
Glalie,Ice
Spheal,Ice
Sealeo,Ice
Walrein,Ice
Clamperl,Water
Huntail,Water
Gorebyss,Water
Relicanth,Water
Luvdisc,Water
Bagon,Dragon
Shelgon,Dragon
Salamence,Dragon
Beldum,Steel
Metang,Steel
Metagross,Steel
Regirock,Rock
Regice,Ice
Registeel,Steel
Latias,Dragon
Latios,Dragon
Kyogre,Water
Groudon,Ground
Rayquaza,Dragon
Jirachi,Steel
Deoxys,Psychic
Turtwig,Grass
Grotle,Grass
Torterra,Grass
Chimchar,Fire
Monferno,Fire
Infernape,Fire
Piplup,Water
Prinplup,Water
Empoleon,Water
Starly,Normal
Staravia,Normal
Staraptor,Normal
Bidoof,Normal
Bibarel,Normal
Kricketot,Bug
Kricketune,Bug
Shinx,Electric
Luxio,Electric
Luxray,Electric
Budew,Grass
Roserade,Grass
Cranidos,Rock
Rampardos,Rock
Shieldon,Rock
Bastiodon,Rock
Burmy,Bug
Wormadam,Bug
Mothim,Bug
Combee,Bug
Vespiquen,Bug
Pachirisu,Electric
Buizel,Water
Floatzel,Water
Cherubi,Grass
Cherrim,Grass
Shellos,Water
Gastrodon,Water
Ambipom,Normal
Drifloon,Ghost
Drifblim,Ghost
Buneary,Normal
Lopunny,Normal
Mismagius,Ghost
Honchkrow,Dark
Glameow,Normal
Purugly,Normal
Chingling,Psychic
Stunky,Poison
Skuntank,Poison
Bronzor,Steel
Bronzong,Steel
Bonsly,Rock
Mime Jr.,Psychic
Happiny,Normal
Chatot,Normal
Spiritomb,Ghost
Gible,Dragon
Gabite,Dragon
Garchomp,Dragon
Munchlax,Normal
Riolu,Fighting
Lucario,Fighting
Hippopotas,Ground
Hippowdon,Ground
Skorupi,Poison
Drapion,Poison
Croagunk,Poison
Toxicroak,Poison
Carnivine,Grass
Finneon,Water
Lumineon,Water
Mantyke,Water
Snover,Grass
Abomasnow,Grass
Weavile,Dark
Magnezone,Electric
Lickilicky,Normal
Rhyperior,Ground
Tangrowth,Grass
Electivire,Electric
Magmortar,Fire
Togekiss,Fairy
Yanmega,Bug
Leafeon,Grass
Glaceon,Ice
Gliscor,Ground
Mamoswine,Ice
Porygon-Z,Normal
Gallade,Psychic
