0,1,2,3,4,5,6,7
18.0,8,307.0,130.0,3504.0,12.0,70,India
15.0,8,350.0,165.0,3693.0,11.5,70,India
18.0,8,318.0,150.0,3436.0,11.0,70,India
16.0,8,304.0,150.0,3433.0,12.0,70,India
17.0,8,302.0,140.0,3449.0,10.5,70,India
15.0,8,429.0,198.0,4341.0,10.0,70,India
14.0,8,454.0,220.0,4354.0,9.0,70,India
14.0,8,440.0,215.0,4312.0,8.5,70,India
14.0,8,455.0,225.0,4425.0,10.0,70,India
15.0,8,390.0,190.0,3850.0,8.5,70,India
15.0,8,383.0,170.0,3563.0,10.0,70,India
14.0,8,340.0,160.0,3609.0,8.0,70,India
15.0,8,400.0,150.0,3761.0,9.5,70,India
14.0,8,455.0,225.0,3086.0,10.0,70,India
24.0,4,113.0,95.0,2372.0,15.0,70,Germany
22.0,6,198.0,95.0,2833.0,15.5,70,India
18.0,6,199.0,97.0,2774.0,15.5,70,India
21.0,6,200.0,85.0,2587.0,16.0,70,India
27.0,4,97.0,88.0,2130.0,14.5,70,Germany
26.0,4,97.0,46.0,1835.0,20.5,70,USA
25.0,4,110.0,87.0,2672.0,17.5,70,USA
24.0,4,107.0,90.0,2430.0,14.5,70,USA
25.0,4,104.0,95.0,2375.0,17.5,70,USA
26.0,4,121.0,113.0,2234.0,12.5,70,USA
21.0,6,199.0,90.0,2648.0,15.0,70,India
10.0,8,360.0,215.0,4615.0,14.0,70,India
10.0,8,307.0,200.0,4376.0,15.0,70,India
11.0,8,318.0,210.0,4382.0,13.5,70,India
9.0,8,304.0,193.0,4732.0,18.5,70,India
27.0,4,97.0,88.0,2130.0,14.5,71,Germany
28.0,4,140.0,90.0,2264.0,15.5,71,India
25.0,4,113.0,95.0,2228.0,14.0,71,Germany
25.0,4,98.0,,2046.0,19.0,71,India
19.0,6,232.0,100.0,2634.0,13.0,71,India
16.0,6,225.0,105.0,3439.0,15.5,71,India
17.0,6,250.0,100.0,3329.0,15.5,71,India
19.0,6,250.0,88.0,3302.0,15.5,71,India
18.0,6,232.0,100.0,3288.0,15.5,71,India
14.0,8,350.0,165.0,4209.0,12.0,71,India
14.0,8,400.0,175.0,4464.0,11.5,71,India
14.0,8,351.0,153.0,4154.0,13.5,71,India
14.0,8,318.0,150.0,4096.0,13.0,71,India
12.0,8,383.0,180.0,4955.0,11.5,71,India
13.0,8,400.0,170.0,4746.0,12.0,71,India
13.0,8,400.0,175.0,5140.0,12.0,71,India
18.0,6,258.0,110.0,2962.0,13.5,71,India
22.0,4,140.0,72.0,2408.0,19.0,71,India
19.0,6,250.0,100.0,3282.0,15.0,71,India
18.0,6,250.0,88.0,3139.0,14.5,71,India
23.0,4,122.0,86.0,2220.0,14.0,71,India
28.0,4,116.0,90.0,2123.0,14.0,71,USA
30.0,4,79.0,70.0,2074.0,19.5,71,USA
30.0,4,88.0,76.0,2065.0,14.5,71,USA
31.0,4,71.0,65.0,1773.0,19.0,71,Germany
35.0,4,72.0,69.0,1613.0,18.0,71,Germany
27.0,4,97.0,60.0,1834.0,19.0,71,USA
26.0,4,91.0,70.0,1955.0,20.5,71,India
24.0,4,113.0,95.0,2278.0,15.5,72,Germany
25.0,4,97.5,80.0,2126.0,17.0,72,India
23.0,4,97.0,54.0,2254.0,23.5,72,USA
20.0,4,140.0,90.0,2408.0,19.5,72,India
21.0,4,122.0,86.0,2226.0,16.5,72,India
13.0,8,350.0,165.0,4274.0,12.0,72,India
14.0,8,400.0,175.0,4385.0,12.0,72,India
15.0,8,318.0,150.0,4135.0,13.5,72,India
14.0,8,351.0,153.0,4129.0,13.0,72,India
17.0,8,304.0,150.0,3672.0,11.5,72,India
11.0,8,429.0,208.0,4633.0,11.0,72,India
13.0,8,350.0,155.0,4502.0,13.5,72,India
12.0,8,350.0,160.0,4456.0,13.5,72,India
13.0,8,400.0,190.0,4422.0,12.5,72,India
19.0,3,70.0,97.0,2330.0,13.5,72,Germany
15.0,8,304.0,150.0,3892.0,12.5,72,India
13.0,8,307.0,130.0,4098.0,14.0,72,India
13.0,8,302.0,140.0,4294.0,16.0,72,India
14.0,8,318.0,150.0,4077.0,14.0,72,India
18.0,4,121.0,112.0,2933.0,14.5,72,USA
22.0,4,121.0,76.0,2511.0,18.0,72,USA
21.0,4,120.0,87.0,2979.0,19.5,72,USA
26.0,4,96.0,69.0,2189.0,18.0,72,USA
22.0,4,122.0,86.0,2395.0,16.0,72,India
28.0,4,97.0,92.0,2288.0,17.0,72,Germany
23.0,4,120.0,97.0,2506.0,14.5,72,Germany
28.0,4,98.0,80.0,2164.0,15.0,72,India
27.0,4,97.0,88.0,2100.0,16.5,72,Germany
13.0,8,350.0,175.0,4100.0,13.0,73,India
14.0,8,304.0,150.0,3672.0,11.5,73,India
13.0,8,350.0,145.0,3988.0,13.0,73,India
14.0,8,302.0,137.0,4042.0,14.5,73,India
15.0,8,318.0,150.0,3777.0,12.5,73,India
12.0,8,429.0,198.0,4952.0,11.5,73,India
13.0,8,400.0,150.0,4464.0,12.0,73,India
13.0,8,351.0,158.0,4363.0,13.0,73,India
14.0,8,318.0,150.0,4237.0,14.5,73,India
13.0,8,440.0,215.0,4735.0,11.0,73,India
12.0,8,455.0,225.0,4951.0,11.0,73,India
13.0,8,360.0,175.0,3821.0,11.0,73,India
18.0,6,225.0,105.0,3121.0,16.5,73,India
16.0,6,250.0,100.0,3278.0,18.0,73,India
18.0,6,232.0,100.0,2945.0,16.0,73,India
18.0,6,250.0,88.0,3021.0,16.5,73,India
23.0,6,198.0,95.0,2904.0,16.0,73,India
26.0,4,97.0,46.0,1950.0,21.0,73,USA
11.0,8,400.0,150.0,4997.0,14.0,73,India
12.0,8,400.0,167.0,4906.0,12.5,73,India
13.0,8,360.0,170.0,4654.0,13.0,73,India
12.0,8,350.0,180.0,4499.0,12.5,73,India
18.0,6,232.0,100.0,2789.0,15.0,73,India
20.0,4,97.0,88.0,2279.0,19.0,73,Germany
21.0,4,140.0,72.0,2401.0,19.5,73,India
22.0,4,108.0,94.0,2379.0,16.5,73,Germany
18.0,3,70.0,90.0,2124.0,13.5,73,Germany
19.0,4,122.0,85.0,2310.0,18.5,73,India
21.0,6,155.0,107.0,2472.0,14.0,73,India
26.0,4,98.0,90.0,2265.0,15.5,73,USA
15.0,8,350.0,145.0,4082.0,13.0,73,India
16.0,8,400.0,230.0,4278.0,9.5,73,India
29.0,4,68.0,49.0,1867.0,19.5,73,USA
24.0,4,116.0,75.0,2158.0,15.5,73,USA
