id,date,time,country_name,state/province,population,landslide_type,trigger,fatalities
34,3/2/07,Night,United States,Virginia,16000,Landslide,Rain,
42,3/22/07,,United States,Ohio,17288,Landslide,Rain,
56,4/6/07,,United States,Pennsylvania,15930,Landslide,Rain,
59,4/14/07,,Canada,Quebec,42786,Riverbank collapse,Rain,
61,4/15/07,,United States,Kentucky,6903,Landslide,Downpour,0.0
64,4/20/07,,United States,Kentucky,6903,Landslide,Rain,
67,4/24/07,,United States,South Dakota,2540,Landslide,Rain,
77,5/21/07,,Colombia,Risaralda,440118,Mudslide,Rain,13.0
105,6/27/07,,Ecuador,Zamora-Chinchipe,15276,Landslide,Downpour,
106,6/27/07,,Ecuador,Loja,117796,Landslide,Downpour,
107,6/27/07,,Ecuador,Pichincha,5114,Landslide,Downpour,
109,7/1/07,,United States,Texas,42409,Landslide,Rain,
115,7/4/07,,Mexico,Veracruz-Llave,1947,Landslide,Rain,7.0
119,7/8/07,,Canada,Ontario,812129,Landslide,Unknown,
124,7/13/07,Night,Dominican Republic,Distrito Nacional,13456,Landslide,Unknown,
138,7/24/07,,United States,Texas,175396,Landslide,Rain,
165,8/9/07,,Guatemala,Guatemala,47247,Mudslide,Rain,5.0
174,8/11/07,,Jamaica,Portland,14400,Landslide,Rain,
185,8/14/07,,United States,Colorado,2475,Mudslide,Rain,
186,8/17/07,,Dominica,Saint Paul,702,Mudslide,Tropical cyclone,2.0
187,8/18/07,,United States,Minnesota,2868,Landslide,Rain,
188,8/18/07,,United States,Wyoming,9520,Landslide,Rain,
189,8/18/07,,United States,Minnesota,106769,Mudslide,Rain,
193,8/19/07,,United States,Wisconsin,51320,Complex,Rain,
194,8/19/07,,United States,Wisconsin,51320,Mudslide,Rain,
197,8/20/07,,United States,West Virginia,1526,Mudslide,Rain,
198,8/21/07,,Guatemala,Alta Verapaz,2006,Landslide,Tropical cyclone,
199,8/21/07,,Guatemala,Izabal,18994,Landslide,Tropical cyclone,
201,8/23/07,,Mexico,Puebla,1414,Mudslide,Tropical cyclone,6.0
224,9/1/07,,Trinidad and Tobago,Tobago,17000,Landslide,Tropical cyclone,
225,9/2/07,,Mexico,Sinaloa,3191,Complex,Tropical cyclone,3.0
228,9/3/07,,United States,New Mexico,1788,Mudslide,Rain,
229,9/4/07,,Nicaragua,Atlántico Norte,6315,Complex,Tropical cyclone,
230,9/5/07,,El Salvador,Ahuachapán,7797,Mudslide,Tropical cyclone,
235,9/5/07,,United States,Wyoming,1176,Landslide,Rain,
236,9/5/07,,United States,Idaho,2689,Mudslide,Rain,
238,9/6/07,,United States,Colorado,12088,Mudslide,Rain,
249,9/9/07,,Costa Rica,Heredia,21947,Landslide,Rain,
250,9/9/07,,Dominica,Saint George,16571,Landslide,Rain,
268,9/17/07,,United States,Colorado,4518,Mudslide,Rain,
277,9/22/07,,Guatemala,Guatemala,994938,Mudslide,Rain,3.0
284,9/28/07,,Mexico,Puebla,3761,Mudslide,Tropical cyclone,1.0
297,10/8/07,,Haiti,Artibonite,7294,Landslide,Downpour,
299,10/9/07,,Costa Rica,San José,3072,Complex,Rain,4.0
301,10/11/07,,Costa Rica,Alajuela,7014,Mudslide,Rain,14.0
302,10/11/07,,Costa Rica,San José,26669,Landslide,Rain,10.0
303,10/12/07,,Haiti,Ouest,3951,Complex,Rain,23.0
304,10/12/07,,Jamaica,St. Elizabeth,1371,Complex,Rain,
307,10/13/07,,Colombia,Cauca,9985,Mudslide,Continuous rain,24.0
314,10/17/07,,Jamaica,Saint Thomas,2382,Mudslide,Rain,
323,10/24/07,,Costa Rica,Puntarenas,6540,Mudslide,Downpour,
333,10/29/07,,Dominican Republic,San Cristóbal,66784,Mudslide,Tropical cyclone,3.0
334,10/29/07,,Haiti,Ouest,1234742,Complex,Tropical cyclone,
339,10/31/07,,Jamaica,Saint Thomas,2634,Landslide,Tropical cyclone,1.0
340,10/31/07,,Jamaica,Saint Catherine,4085,Complex,Rain,
341,10/31/07,,Jamaica,Saint Andrew,1088,Landslide,Tropical cyclone,
342,10/31/07,,Mexico,Tabasco,4468,Landslide,Rain,18.0
343,11/1/07,,Dominican Republic,La Vega,3613,Complex,Tropical cyclone,68.0
346,11/4/07,,Mexico,Chiapas,3183,Mudslide,Rain,5.0
354,11/12/07,,Jamaica,Saint Ann,13671,Landslide,Rain,
357,11/17/07,,Trinidad and Tobago,Eastern Tobago,0,Landslide,Rain,
376,11/30/07,,United States,California,3117,Debris flow,Rain,
386,12/8/07,,United States,Indiana,5042,Landslide,Rain,
388,12/11/07,,Dominican Republic,Santiago,1200000,Landslide,Tropical cyclone,17.0
390,12/11/07,,Trinidad and Tobago,Sangre Grande,15968,Landslide,Tropical cyclone,3.0
391,12/11/07,,Trinidad and Tobago,Eastern Tobago,0,Landslide,Tropical cyclone,
392,12/11/07,,Trinidad and Tobago,Eastern Tobago,0,Landslide,Tropical cyclone,
393,12/12/07,,Puerto Rico,San Juan,418140,Landslide,Tropical cyclone,
396,12/16/07,,United States,Pennsylvania,3174,Landslide,Rain,3.0
397,12/19/07,,Colombia,Tolima,4892,Landslide,Rain,
403,1/1/08,,United States,Pennsylvania,4020,Landslide,Rain,
414,1/6/08,,United States,California,42808,Landslide,Rain,
417,1/7/08,,Mexico,Baja California,1376457,Landslide,Rain,1.0
418,1/7/08,,United States,California,59518,Landslide,Rain,
436,1/28/08,19:30:00,United States,California,42808,Landslide,Rain,
446,2/5/08,,United States,Pennsylvania,1728,Landslide,Rain,
449,2/9/08,,United States,Pennsylvania,3451,Landslide,Rain,
468,2/28/08,,Ecuador,Napo,7309,Landslide,Rain,7.0
469,3/4/08,,United States,Pennsylvania,3165,Landslide,Rain,0.0
472,3/5/08,,Peru,Huanuco,53177,Landslide,Rain,7.0
476,3/9/08,,United States,New York,2620,Landslide,Rain,0.0
477,3/10/08,,United States,Pennsylvania,3294,Landslide,Rain,0.0
479,3/14/08,,United States,Ohio,5091,Mudslide,Rain,
480,3/16/08,,United States,Ohio,4741,Landslide,Rain,0.0
485,3/24/08,,United States,Ohio,3541,Landslide,Rain,
487,3/28/08,,United States,Kentucky,4407,Landslide,Rain,
489,4/1/08,,Ecuador,Pichincha,1399814,Landslide,Rain,
491,4/1/08,,United States,Illinois,8465,Landslide,Rain,
494,4/8/08,,United States,Pennsylvania,13470,Landslide,Rain,
