"id","nationality","sex","height","weight","sport","gold","silver","bronze"
"736041664","ESP","male","1.72","64","athletics","0","0","0"
"532037425","KOR","female","1.68","56","fencing","0","0","0"
"435962603","CAN","male","1.98","79","athletics","0","0","1"
"521041435","MDA","male","1.83","80","taekwondo","0","0","0"
"33922579","NZL","male","1.81","71","cycling","0","0","0"
"173071782","AUS","male","1.8","67","triathlon","0","0","0"
"266237702","USA","male","2.05","98","volleyball","0","0","1"
"382571888","AUS","male","1.93","100","aquatics","0","0","0"
"87689776","ESP","female","1.8","62","athletics","0","0","0"
"997877719","ETH","female","1.65","54","athletics","0","0","0"
"343694681","ETH","male","1.7","63","athletics","0","0","0"
"591319906","BRN","male","1.75","66","athletics","0","0","0"
"258556239","IOA","male","","","aquatics","0","0","0"
"376068084","USA","female","1.61","49","athletics","0","0","0"
"162792594","USA","female","1.78","68","aquatics","1","1","0"
"521036704","GBR","female","1.76","71","rugby sevens","0","0","0"
"149397772","UZB","male","1.61","57","wrestling","0","0","0"
"256673338","RSA","male","1.75","64","football","0","0","0"
"337369662","NZL","female","1.75","68","football","0","0","0"
"334169879","EGY","male","2.1","88","volleyball","0","0","0"
"215053268","MAR","male","1.73","57","athletics","0","0","0"
"763711985","QAT","male","1.85","80","athletics","0","0","0"
"924593601","SUD","male","1.77","65","athletics","0","0","0"
"578032534","EGY","male","1.76","80","shooting","0","0","0"
"890222258","MAR","male","1.9","72","athletics","0","0","0"
"803161695","ESP","male","1.75","67","athletics","0","0","0"
"189931373","SUD","male","1.81","72","aquatics","0","0","0"
"677622742","ALG","male","1.85","75","football","0","0","0"
"349871091","ALG","male","1.86","","boxing","0","0","0"
"904808208","ALG","male","1.86","70","football","0","0","0"
"23564778","ALG","male","1.78","","boxing","0","0","0"
"133974151","ALG","male","1.85","79","football","0","0","0"
"189886442","MAR","male","1.74","67","equestrian","0","0","0"
"199516300","EGY","male","1.93","95","rowing","0","0","0"
"570342175","EGY","male","1.76","120","wrestling","0","0","0"
"517007712","MAR","male","1.7","56","athletics","0","0","0"
"512730813","ALG","male","1.77","72","athletics","0","0","0"
"934545704","EGY","male","1.85","","boxing","0","0","0"
"514096508","ALG","male","1.7","65","football","0","0","0"
"388896171","ALG","male","1.83","90","judo","0","0","0"
"285603057","ALG","male","1.72","66","cycling","0","0","0"
"545134894","ALG","male","1.68","62","football","0","0","0"
"64529046","DEN","male","1.75","57","athletics","0","0","0"
"917755766","NED","male","1.65","54","athletics","0","0","0"
"184980926","DJI","male","1.6","60","athletics","0","0","0"
"702606719","SEN","male","1.9","90","aquatics","0","0","0"
"259675127","CMR","female","1.8","67","volleyball","0","0","0"
"469953606","ITA","male","","","athletics","0","0","0"
"962468808","NIG","male","2.07","98","taekwondo","0","1","0"
"958967643","SWE","male","1.81","71","football","0","0","0"
"325809293","GHA","male","","","boxing","0","0","0"
"152408417","AFG","male","1.75","68","athletics","0","0","0"
"262868423","IOA","male","","","fencing","0","0","0"
"101781750","AZE","male","1.88","","boxing","0","0","0"
"5763609","KSA","male","1.72","73","athletics","0","0","0"
"969824503","IOA","male","1.83","84","shooting","0","0","1"
"897549624","BAN","male","","","shooting","0","0","0"
"153457","NGR","male","1.7","","football","0","0","1"
"803368584","UZB","male","1.9","132","judo","0","0","0"
"937153550","IOA","male","","","shooting","0","0","0"
"746318262","RUS","male","1.77","86","wrestling","1","0","0"
"841446548","QAT","male","1.86","77","handball","0","0","0"
"884912875","GHA","male","","","aquatics","0","0","0"
"146197583","IND","male","1.75","70","shooting","0","0","0"
"884912136","USA","female","1.66","61","aquatics","0","0","0"
"221052317","HUN","female","1.83","76","judo","0","0","0"
"157637514","KAZ","male","1.75","","boxing","0","0","0"
"78813419","BRN","male","1.83","65","athletics","0","0","0"
"555457991","BRN","male","1.76","60","athletics","0","0","0"
"877850429","BDI","male","1.62","52","athletics","0","0","0"
"369092977","ERI","male","1.68","58","athletics","0","0","0"
"602585498","QAT","male","1.8","60","athletics","0","0","0"
"140663745","MAR","male","1.6","","boxing","0","0","0"
"507726155","BRN","male","1.65","71","wrestling","0","0","0"
"60265240","POL","male","1.87","81","badminton","0","0","0"
"256805041","HUN","male","2.03","115","aquatics","0","0","0"
"275689888","GBR","male","1.69","70","hockey","0","0","0"
"136977152","CAN","male","1.82","81","hockey","0","0","0"
"487206822","GBR","male","1.78","75","athletics","0","0","0"
"236523132","BRA","male","1.82","88","hockey","0","0","0"
"682367963","POL","male","1.78","68","athletics","0","0","0"
"624366946","SWE","male","1.74","70","football","0","0","0"
"394945344","HUN","male","1.81","75","modern pentathlon","0","0","0"
"970243540","GEO","male","1.89","130","judo","0","0","0"
"765490473","HUN","male","1.75","71","table tennis","0","0","0"
"561951036","GBR","male","1.93","88","aquatics","1","1","0"
"785166259","CZE","male","1.9","92","athletics","0","0","0"
"846863992","HUN","male","1.94","77","aquatics","0","0","0"
"390173289","AUS","male","1.78","92","shooting","0","0","0"
"266751447","SEY","male","1.88","94","aquatics","0","0","0"
"983184686","POL","male","1.93","93","handball","0","0","0"
"184652432","GBR","male","1.72","58","cycling","0","0","0"
"983411298","CAN","male","1.82","85","canoe","0","0","0"
"685532077","SEN","male","1.65","57","wrestling","0","0","0"
"222063859","GAM","male","","","athletics","0","0","0"
"46940649","LTU","male","1.94","90","basketball","0","0","0"
"512592841","IRI","male","1.95","88","volleyball","0","0","0"
"302277635","ESP","male","1.82","71","athletics","0","0","0"
"216864827","IRI","male","1.85","82","canoe","0","0","0"
"153013732","CZE","female","1.71","60","shooting","0","0","0"
"123916473","CZE","female","1.71","67","wrestling","0","0","0"
"325622113","ROU","female","1.86","75","rowing","0","0","1"
"518639420","ROU","female","1.68","56","athletics","0","0","0"
"457663778","NED","female","1.68","55","equestrian","0","0","0"
"259002430","USA","female","1.73","77","wrestling","0","0","0"
"303297765","ALG","male","1.8","85","wrestling","0","0","0"
"993710181","BRA","female","1.87","65","volleyball","0","0","0"
"878847288","EGY","male","1.6","66","wrestling","0","0","0"
"75289002","KAZ","male","1.8","","boxing","0","1","0"
"930618704","BRA","male","1.7","79","golf","0","0","0"
"890593128","IND","female","1.73","57","golf","0","0","0"
"456381770","RUS","male","1.72","","boxing","0","0","0"
"256936407","SWE","male","1.83","78","football","0","0","0"
"637015297","CUB","male","1.71","76","archery","0","0","0"
"787208883","BRA","male","1.84","83","aquatics","0","0","0"
"941631433","POL","male","1.74","62","athletics","0","0","0"
"839462979","CUB","male","1.87","90","athletics","0","0","0"
"284555275","ROU","male","1.86","85","table tennis","0","0","0"
"366608701","POL","male","1.89","85","badminton","0","0","0"
"679510102","CUB","male","1.91","80","volleyball","0","0","0"
"242818896","POL","male","1.7","94","weightlifting","0","0","0"
"400838338","ESP","male","1.93","89","volleyball","0","0","0"
"557196811","SLO","male","1.7","69","judo","0","0","0"
"653186701","BAH","male","1.78","75","athletics","0","0","0"
"217850967","ITA","male","1.82","83","volleyball","0","0","0"
"370799805","HUN","male","1.88","89","rowing","0","0","0"
"714030791","CUB","male","1.89","87","rowing","0","0","0"
"915726586","ARG","male","1.85","95","handball","0","0","0"
"80367651","BRA","female","1.66","52","athletics","0","0","0"
"593328448","BRA","female","1.67","","boxing","0","0","0"
"770039735","PUR","female","1.6","50","table tennis","0","0","0"
"228337858","ESP","female","1.62","65","archery","0","0","0"
"529241363","BRA","female","1.7","65","basketball","0","0","0"
"439382128","FRA","male","1.85","84","canoe","0","0","0"
"326016199","FRA","male","2.02","105","handball","0","1","0"
"664737236","RWA","male","1.65","68","cycling","0","0","0"
"447910544","USA","female","1.86","77","rowing","0","0","0"
