YYYYMMDD,TIME,TEMP,MIN_TEMP_GROUND,PRESSURE,HUMIDITY,VIEW_RANGE,CLOUD,MIST,RAIN,SNOW,THUNDER,ICE,WEATHER_CODE
20160101,1,68,,10207,87,56.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0
20160101,2,58,,10214,92,57.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0
20160101,3,57,,10220,92,56.0,7.0,0.0,1.0,0.0,0.0,0.0,23.0
20160101,4,60,,10225,93,57.0,7.0,0.0,1.0,0.0,0.0,0.0,51.0
20160101,5,45,,10230,95,56.0,7.0,0.0,1.0,0.0,0.0,0.0,22.0
20160101,6,20,3.0,10237,99,9.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0
20160101,7,11,,10242,99,5.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0
20160101,8,7,,10245,100,1.0,0.0,1.0,0.0,0.0,0.0,1.0,34.0
20160101,9,2,,10248,99,2.0,0.0,1.0,0.0,0.0,0.0,1.0,32.0
20160101,10,20,,10249,100,5.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0
20160101,11,72,,10245,88,64.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0
20160101,12,79,-17.0,10239,84,70.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
20160101,13,77,,10231,84,69.0,2.0,0.0,0.0,0.0,0.0,0.0,
20160101,14,72,,10225,87,67.0,8.0,0.0,0.0,0.0,0.0,0.0,
20160101,15,53,,10220,95,50.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0
20160101,16,50,,10217,98,14.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0
20160101,17,49,,10205,98,19.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0
20160101,18,49,47.0,10194,98,17.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0
20160101,19,54,,10188,97,48.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0
20160101,20,57,,10183,95,44.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0
20160101,21,54,,10170,95,50.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0
20160101,22,53,,10161,94,57.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0
20160101,23,54,,10146,93,60.0,8.0,0.0,0.0,0.0,0.0,0.0,
20160101,24,56,47.0,10140,90,63.0,8.0,0.0,0.0,0.0,0.0,0.0,
20160102,1,56,,10124,89,64.0,8.0,0.0,0.0,0.0,0.0,0.0,
20160102,2,56,,10119,86,64.0,8.0,0.0,0.0,0.0,0.0,0.0,
20160102,3,55,,10109,86,64.0,8.0,0.0,0.0,0.0,0.0,0.0,
20160102,4,54,,10102,88,60.0,8.0,0.0,1.0,0.0,0.0,0.0,51.0
20160102,5,53,,10093,89,61.0,8.0,0.0,1.0,0.0,0.0,0.0,51.0
20160102,6,53,48.0,10089,88,62.0,8.0,0.0,1.0,0.0,0.0,0.0,57.0
20160102,7,51,,10087,90,59.0,8.0,0.0,1.0,0.0,0.0,0.0,58.0
20160102,8,50,,10083,93,57.0,8.0,0.0,1.0,0.0,0.0,0.0,61.0
20160102,9,51,,10082,95,57.0,8.0,0.0,1.0,0.0,0.0,0.0,61.0
20160102,10,54,,10083,95,57.0,8.0,0.0,1.0,0.0,0.0,0.0,23.0
20160102,11,59,,10076,94,57.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0
20160102,12,63,47.0,10071,94,57.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0
20160102,13,69,,10068,93,58.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0
20160102,14,72,,10067,93,59.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0
20160102,15,72,,10067,93,59.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0
20160102,16,71,,10066,94,60.0,8.0,0.0,0.0,0.0,0.0,0.0,
20160102,17,71,,10065,92,61.0,8.0,0.0,0.0,0.0,0.0,0.0,
20160102,18,69,62.0,10062,93,61.0,8.0,0.0,0.0,0.0,0.0,0.0,
20160102,19,68,,10060,94,59.0,8.0,0.0,1.0,0.0,0.0,0.0,81.0
20160102,20,70,,10056,94,57.0,8.0,0.0,1.0,0.0,0.0,0.0,23.0
20160102,21,67,,10051,94,61.0,8.0,0.0,1.0,0.0,0.0,0.0,51.0
20160102,22,67,,10047,95,59.0,8.0,0.0,1.0,0.0,0.0,0.0,58.0
20160102,23,70,,10043,97,43.0,8.0,0.0,1.0,0.0,0.0,0.0,58.0
20160102,24,73,64.0,10040,98,39.0,8.0,0.0,1.0,0.0,0.0,0.0,62.0
20160103,1,78,,10035,98,56.0,8.0,0.0,1.0,0.0,0.0,0.0,58.0
20160103,2,84,,10034,96,58.0,8.0,0.0,1.0,0.0,0.0,0.0,62.0
20160103,3,85,,10032,95,62.0,8.0,0.0,1.0,0.0,0.0,0.0,23.0
20160103,4,85,,10029,95,65.0,8.0,0.0,1.0,0.0,0.0,0.0,23.0
20160103,5,87,,10027,95,59.0,8.0,0.0,1.0,0.0,0.0,0.0,52.0
20160103,6,88,71.0,10025,96,47.0,8.0,0.0,1.0,0.0,0.0,0.0,23.0
20160103,7,88,,10026,90,66.0,8.0,0.0,1.0,0.0,0.0,0.0,23.0
20160103,8,82,,10027,93,64.0,8.0,0.0,1.0,0.0,0.0,0.0,23.0
20160103,9,76,,10025,91,65.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0
20160103,10,77,,10023,87,70.0,8.0,0.0,0.0,0.0,0.0,0.0,
20160103,11,75,,10017,85,70.0,8.0,0.0,0.0,0.0,0.0,0.0,
20160103,12,78,71.0,10005,83,70.0,8.0,0.0,1.0,0.0,0.0,0.0,23.0
20160103,13,77,,9994,78,75.0,8.0,0.0,0.0,0.0,0.0,0.0,
20160103,14,73,,9979,80,75.0,8.0,0.0,0.0,0.0,0.0,0.0,
20160103,15,74,,9969,78,75.0,8.0,0.0,0.0,0.0,0.0,0.0,
