Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
2017-05-29 18:36:27,2017-05-29 18:49:27,780,Columbus Dr & Randolph St,Federal St & Polk St,Subscriber,Male,1991.0
2017-06-12 19:00:33,2017-06-12 19:24:22,1429,Kingsbury St & Erie St,Orleans St & Merchandise Mart Plaza,Customer,,
2017-02-13 17:02:02,2017-02-13 17:20:10,1088,Canal St & Madison St,Paulina Ave & North Ave,Subscriber,Female,1982.0
2017-04-24 18:39:45,2017-04-24 18:54:59,914,Spaulding Ave & Armitage Ave,California Ave & Milwaukee Ave,Subscriber,Male,1966.0
2017-01-26 15:36:07,2017-01-26 15:43:21,434,Clark St & Randolph St,Financial Pl & Congress Pkwy,Subscriber,Female,1983.0
2017-06-21 09:43:54,2017-06-21 10:01:31,1057,Ogden Ave & Race Ave,Franklin St & Monroe St,Subscriber,Female,1981.0
2017-04-24 08:33:31,2017-04-24 08:38:47,316,Clinton St & Washington Blvd,Morgan St & Lake St,Subscriber,Male,1986.0
2017-03-21 07:23:58,2017-03-21 07:33:17,559,Canal St & Adams St,Michigan Ave & Lake St,Subscriber,Male,1969.0
2017-01-14 12:16:20,2017-01-14 12:58:17,2517,Wentworth Ave & Archer Ave,Franklin St & Jackson Blvd,Customer,,
2017-04-06 09:15:52,2017-04-06 09:22:11,379,Canal St & Madison St,Clark St & Lake St,Subscriber,Male,1982.0
2017-06-13 17:02:44,2017-06-13 17:08:17,333,State St & Kinzie St,Stetson Ave & South Water St,Subscriber,Male,1963.0
2017-03-09 09:15:39,2017-03-09 09:18:56,197,Clark St & Lake St,Rush St & Hubbard St,Subscriber,Male,1986.0
2017-03-22 06:54:00,2017-03-22 06:59:02,302,Larrabee St & Division St,Clark St & Elm St,Subscriber,Female,1990.0
2017-02-21 17:51:52,2017-02-21 17:55:03,191,Ashland Ave & Division St,Damen Ave & Division St,Subscriber,Male,1979.0
2017-03-13 13:19:26,2017-03-13 13:27:35,489,LaSalle St & Washington St,Sangamon St & Washington Blvd (*),Subscriber,Male,1972.0
2017-04-04 23:12:25,2017-04-04 23:25:56,811,Sheffield Ave & Webster Ave,Halsted St & Roscoe St,Subscriber,Male,1990.0
2017-04-05 19:28:40,2017-04-05 19:35:59,439,Orleans St & Merchandise Mart Plaza,Clinton St & Washington Blvd,Subscriber,Male,1957.0
2017-05-15 15:49:46,2017-05-15 15:57:25,459,Southport Ave & Irving Park Rd,Lincoln Ave & Roscoe St,Subscriber,Male,1962.0
2017-02-18 15:23:05,2017-02-18 15:54:18,1873,Central St & Girard Ave,Central St & Girard Ave,Subscriber,Male,1982.0
2017-04-02 13:21:17,2017-04-02 13:30:55,578,Kingsbury St & Kinzie St,Wells St & Elm St,Subscriber,Male,1965.0
2017-06-20 11:38:18,2017-06-20 11:51:54,816,State St & Pearson St,Clinton St & Madison St,Subscriber,Male,1987.0
2017-02-01 08:49:24,2017-02-01 09:06:49,1045,Clinton St & 18th St,Clinton St & Washington Blvd,Subscriber,Female,1985.0
2017-04-11 11:22:42,2017-04-11 11:40:22,1060,Loomis St & Jackson Blvd,Clark St & Lake St,Subscriber,Male,1974.0
2017-05-21 12:07:47,2017-05-21 12:13:46,359,Orleans St & Merchandise Mart Plaza,Green St & Randolph St,Subscriber,Male,1991.0
2017-06-28 21:07:24,2017-06-28 21:21:57,873,Paulina Ave & North Ave,Troy St & North Ave,Subscriber,Female,1994.0
2017-02-08 17:33:43,2017-02-08 17:38:57,314,Wabash Ave & 16th St,Wabash Ave & Roosevelt Rd,Subscriber,Female,1984.0
2017-06-24 21:58:46,2017-06-24 22:22:28,1422,Adler Planetarium,State St & Randolph St,Customer,,
2017-05-23 08:18:01,2017-05-23 08:33:06,905,Ogden Ave & Race Ave,Daley Center Plaza,Subscriber,Female,1984.0
2017-06-07 12:30:44,2017-06-07 12:44:48,844,Columbus Dr & Randolph St,Clinton St & Jackson Blvd,Subscriber,Male,1957.0
2017-04-04 14:12:57,2017-04-04 14:16:54,237,California Ave & Milwaukee Ave,Stave St & Armitage Ave,Subscriber,Male,1957.0
2017-02-26 17:14:48,2017-02-26 17:29:37,889,Sedgwick St & North Ave,Halsted St & Wrightwood Ave,Subscriber,Female,1993.0
2017-03-29 06:57:27,2017-03-29 07:03:21,354,Oakley Ave & Irving Park Rd,Talman Ave & Addison St,Subscriber,Male,1979.0
2017-06-27 16:32:23,2017-06-27 16:35:30,187,Canal St & Madison St,LaSalle St & Washington St,Subscriber,Male,1980.0
2017-04-04 22:47:28,2017-04-04 22:51:25,237,Sheffield Ave & Webster Ave,Larrabee St & Webster Ave,Subscriber,Male,1964.0
2017-06-03 15:33:30,2017-06-03 17:00:26,5216,Streeter Dr & Grand Ave,Kedzie Ave & Milwaukee Ave,Customer,,
2017-02-08 12:05:53,2017-02-08 12:12:52,419,Franklin St & Lake St,Larrabee St & Kingsbury St,Subscriber,Male,1982.0
2017-06-18 12:12:08,2017-06-18 12:14:57,169,Clinton St & Roosevelt Rd,Halsted St & Roosevelt Rd,Subscriber,Male,1986.0
2017-04-09 14:55:39,2017-04-09 15:17:36,1317,Theater on the Lake,Lake Shore Dr & Belmont Ave,Customer,,
2017-03-02 13:43:22,2017-03-02 13:47:40,258,Broadway & Berwyn Ave,Clark St & Berwyn Ave,Customer,,
2017-06-14 09:14:06,2017-06-14 09:33:32,1166,Clark St & Winnemac Ave,Damen Ave & Wellington Ave,Subscriber,Female,1986.0
2017-03-24 13:06:37,2017-03-24 13:10:44,247,Broadway & Berwyn Ave,Clark St & Berwyn Ave,Subscriber,Female,1961.0
2017-01-23 07:11:34,2017-01-23 07:25:42,848,Wells St & Concord Ln,Mies van der Rohe Way & Chicago Ave,Subscriber,Female,1975.0
2017-06-05 06:45:01,2017-06-05 06:59:49,888,LaSalle St & Jackson Blvd,Cityfront Plaza Dr & Pioneer Ct,Subscriber,Male,1962.0
