Name,Symbol,LastSale,MarketCapLabel,MarketCapAmount,IPOyear,Sector,industry,Summary Quote
1347 Capital Corp.,TFSC,9.43,$56.09M,56090000,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfsc
1347 Capital Corp.,TFSCR,0.37,n/a,0,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscr
1347 Capital Corp.,TFSCU,9.97,$41.67M,41670000,2014,n/a,n/a,http://www.nasdaq.com/symbol/tfscu
1347 Capital Corp.,TFSCW,0.2,n/a,0,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscw
"1347 Property Insurance Holdings, Inc.",PIH,7.66,$48.7M,48700000,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih
"1-800 FLOWERS.COM, Inc.",FLWS,10.32,$667.78M,667780000,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
"1st Century Bancshares, Inc",FCTY,6.774,$68.73M,68730000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty
1st Constitution Bancorp (NJ),FCCY,11.18,$79.77M,79770000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
1st Source Corporation,SRCE,31.31,$747.13M,747130000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
"21Vianet Group, Inc.",VNET,18.33,$1.2B,1200000000,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
"2U, Inc.",TWOU,17.62,$714.35M,714350000,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
3X Inverse Gold ETN Velocityshares,DGLD,72.22,$9.82M,9820000,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dgld
"51job, Inc.",JOBS,33.77,$1.99B,1990000000,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
